account,amount,symbol,memo
threesteps,0.01126027,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.0042532,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.00360347,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.00303354,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.00260088,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00183527,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.00122394,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00102147,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00100975,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00081511,AWESOME,Daily payout based on your ALIVEM stake.
voltz-blag,0.00068027,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.00065787,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00064743,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00062586,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00050803,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00048958,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00048309,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.00046568,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.00039374,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.00034338,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00032092,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.00031703,AWESOME,Daily payout based on your ALIVEM stake.
zealous4ever,0.00030644,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.00026358,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00022686,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.00021881,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00019929,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00019357,AWESOME,Daily payout based on your ALIVEM stake.
hannes-stoffel,0.00018371,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.00018362,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00018359,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,0.00016909,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00015312,AWESOME,Daily payout based on your ALIVEM stake.
truth2,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
jacuzzi,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.00015299,AWESOME,Daily payout based on your ALIVEM stake.
oscarps,0.00013378,AWESOME,Daily payout based on your ALIVEM stake.
siddhartaz,0.00012325,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,0.00012239,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,0.00011774,AWESOME,Daily payout based on your ALIVEM stake.
edgerik,0.00011413,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.0001141,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,9.265e-05,AWESOME,Daily payout based on your ALIVEM stake.
faireye,9.18e-05,AWESOME,Daily payout based on your ALIVEM stake.
stdd,8.402e-05,AWESOME,Daily payout based on your ALIVEM stake.
captainloken,6.885e-05,AWESOME,Daily payout based on your ALIVEM stake.
imfarhad,6.573e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,6.303e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,6.303e-05,AWESOME,Daily payout based on your ALIVEM stake.
mirroredspork,6.12e-05,AWESOME,Daily payout based on your ALIVEM stake.
awah,6.12e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,6.12e-05,AWESOME,Daily payout based on your ALIVEM stake.
heartbeatonhive,5.743e-05,AWESOME,Daily payout based on your ALIVEM stake.
pedrobrito2004,4.663e-05,AWESOME,Daily payout based on your ALIVEM stake.
