account,amount,symbol,memo
threesteps,0.01036056,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.00391336,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.00343951,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.00335488,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.00239306,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00168863,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00125256,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.00112615,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00092907,AWESOME,Daily payout based on your ALIVEM stake.
voltz-blag,0.00085038,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00080922,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00075179,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00060699,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.0006053,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00060041,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.00059922,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00059843,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.00058748,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.00058385,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00045046,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.0004091,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00030147,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.0002917,AWESOME,Daily payout based on your ALIVEM stake.
zealous4ever,0.00028196,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.0002261,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,0.00021985,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00020935,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00020214,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00018857,AWESOME,Daily payout based on your ALIVEM stake.
edgerik,0.00017545,AWESOME,Daily payout based on your ALIVEM stake.
hannes-stoffel,0.00016903,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.00016895,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00016892,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00014088,AWESOME,Daily payout based on your ALIVEM stake.
truth2,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
jacuzzi,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.00014077,AWESOME,Daily payout based on your ALIVEM stake.
oscarps,0.00013269,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.00011785,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,0.00011591,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,0.00011261,AWESOME,Daily payout based on your ALIVEM stake.
imfarhad,0.00010439,AWESOME,Daily payout based on your ALIVEM stake.
stdd,0.00010425,AWESOME,Daily payout based on your ALIVEM stake.
awah,9.848e-05,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,8.525e-05,AWESOME,Daily payout based on your ALIVEM stake.
darkwarrior33,8.446e-05,AWESOME,Daily payout based on your ALIVEM stake.
manuvert,8.224e-05,AWESOME,Daily payout based on your ALIVEM stake.
darmst5339,7.897e-05,AWESOME,Daily payout based on your ALIVEM stake.
pedrobrito2004,7.306e-05,AWESOME,Daily payout based on your ALIVEM stake.
heartbeatonhive,6.847e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,6.059e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,5.8e-05,AWESOME,Daily payout based on your ALIVEM stake.
ctpsb,5.634e-05,AWESOME,Daily payout based on your ALIVEM stake.
mirroredspork,5.631e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,5.631e-05,AWESOME,Daily payout based on your ALIVEM stake.
adysscheryl,5.566e-05,AWESOME,Daily payout based on your ALIVEM stake.
hoosie,4.921e-05,AWESOME,Daily payout based on your ALIVEM stake.
davidxxl,4.918e-05,AWESOME,Daily payout based on your ALIVEM stake.
thoth442,4.735e-05,AWESOME,Daily payout based on your ALIVEM stake.
jmis101,4.406e-05,AWESOME,Daily payout based on your ALIVEM stake.
engilhramn,4.344e-05,AWESOME,Daily payout based on your ALIVEM stake.
gurseerat,3.992e-05,AWESOME,Daily payout based on your ALIVEM stake.
ddn688,3.919e-05,AWESOME,Daily payout based on your ALIVEM stake.
visual.alive,3.5e-05,AWESOME,Daily payout based on your ALIVEM stake.
olujose6,3.429e-05,AWESOME,Daily payout based on your ALIVEM stake.
yeckingo1,3.314e-05,AWESOME,Daily payout based on your ALIVEM stake.
apoloo1,3.018e-05,AWESOME,Daily payout based on your ALIVEM stake.
coininstant,2.97e-05,AWESOME,Daily payout based on your ALIVEM stake.
kryptofire,2.866e-05,AWESOME,Daily payout based on your ALIVEM stake.
marshmellowman,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
cwow2,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
loot.alive,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
ben.haase,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnsdowie,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnandgrace,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
nomaddreamer,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
infinitytcg,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
bilpcoinbot,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
nectar-queen,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
mervinthepogi,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
kitsuki,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
brutalmonkey,2.815e-05,AWESOME,Daily payout based on your ALIVEM stake.
tydynrain,2.497e-05,AWESOME,Daily payout based on your ALIVEM stake.
harpreetjanda,2.449e-05,AWESOME,Daily payout based on your ALIVEM stake.
leemah1,2.311e-05,AWESOME,Daily payout based on your ALIVEM stake.
twicejoy,2.241e-05,AWESOME,Daily payout based on your ALIVEM stake.
alovely088,2.089e-05,AWESOME,Daily payout based on your ALIVEM stake.
karizma,1.824e-05,AWESOME,Daily payout based on your ALIVEM stake.
thatcryptodave,1.76e-05,AWESOME,Daily payout based on your ALIVEM stake.
neoxvoter,1.681e-05,AWESOME,Daily payout based on your ALIVEM stake.
alzee,1.644e-05,AWESOME,Daily payout based on your ALIVEM stake.
chapelle,1.641e-05,AWESOME,Daily payout based on your ALIVEM stake.
terra.luna,1.515e-05,AWESOME,Daily payout based on your ALIVEM stake.
kam5iz,1.498e-05,AWESOME,Daily payout based on your ALIVEM stake.
alex2alex,1.461e-05,AWESOME,Daily payout based on your ALIVEM stake.
stewie.wieno,1.422e-05,AWESOME,Daily payout based on your ALIVEM stake.
siddhartaz,1.405e-05,AWESOME,Daily payout based on your ALIVEM stake.
inemsweet29,1.388e-05,AWESOME,Daily payout based on your ALIVEM stake.
moretea,1.357e-05,AWESOME,Daily payout based on your ALIVEM stake.
achimmertens,1.329e-05,AWESOME,Daily payout based on your ALIVEM stake.
beeber,1.315e-05,AWESOME,Daily payout based on your ALIVEM stake.
old-man-chu58,1.284e-05,AWESOME,Daily payout based on your ALIVEM stake.
caelum1infernum,1.275e-05,AWESOME,Daily payout based on your ALIVEM stake.
sammyhive,1.197e-05,AWESOME,Daily payout based on your ALIVEM stake.
bountybouncer,1.194e-05,AWESOME,Daily payout based on your ALIVEM stake.
melinda010100,1.154e-05,AWESOME,Daily payout based on your ALIVEM stake.
kalib,1.137e-05,AWESOME,Daily payout based on your ALIVEM stake.
sabajfa,1.095e-05,AWESOME,Daily payout based on your ALIVEM stake.
gondek,1.084e-05,AWESOME,Daily payout based on your ALIVEM stake.
myupvote2u,1.064e-05,AWESOME,Daily payout based on your ALIVEM stake.
libertycrypto27,1.019e-05,AWESOME,Daily payout based on your ALIVEM stake.
bokica80,1.008e-05,AWESOME,Daily payout based on your ALIVEM stake.
lozio71,9.23e-06,AWESOME,Daily payout based on your ALIVEM stake.
sofs-su,9.01e-06,AWESOME,Daily payout based on your ALIVEM stake.
palomap3,8.5e-06,AWESOME,Daily payout based on your ALIVEM stake.
yokosama,8.45e-06,AWESOME,Daily payout based on your ALIVEM stake.
yasirgujrati,8.31e-06,AWESOME,Daily payout based on your ALIVEM stake.
kojiri,8.22e-06,AWESOME,Daily payout based on your ALIVEM stake.
rcaine,8.14e-06,AWESOME,Daily payout based on your ALIVEM stake.
merthin,7.94e-06,AWESOME,Daily payout based on your ALIVEM stake.
oasiskp2,7.85e-06,AWESOME,Daily payout based on your ALIVEM stake.
bechibenner,7.74e-06,AWESOME,Daily payout based on your ALIVEM stake.
tokutaro22,7.04e-06,AWESOME,Daily payout based on your ALIVEM stake.
synergized,6.31e-06,AWESOME,Daily payout based on your ALIVEM stake.
littlebee4,6.28e-06,AWESOME,Daily payout based on your ALIVEM stake.
madame-cyntaia,6.19e-06,AWESOME,Daily payout based on your ALIVEM stake.
myjob,5.77e-06,AWESOME,Daily payout based on your ALIVEM stake.
evernoticethat,5.69e-06,AWESOME,Daily payout based on your ALIVEM stake.
ydaiznfts,5.49e-06,AWESOME,Daily payout based on your ALIVEM stake.
fantagira,5.38e-06,AWESOME,Daily payout based on your ALIVEM stake.
dmhafiz,5.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
benthomasuk,5.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
dubble,5.24e-06,AWESOME,Daily payout based on your ALIVEM stake.
captainquack22,5.1e-06,AWESOME,Daily payout based on your ALIVEM stake.
arpuch,4.98e-06,AWESOME,Daily payout based on your ALIVEM stake.
kryptodenno,4.96e-06,AWESOME,Daily payout based on your ALIVEM stake.
lorddiablo,4.87e-06,AWESOME,Daily payout based on your ALIVEM stake.
keechadkikali,4.62e-06,AWESOME,Daily payout based on your ALIVEM stake.
gregory-f,4.59e-06,AWESOME,Daily payout based on your ALIVEM stake.
ricardoeloy,4.56e-06,AWESOME,Daily payout based on your ALIVEM stake.
elyelma,4.39e-06,AWESOME,Daily payout based on your ALIVEM stake.
crazyphantombr,4.39e-06,AWESOME,Daily payout based on your ALIVEM stake.
chmoen,4.25e-06,AWESOME,Daily payout based on your ALIVEM stake.
pousinha,4.22e-06,AWESOME,Daily payout based on your ALIVEM stake.
luizeba,3.94e-06,AWESOME,Daily payout based on your ALIVEM stake.
florenceboens,3.72e-06,AWESOME,Daily payout based on your ALIVEM stake.
heruvim1978,3.6e-06,AWESOME,Daily payout based on your ALIVEM stake.
buezor,3.6e-06,AWESOME,Daily payout based on your ALIVEM stake.
myothuzar,3.58e-06,AWESOME,Daily payout based on your ALIVEM stake.
jacoalberts,3.41e-06,AWESOME,Daily payout based on your ALIVEM stake.
nahueldare3627,3.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
torran,3.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
entrepidus,3.13e-06,AWESOME,Daily payout based on your ALIVEM stake.
pregosauce,3.04e-06,AWESOME,Daily payout based on your ALIVEM stake.
points-fr,2.93e-06,AWESOME,Daily payout based on your ALIVEM stake.
