account,amount,symbol,memo
threesteps,0.00841955,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.00402013,AWESOME,Daily payout based on your ALIVEM stake.
urri2020,0.00343188,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.00318021,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.0028764,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.00194473,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00155082,AWESOME,Daily payout based on your ALIVEM stake.
voltz-blag,0.0012101,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00115318,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00109573,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.00091517,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00075501,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00069454,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.0006527,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.0006516,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00061346,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00059774,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00054336,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.00051011,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.0004919,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00047319,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00036607,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.00035234,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.00023705,AWESOME,Daily payout based on your ALIVEM stake.
zealous4ever,0.00022914,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,0.00022076,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.00020001,AWESOME,Daily payout based on your ALIVEM stake.
edgerik,0.00018868,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00018791,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00017253,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00016182,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00013798,AWESOME,Daily payout based on your ALIVEM stake.
hannes-stoffel,0.00013737,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.0001373,AWESOME,Daily payout based on your ALIVEM stake.
imfarhad,0.00012137,AWESOME,Daily payout based on your ALIVEM stake.
truth2,0.00011616,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00011449,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.0001144,AWESOME,Daily payout based on your ALIVEM stake.
hurtlocker,0.0001144,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.0001144,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.0001144,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.0001144,AWESOME,Daily payout based on your ALIVEM stake.
stdd,0.00011321,AWESOME,Daily payout based on your ALIVEM stake.
heartbeatonhive,0.00010904,AWESOME,Daily payout based on your ALIVEM stake.
oscarps,0.00010783,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.00010552,AWESOME,Daily payout based on your ALIVEM stake.
awah,0.00010417,AWESOME,Daily payout based on your ALIVEM stake.
darmst5339,0.00010028,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,9.925e-05,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,9.152e-05,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,9.152e-05,AWESOME,Daily payout based on your ALIVEM stake.
manuvert,8.841e-05,AWESOME,Daily payout based on your ALIVEM stake.
jacuzzi,8.58e-05,AWESOME,Daily payout based on your ALIVEM stake.
pedrobrito2004,7.9e-05,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,7.87e-05,AWESOME,Daily payout based on your ALIVEM stake.
jmis101,7.493e-05,AWESOME,Daily payout based on your ALIVEM stake.
darkwarrior33,6.864e-05,AWESOME,Daily payout based on your ALIVEM stake.
gurseerat,6.113e-05,AWESOME,Daily payout based on your ALIVEM stake.
bhattg,5.72e-05,AWESOME,Daily payout based on your ALIVEM stake.
davidxxl,5.454e-05,AWESOME,Daily payout based on your ALIVEM stake.
adysscheryl,5.246e-05,AWESOME,Daily payout based on your ALIVEM stake.
hoosie,5.21e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,5.13e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,4.713e-05,AWESOME,Daily payout based on your ALIVEM stake.
ctpsb,4.578e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,4.576e-05,AWESOME,Daily payout based on your ALIVEM stake.
mirroredspork,4.576e-05,AWESOME,Daily payout based on your ALIVEM stake.
thoth442,4.368e-05,AWESOME,Daily payout based on your ALIVEM stake.
tydynrain,3.96e-05,AWESOME,Daily payout based on your ALIVEM stake.
engilhramn,3.91e-05,AWESOME,Daily payout based on your ALIVEM stake.
chapelle,3.402e-05,AWESOME,Daily payout based on your ALIVEM stake.
alovely088,3.322e-05,AWESOME,Daily payout based on your ALIVEM stake.
cwow2,3.313e-05,AWESOME,Daily payout based on your ALIVEM stake.
ddn688,3.185e-05,AWESOME,Daily payout based on your ALIVEM stake.
yeckingo1,3.171e-05,AWESOME,Daily payout based on your ALIVEM stake.
sammyhive,2.958e-05,AWESOME,Daily payout based on your ALIVEM stake.
olujose6,2.906e-05,AWESOME,Daily payout based on your ALIVEM stake.
visual.alive,2.844e-05,AWESOME,Daily payout based on your ALIVEM stake.
leemah1,2.832e-05,AWESOME,Daily payout based on your ALIVEM stake.
ijelady,2.471e-05,AWESOME,Daily payout based on your ALIVEM stake.
old-man-chu58,2.455e-05,AWESOME,Daily payout based on your ALIVEM stake.
coininstant,2.414e-05,AWESOME,Daily payout based on your ALIVEM stake.
kryptofire,2.377e-05,AWESOME,Daily payout based on your ALIVEM stake.
nomaddreamer,2.345e-05,AWESOME,Daily payout based on your ALIVEM stake.
lasort,2.297e-05,AWESOME,Daily payout based on your ALIVEM stake.
thatcryptodave,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
ben.haase,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
nectar-queen,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
mervinthepogi,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnandgrace,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
marshmellowman,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
brutalmonkey,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
loot.alive,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
bilpcoinbot,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
kitsuki,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
infinitytcg,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnsdowie,2.288e-05,AWESOME,Daily payout based on your ALIVEM stake.
oasiskp2,2.203e-05,AWESOME,Daily payout based on your ALIVEM stake.
harpreetjanda,1.99e-05,AWESOME,Daily payout based on your ALIVEM stake.
twicejoy,1.897e-05,AWESOME,Daily payout based on your ALIVEM stake.
palomap3,1.842e-05,AWESOME,Daily payout based on your ALIVEM stake.
melinda010100,1.803e-05,AWESOME,Daily payout based on your ALIVEM stake.
hivedeb,1.773e-05,AWESOME,Daily payout based on your ALIVEM stake.
karizma,1.759e-05,AWESOME,Daily payout based on your ALIVEM stake.
treefrognada,1.743e-05,AWESOME,Daily payout based on your ALIVEM stake.
alzee,1.661e-05,AWESOME,Daily payout based on your ALIVEM stake.
thisisawesome,1.636e-05,AWESOME,Daily payout based on your ALIVEM stake.
cursephantom,1.618e-05,AWESOME,Daily payout based on your ALIVEM stake.
kam5iz,1.611e-05,AWESOME,Daily payout based on your ALIVEM stake.
m0rt0nmattd,1.586e-05,AWESOME,Daily payout based on your ALIVEM stake.
caelum1infernum,1.56e-05,AWESOME,Daily payout based on your ALIVEM stake.
neoxvoter,1.43e-05,AWESOME,Daily payout based on your ALIVEM stake.
moretea,1.428e-05,AWESOME,Daily payout based on your ALIVEM stake.
heruvim1978,1.407e-05,AWESOME,Daily payout based on your ALIVEM stake.
merthin,1.368e-05,AWESOME,Daily payout based on your ALIVEM stake.
terra.luna,1.231e-05,AWESOME,Daily payout based on your ALIVEM stake.
myjob,1.219e-05,AWESOME,Daily payout based on your ALIVEM stake.
gondek,1.206e-05,AWESOME,Daily payout based on your ALIVEM stake.
alex2alex,1.197e-05,AWESOME,Daily payout based on your ALIVEM stake.
stewie.wieno,1.155e-05,AWESOME,Daily payout based on your ALIVEM stake.
inemsweet29,1.128e-05,AWESOME,Daily payout based on your ALIVEM stake.
beeber,1.103e-05,AWESOME,Daily payout based on your ALIVEM stake.
achimmertens,1.08e-05,AWESOME,Daily payout based on your ALIVEM stake.
myupvote2u,1.068e-05,AWESOME,Daily payout based on your ALIVEM stake.
hiveborgminer,1.057e-05,AWESOME,Daily payout based on your ALIVEM stake.
littlebee4,1.034e-05,AWESOME,Daily payout based on your ALIVEM stake.
bountybouncer,9.7e-06,AWESOME,Daily payout based on your ALIVEM stake.
dimascastillo90,9.54e-06,AWESOME,Daily payout based on your ALIVEM stake.
sabajfa,8.9e-06,AWESOME,Daily payout based on your ALIVEM stake.
libertycrypto27,8.28e-06,AWESOME,Daily payout based on your ALIVEM stake.
bokica80,8.19e-06,AWESOME,Daily payout based on your ALIVEM stake.
synergized,8.01e-06,AWESOME,Daily payout based on your ALIVEM stake.
lozio71,7.5e-06,AWESOME,Daily payout based on your ALIVEM stake.
sofs-su,7.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
madame-cyntaia,7.14e-06,AWESOME,Daily payout based on your ALIVEM stake.
yokosama,6.86e-06,AWESOME,Daily payout based on your ALIVEM stake.
yasirgujrati,6.75e-06,AWESOME,Daily payout based on your ALIVEM stake.
elyelma,6.7e-06,AWESOME,Daily payout based on your ALIVEM stake.
kojiri,6.68e-06,AWESOME,Daily payout based on your ALIVEM stake.
hivecurious,6.66e-06,AWESOME,Daily payout based on your ALIVEM stake.
rcaine,6.61e-06,AWESOME,Daily payout based on your ALIVEM stake.
bechibenner,6.45e-06,AWESOME,Daily payout based on your ALIVEM stake.
jacoalberts,5.88e-06,AWESOME,Daily payout based on your ALIVEM stake.
evernoticethat,5.86e-06,AWESOME,Daily payout based on your ALIVEM stake.
tokutaro22,5.74e-06,AWESOME,Daily payout based on your ALIVEM stake.
chmoen,5.61e-06,AWESOME,Daily payout based on your ALIVEM stake.
keechadkikali,5.42e-06,AWESOME,Daily payout based on your ALIVEM stake.
steem-holder,4.67e-06,AWESOME,Daily payout based on your ALIVEM stake.
onthemountain,4.62e-06,AWESOME,Daily payout based on your ALIVEM stake.
ydaiznfts,4.46e-06,AWESOME,Daily payout based on your ALIVEM stake.
fantagira,4.37e-06,AWESOME,Daily payout based on your ALIVEM stake.
dmhafiz,4.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
benthomasuk,4.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
dubble,4.26e-06,AWESOME,Daily payout based on your ALIVEM stake.
captainquack22,4.14e-06,AWESOME,Daily payout based on your ALIVEM stake.
arpuch,4.05e-06,AWESOME,Daily payout based on your ALIVEM stake.
kryptodenno,4.03e-06,AWESOME,Daily payout based on your ALIVEM stake.
lorddiablo,3.96e-06,AWESOME,Daily payout based on your ALIVEM stake.
liotes.alive,3.89e-06,AWESOME,Daily payout based on your ALIVEM stake.
buezor,3.78e-06,AWESOME,Daily payout based on your ALIVEM stake.
gregory-f,3.73e-06,AWESOME,Daily payout based on your ALIVEM stake.
ricardoeloy,3.71e-06,AWESOME,Daily payout based on your ALIVEM stake.
crazyphantombr,3.57e-06,AWESOME,Daily payout based on your ALIVEM stake.
florenceboens,3.02e-06,AWESOME,Daily payout based on your ALIVEM stake.
azkabananas,2.95e-06,AWESOME,Daily payout based on your ALIVEM stake.
myothuzar,2.91e-06,AWESOME,Daily payout based on your ALIVEM stake.
nahueldare3627,2.81e-06,AWESOME,Daily payout based on your ALIVEM stake.
torran,2.7e-06,AWESOME,Daily payout based on your ALIVEM stake.
fiberfrau,2.65e-06,AWESOME,Daily payout based on your ALIVEM stake.
brando28,2.52e-06,AWESOME,Daily payout based on your ALIVEM stake.
pregosauce,2.47e-06,AWESOME,Daily payout based on your ALIVEM stake.
bitandi,2.43e-06,AWESOME,Daily payout based on your ALIVEM stake.
points-fr,2.38e-06,AWESOME,Daily payout based on your ALIVEM stake.
uthantzin,2.31e-06,AWESOME,Daily payout based on your ALIVEM stake.
pousinha,2.29e-06,AWESOME,Daily payout based on your ALIVEM stake.
helios.curator,2.13e-06,AWESOME,Daily payout based on your ALIVEM stake.
urkanon,2.13e-06,AWESOME,Daily payout based on your ALIVEM stake.
bearmol,2.1e-06,AWESOME,Daily payout based on your ALIVEM stake.
helios.voter,2.01e-06,AWESOME,Daily payout based on your ALIVEM stake.
mad-runner,1.99e-06,AWESOME,Daily payout based on your ALIVEM stake.
