account,amount,symbol,memo
threesteps,0.01174568,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.00443655,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.0036877,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.002713,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.00223848,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00191439,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.0012767,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00105328,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00104757,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00082507,AWESOME,Daily payout based on your ALIVEM stake.
voltz-blag,0.00070892,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.00068623,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00067426,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00054116,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00051068,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00047481,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00045214,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.00040143,AWESOME,Daily payout based on your ALIVEM stake.
faireye,0.00038301,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.00038075,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00033067,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.00032993,AWESOME,Daily payout based on your ALIVEM stake.
zealous4ever,0.00031965,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00023469,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.00022661,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.00021487,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.00021391,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00020003,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.00019154,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00019151,AWESOME,Daily payout based on your ALIVEM stake.
hannes-stoffel,0.00015968,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00015965,AWESOME,Daily payout based on your ALIVEM stake.
truth2,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
jacuzzi,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,0.00015959,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,0.00013954,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,0.00012767,AWESOME,Daily payout based on your ALIVEM stake.
leosoph,0.00011969,AWESOME,Daily payout based on your ALIVEM stake.
oscarps,0.00011956,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,0.00011867,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.00011286,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00010175,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,9.658e-05,AWESOME,Daily payout based on your ALIVEM stake.
captainloken,6.814e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,6.575e-05,AWESOME,Daily payout based on your ALIVEM stake.
gestion.alive,6.537e-05,AWESOME,Daily payout based on your ALIVEM stake.
awah,6.384e-05,AWESOME,Daily payout based on your ALIVEM stake.
mirroredspork,6.384e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,6.384e-05,AWESOME,Daily payout based on your ALIVEM stake.
stdd,6.112e-05,AWESOME,Daily payout based on your ALIVEM stake.
pgm-curator,5.927e-05,AWESOME,Daily payout based on your ALIVEM stake.
edgerik,5.356e-05,AWESOME,Daily payout based on your ALIVEM stake.
imfarhad,5.183e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,5.084e-05,AWESOME,Daily payout based on your ALIVEM stake.
heartbeatonhive,4.998e-05,AWESOME,Daily payout based on your ALIVEM stake.
ddn688,4.443e-05,AWESOME,Daily payout based on your ALIVEM stake.
coininstant,3.367e-05,AWESOME,Daily payout based on your ALIVEM stake.
cwow2,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
nectar-queen,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
nomaddreamer,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
brutalmonkey,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
ben.haase,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
kitsuki,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
mervinthepogi,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
bilpcoinbot,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
infinitytcg,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
loot.alive,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
marshmellowman,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnandgrace,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnsdowie,3.192e-05,AWESOME,Daily payout based on your ALIVEM stake.
engilhramn,3.074e-05,AWESOME,Daily payout based on your ALIVEM stake.
darmst5339,2.987e-05,AWESOME,Daily payout based on your ALIVEM stake.
hoosie,2.911e-05,AWESOME,Daily payout based on your ALIVEM stake.
harpreetjanda,2.748e-05,AWESOME,Daily payout based on your ALIVEM stake.
thoth442,2.745e-05,AWESOME,Daily payout based on your ALIVEM stake.
manuvert,2.442e-05,AWESOME,Daily payout based on your ALIVEM stake.
pedrobrito2004,2.336e-05,AWESOME,Daily payout based on your ALIVEM stake.
adysscheryl,2.327e-05,AWESOME,Daily payout based on your ALIVEM stake.
gurseerat,2.02e-05,AWESOME,Daily payout based on your ALIVEM stake.
visual.alive,1.944e-05,AWESOME,Daily payout based on your ALIVEM stake.
terra.luna,1.717e-05,AWESOME,Daily payout based on your ALIVEM stake.
inemsweet29,1.574e-05,AWESOME,Daily payout based on your ALIVEM stake.
achimmertens,1.507e-05,AWESOME,Daily payout based on your ALIVEM stake.
jmis101,1.487e-05,AWESOME,Daily payout based on your ALIVEM stake.
karizma,1.468e-05,AWESOME,Daily payout based on your ALIVEM stake.
twicejoy,1.465e-05,AWESOME,Daily payout based on your ALIVEM stake.
old-man-chu58,1.328e-05,AWESOME,Daily payout based on your ALIVEM stake.
thatcryptodave,1.277e-05,AWESOME,Daily payout based on your ALIVEM stake.
sabajfa,1.242e-05,AWESOME,Daily payout based on your ALIVEM stake.
yeckingo1,1.162e-05,AWESOME,Daily payout based on your ALIVEM stake.
alzee,1.072e-05,AWESOME,Daily payout based on your ALIVEM stake.
davidxxl,1.066e-05,AWESOME,Daily payout based on your ALIVEM stake.
leemah1,1.053e-05,AWESOME,Daily payout based on your ALIVEM stake.
yasirgujrati,9.42e-06,AWESOME,Daily payout based on your ALIVEM stake.
stewie.wieno,9.32e-06,AWESOME,Daily payout based on your ALIVEM stake.
bokica80,9.22e-06,AWESOME,Daily payout based on your ALIVEM stake.
caelum1infernum,9e-06,AWESOME,Daily payout based on your ALIVEM stake.
libertycrypto27,8.62e-06,AWESOME,Daily payout based on your ALIVEM stake.
bechibenner,8.23e-06,AWESOME,Daily payout based on your ALIVEM stake.
kalib,8.14e-06,AWESOME,Daily payout based on your ALIVEM stake.
tydynrain,7.98e-06,AWESOME,Daily payout based on your ALIVEM stake.
kojiri,7.21e-06,AWESOME,Daily payout based on your ALIVEM stake.
moretea,6.89e-06,AWESOME,Daily payout based on your ALIVEM stake.
lozio71,6.77e-06,AWESOME,Daily payout based on your ALIVEM stake.
myupvote2u,6.77e-06,AWESOME,Daily payout based on your ALIVEM stake.
benthomasuk,6.03e-06,AWESOME,Daily payout based on your ALIVEM stake.
