account,amount,symbol,memo
threesteps,0.01245649,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.00470503,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.00382895,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.00287718,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00201453,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.00135397,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00111702,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00102573,AWESOME,Daily payout based on your ALIVEM stake.
aliveprojects,0.0009053,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00082402,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.00079471,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.00072776,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00071381,AWESOME,Daily payout based on your ALIVEM stake.
voltz-blag,0.00058214,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00054159,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00044962,AWESOME,Daily payout based on your ALIVEM stake.
faireye,0.00040619,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.00039922,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00039004,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00038987,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.00034919,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00034628,AWESOME,Daily payout based on your ALIVEM stake.
zealous4ever,0.00033849,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.00029303,AWESOME,Daily payout based on your ALIVEM stake.
pgm-curator,0.00025109,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00024849,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.00021034,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.00020993,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.00020309,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00020309,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.00020113,AWESOME,Daily payout based on your ALIVEM stake.
jacuzzi,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
leosoph,0.00016925,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,0.0001354,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.00011309,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,0.00010554,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00010439,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,0.00010182,AWESOME,Daily payout based on your ALIVEM stake.
hannes-stoffel,0.00010158,AWESOME,Daily payout based on your ALIVEM stake.
gestion.alive,9.055e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,6.973e-05,AWESOME,Daily payout based on your ALIVEM stake.
captainloken,6.875e-05,AWESOME,Daily payout based on your ALIVEM stake.
mirroredspork,6.77e-05,AWESOME,Daily payout based on your ALIVEM stake.
awah,6.77e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,6.77e-05,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,5.433e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,5.189e-05,AWESOME,Daily payout based on your ALIVEM stake.
stdd,4.055e-05,AWESOME,Daily payout based on your ALIVEM stake.
coininstant,3.571e-05,AWESOME,Daily payout based on your ALIVEM stake.
nomaddreamer,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
cwow2,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
ben.haase,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
kitsuki,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
infinitytcg,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
mervinthepogi,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
ddn688,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnsdowie,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
darkwarrior33,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnandgrace,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
marshmellowman,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
loot.alive,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
bilpcoinbot,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
nectar-queen,3.385e-05,AWESOME,Daily payout based on your ALIVEM stake.
