account,amount,symbol,memo
threesteps,0.01326885,AWESOME,Daily payout based on your ALIVEM stake.
hive.pizza,0.00501187,AWESOME,Daily payout based on your ALIVEM stake.
jlufer,0.00403301,AWESOME,Daily payout based on your ALIVEM stake.
kingneptune,0.00306481,AWESOME,Daily payout based on your ALIVEM stake.
hafiz34,0.00214591,AWESOME,Daily payout based on your ALIVEM stake.
gank,0.00144227,AWESOME,Daily payout based on your ALIVEM stake.
dibblers.dabs,0.00118987,AWESOME,Daily payout based on your ALIVEM stake.
aliveprojects,0.00094104,AWESOME,Daily payout based on your ALIVEM stake.
noctury,0.00083193,AWESOME,Daily payout based on your ALIVEM stake.
zoe24,0.00077522,AWESOME,Daily payout based on your ALIVEM stake.
bambukah,0.00075968,AWESOME,Daily payout based on your ALIVEM stake.
davidthompson57,0.00072629,AWESOME,Daily payout based on your ALIVEM stake.
d00k13,0.00057691,AWESOME,Daily payout based on your ALIVEM stake.
ironshield,0.00045064,AWESOME,Daily payout based on your ALIVEM stake.
faireye,0.00043268,AWESOME,Daily payout based on your ALIVEM stake.
iamraincrystal,0.0004193,AWESOME,Daily payout based on your ALIVEM stake.
pgm-curator,0.0004012,AWESOME,Daily payout based on your ALIVEM stake.
hankanon,0.0003751,AWESOME,Daily payout based on your ALIVEM stake.
guurry123,0.00037196,AWESOME,Daily payout based on your ALIVEM stake.
bradleyarrow,0.00036965,AWESOME,Daily payout based on your ALIVEM stake.
beststart,0.00036659,AWESOME,Daily payout based on your ALIVEM stake.
flaxz,0.00035948,AWESOME,Daily payout based on your ALIVEM stake.
elizabetamt,0.00026448,AWESOME,Daily payout based on your ALIVEM stake.
flaxz.alive,0.00023617,AWESOME,Daily payout based on your ALIVEM stake.
master-lamps,0.00021634,AWESOME,Daily payout based on your ALIVEM stake.
justclickindiva,0.00021634,AWESOME,Daily payout based on your ALIVEM stake.
alokkumar121,0.0002145,AWESOME,Daily payout based on your ALIVEM stake.
mypathtofire,0.0002026,AWESOME,Daily payout based on your ALIVEM stake.
masoom,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
wine-cellar,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
leosoph,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
neshk,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
jimmy.adames,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
hivecoffee,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
khan.dayyanz,0.00018028,AWESOME,Daily payout based on your ALIVEM stake.
benthomaswwd,0.00015948,AWESOME,Daily payout based on your ALIVEM stake.
ana-maria,0.00014664,AWESOME,Daily payout based on your ALIVEM stake.
ministickupboy,0.00014423,AWESOME,Daily payout based on your ALIVEM stake.
lightcaptured,0.00011704,AWESOME,Daily payout based on your ALIVEM stake.
vocup,0.00011004,AWESOME,Daily payout based on your ALIVEM stake.
hive-112281,8.877e-05,AWESOME,Daily payout based on your ALIVEM stake.
gestion.alive,7.914e-05,AWESOME,Daily payout based on your ALIVEM stake.
bastionpm,7.392e-05,AWESOME,Daily payout based on your ALIVEM stake.
captainloken,7.265e-05,AWESOME,Daily payout based on your ALIVEM stake.
awah,7.211e-05,AWESOME,Daily payout based on your ALIVEM stake.
globetrottergcc,7.211e-05,AWESOME,Daily payout based on your ALIVEM stake.
chaosmagic23,5.56e-05,AWESOME,Daily payout based on your ALIVEM stake.
mario89,5.473e-05,AWESOME,Daily payout based on your ALIVEM stake.
coininstant,3.689e-05,AWESOME,Daily payout based on your ALIVEM stake.
tengolotodo,3.609e-05,AWESOME,Daily payout based on your ALIVEM stake.
bilpcoinbot,3.606e-05,AWESOME,Daily payout based on your ALIVEM stake.
johnsdowie,3.606e-05,AWESOME,Daily payout based on your ALIVEM stake.
ddn688,3.606e-05,AWESOME,Daily payout based on your ALIVEM stake.
brutalmonkey,3.606e-05,AWESOME,Daily payout based on your ALIVEM stake.
