account,amount,symbol,memo
flaxz.alive,0.0389391,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02768255,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02583241,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.01896874,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01232427,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01198735,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01176709,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00891292,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00815939,BRO,Daily payout based on your ALIVE stake.
ironshield,0.0077389,BRO,Daily payout based on your ALIVE stake.
edgerik,0.006776,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00654745,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.0061479,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00614007,BRO,Daily payout based on your ALIVE stake.
masoom,0.00565063,BRO,Daily payout based on your ALIVE stake.
urri2020,0.00525108,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00488535,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00468649,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00434186,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00404228,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00390944,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00378999,BRO,Daily payout based on your ALIVE stake.
vocup,0.00353139,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00347254,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00340087,BRO,Daily payout based on your ALIVE stake.
noctury,0.00339733,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00305885,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00282435,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00272102,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00265556,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00250197,BRO,Daily payout based on your ALIVE stake.
awah,0.00224922,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00222006,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00221301,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00221028,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00209538,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.00209462,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00201788,BRO,Daily payout based on your ALIVE stake.
stdd,0.0020033,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00196619,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00195597,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.0019531,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00189353,BRO,Daily payout based on your ALIVE stake.
magicalive,0.0018913,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00182948,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00175162,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00173828,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00171613,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00170269,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00169274,BRO,Daily payout based on your ALIVE stake.
hankanon,0.00162501,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00157369,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00148755,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00143971,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00142897,BRO,Daily payout based on your ALIVE stake.
beststart,0.00140332,BRO,Daily payout based on your ALIVE stake.
merthin,0.00137257,BRO,Daily payout based on your ALIVE stake.
jmis101,0.00134332,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00133181,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00131086,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.0013047,BRO,Daily payout based on your ALIVE stake.
alzee,0.0012544,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00123299,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00120207,BRO,Daily payout based on your ALIVE stake.
master-lamps,0.00118322,BRO,Daily payout based on your ALIVE stake.
gank,0.00112846,BRO,Daily payout based on your ALIVE stake.
synergized,0.00107183,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00106653,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00101544,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00101317,BRO,Daily payout based on your ALIVE stake.
toekins,0.00098266,BRO,Daily payout based on your ALIVE stake.
neoxvoter,0.00095908,BRO,Daily payout based on your ALIVE stake.
bambukah,0.00094818,BRO,Daily payout based on your ALIVE stake.
alive.voter,0.00094208,BRO,Daily payout based on your ALIVE stake.
alex2alex,0.00092524,BRO,Daily payout based on your ALIVE stake.
kam5iz,0.00089918,BRO,Daily payout based on your ALIVE stake.
myjob,0.00089002,BRO,Daily payout based on your ALIVE stake.
griega,0.00088936,BRO,Daily payout based on your ALIVE stake.
certain,0.00088829,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00085926,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.00084935,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00083938,BRO,Daily payout based on your ALIVE stake.
oasiskp2,0.00083792,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00080538,BRO,Daily payout based on your ALIVE stake.
