account,amount,symbol,memo
flaxz.alive,0.04656398,BRO,Daily payout based on your ALIVE stake.
jlufer,0.0355231,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03057293,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02389872,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01544235,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01307122,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01212173,BRO,Daily payout based on your ALIVE stake.
masoom,0.00962955,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00870908,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00823815,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00710524,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00698042,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00632863,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00573633,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00543499,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00535396,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00499738,BRO,Daily payout based on your ALIVE stake.
primersion,0.00465513,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00446555,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00415327,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00305326,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.0030041,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.0028094,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00269978,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00269005,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00258322,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.0024762,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00244681,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00237784,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00236636,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00235965,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00234116,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00232823,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00232794,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00231715,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00229503,BRO,Daily payout based on your ALIVE stake.
manuvert,0.0020817,BRO,Daily payout based on your ALIVE stake.
daniky,0.0020248,BRO,Daily payout based on your ALIVE stake.
