account,amount,symbol,memo
flaxz.alive,0.04257754,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02980313,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02810878,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.020771,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01341919,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01246631,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01226944,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00884811,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00785156,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00724782,BRO,Daily payout based on your ALIVE stake.
ironshield,0.0067181,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00652661,BRO,Daily payout based on your ALIVE stake.
masoom,0.00651974,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00629088,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00616031,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00487442,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00425692,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00425429,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00392168,BRO,Daily payout based on your ALIVE stake.
primersion,0.00390547,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00375427,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00372354,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00342082,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00337042,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00312796,BRO,Daily payout based on your ALIVE stake.
vocup,0.00297673,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00286454,BRO,Daily payout based on your ALIVE stake.
noctury,0.00277698,BRO,Daily payout based on your ALIVE stake.
manuvert,0.0026766,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00265978,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00256154,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.0023716,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00233851,BRO,Daily payout based on your ALIVE stake.
