account,amount,symbol,memo
flaxz.alive,0.04013865,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02832128,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02663476,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.01909594,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01223444,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01216715,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01176252,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00825451,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00806312,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00710067,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00665757,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00662963,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00619231,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.0061496,BRO,Daily payout based on your ALIVE stake.
masoom,0.00582625,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00503718,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00447509,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00423478,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.0039784,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00396813,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00380185,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00353628,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.003492,BRO,Daily payout based on your ALIVE stake.
primersion,0.00349003,BRO,Daily payout based on your ALIVE stake.
vocup,0.00340483,BRO,Daily payout based on your ALIVE stake.
noctury,0.00319616,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00304363,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00279132,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00264901,BRO,Daily payout based on your ALIVE stake.
urri2020,0.002625,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00262087,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00236901,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00233798,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00228906,BRO,Daily payout based on your ALIVE stake.
awah,0.00221228,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.0022082,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00216051,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00213799,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00202729,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00201675,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.0019894,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00192988,BRO,Daily payout based on your ALIVE stake.
flaxz,0.0018676,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00183,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00180606,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.00179606,BRO,Daily payout based on your ALIVE stake.
