account,amount,symbol,memo
flaxz.alive,0.04166057,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02800547,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02641238,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.01955921,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01275047,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01228318,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01197547,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00867962,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.0078816,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00691608,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00687977,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00637268,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00628781,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00628341,BRO,Daily payout based on your ALIVE stake.
masoom,0.0061263,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00529583,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00463798,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.0041468,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00399758,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00390019,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00374872,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00371308,BRO,Daily payout based on your ALIVE stake.
primersion,0.00366977,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00358924,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00330627,BRO,Daily payout based on your ALIVE stake.
vocup,0.00326235,BRO,Daily payout based on your ALIVE stake.
noctury,0.00309997,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00297253,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00274216,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00261668,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00240695,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00230864,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00227177,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00225432,BRO,Daily payout based on your ALIVE stake.
awah,0.00223496,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.0021953,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00214498,BRO,Daily payout based on your ALIVE stake.
rcaine,0.0021317,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00212062,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.00201843,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00201261,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00193054,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00188383,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00186049,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00185921,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00184591,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00183516,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00170513,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00166694,BRO,Daily payout based on your ALIVE stake.
stdd,0.00163565,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.00159697,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00156036,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00155985,BRO,Daily payout based on your ALIVE stake.
hankanon,0.00150615,BRO,Daily payout based on your ALIVE stake.
beststart,0.00144453,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00144392,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00138159,BRO,Daily payout based on your ALIVE stake.
merthin,0.00137563,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00135849,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00130308,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00129462,BRO,Daily payout based on your ALIVE stake.
visual.alive,0.00128618,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.0012587,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00125752,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00124428,BRO,Daily payout based on your ALIVE stake.
alzee,0.00123548,BRO,Daily payout based on your ALIVE stake.
gank,0.00122345,BRO,Daily payout based on your ALIVE stake.
siddhartaz,0.00113688,BRO,Daily payout based on your ALIVE stake.
toekins,0.00106041,BRO,Daily payout based on your ALIVE stake.
neoxvoter,0.00101663,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00101626,BRO,Daily payout based on your ALIVE stake.
griega,0.00096386,BRO,Daily payout based on your ALIVE stake.
certain,0.00096281,BRO,Daily payout based on your ALIVE stake.
kam5iz,0.00096187,BRO,Daily payout based on your ALIVE stake.
bambukah,0.00093192,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00088573,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00087028,BRO,Daily payout based on your ALIVE stake.
misterc,0.00086144,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00085773,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00085026,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00084625,BRO,Daily payout based on your ALIVE stake.
master-lamps,0.00082748,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00080788,BRO,Daily payout based on your ALIVE stake.
synergized,0.0008033,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00078932,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00078892,BRO,Daily payout based on your ALIVE stake.
alex2alex,0.00077163,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.00076933,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00076327,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00075972,BRO,Daily payout based on your ALIVE stake.
melinda010100,0.00075469,BRO,Daily payout based on your ALIVE stake.
points-fr,0.00074521,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.00072279,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00069235,BRO,Daily payout based on your ALIVE stake.
coininstant,0.00068325,BRO,Daily payout based on your ALIVE stake.
bearmol,0.00067328,BRO,Daily payout based on your ALIVE stake.
myjob,0.00066791,BRO,Daily payout based on your ALIVE stake.
