account,amount,symbol,memo
flaxz.alive,0.03919605,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02786567,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02600321,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.01908999,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01213228,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01201281,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01168364,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00880423,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00821251,BRO,Daily payout based on your ALIVE stake.
ironshield,0.0072531,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00661165,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00654828,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00613636,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00600716,BRO,Daily payout based on your ALIVE stake.
masoom,0.00568801,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00491766,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00438535,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00437004,BRO,Daily payout based on your ALIVE stake.
urri2020,0.00416086,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00404029,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00390123,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00374781,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00346577,BRO,Daily payout based on your ALIVE stake.
vocup,0.00345909,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.0034539,BRO,Daily payout based on your ALIVE stake.
primersion,0.00340722,BRO,Daily payout based on your ALIVE stake.
noctury,0.00327178,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00307649,BRO,Daily payout based on your ALIVE stake.
manuvert,0.0028035,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00264093,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00255885,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00251528,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00241436,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00223475,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0022209,BRO,Daily payout based on your ALIVE stake.
awah,0.00221963,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00219317,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00210924,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00200595,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00197919,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.0019689,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.00196516,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.0019639,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00190381,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00189598,BRO,Daily payout based on your ALIVE stake.
stdd,0.00189213,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00183375,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00176321,BRO,Daily payout based on your ALIVE stake.
ddn688,0.0017496,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00172745,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00171392,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.0017039,BRO,Daily payout based on your ALIVE stake.
hankanon,0.00163574,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00158368,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00146291,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00144917,BRO,Daily payout based on your ALIVE stake.
beststart,0.00141199,BRO,Daily payout based on your ALIVE stake.
merthin,0.00138128,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00134062,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00131953,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00130503,BRO,Daily payout based on your ALIVE stake.
alzee,0.00126063,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00125043,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00123164,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00122153,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00120996,BRO,Daily payout based on your ALIVE stake.
jmis101,0.0011585,BRO,Daily payout based on your ALIVE stake.
gank,0.00113592,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00104955,BRO,Daily payout based on your ALIVE stake.
synergized,0.00101091,BRO,Daily payout based on your ALIVE stake.
toekins,0.00098852,BRO,Daily payout based on your ALIVE stake.
neoxvoter,0.00096202,BRO,Daily payout based on your ALIVE stake.
bambukah,0.00094552,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00094488,BRO,Daily payout based on your ALIVE stake.
kam5iz,0.00090513,BRO,Daily payout based on your ALIVE stake.
griega,0.00089511,BRO,Daily payout based on your ALIVE stake.
certain,0.00089406,BRO,Daily payout based on your ALIVE stake.
alex2alex,0.00088957,BRO,Daily payout based on your ALIVE stake.
