account,amount,symbol,memo
flaxz.alive,0.03611245,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02607303,BRO,Daily payout based on your ALIVE stake.
jlufer,0.02395691,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.01759873,BRO,Daily payout based on your ALIVE stake.
threesteps,0.01741499,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.011737,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01119953,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01113645,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00826573,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00796183,BRO,Daily payout based on your ALIVE stake.
urri2020,0.00777355,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00762266,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00658934,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00614028,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00607656,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00575427,BRO,Daily payout based on your ALIVE stake.
masoom,0.00524032,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00471997,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00453167,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00402715,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00401686,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00366641,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00355669,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00340831,BRO,Daily payout based on your ALIVE stake.
noctury,0.00331536,BRO,Daily payout based on your ALIVE stake.
vocup,0.00330207,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00328132,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00299654,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00276591,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00263402,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.0026001,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00251711,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00231809,BRO,Daily payout based on your ALIVE stake.
awah,0.00217174,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.00215199,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00209746,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00205886,BRO,Daily payout based on your ALIVE stake.
stdd,0.00203905,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00194347,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00190915,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00189002,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00182342,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00181394,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.00181278,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00175397,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00170869,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00168724,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00161224,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00159155,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00157905,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00157045,BRO,Daily payout based on your ALIVE stake.
master-lamps,0.00154358,BRO,Daily payout based on your ALIVE stake.
hankanon,0.00150702,BRO,Daily payout based on your ALIVE stake.
toekins,0.00147752,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00147474,BRO,Daily payout based on your ALIVE stake.
jmis101,0.00146698,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00146065,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00140075,BRO,Daily payout based on your ALIVE stake.
hivecurious,0.00137363,BRO,Daily payout based on your ALIVE stake.
alive.voter,0.00136148,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00133542,BRO,Daily payout based on your ALIVE stake.
beststart,0.00130236,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00127666,BRO,Daily payout based on your ALIVE stake.
merthin,0.00127316,BRO,Daily payout based on your ALIVE stake.
raishmi,0.0012351,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00121567,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00116628,BRO,Daily payout based on your ALIVE stake.
alzee,0.00116331,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00111491,BRO,Daily payout based on your ALIVE stake.
synergized,0.00107364,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00106987,BRO,Daily payout based on your ALIVE stake.
gank,0.00104652,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00100932,BRO,Daily payout based on your ALIVE stake.
oasiskp2,0.00091559,BRO,Daily payout based on your ALIVE stake.
kam5iz,0.00090981,BRO,Daily payout based on your ALIVE stake.
alex2alex,0.00090564,BRO,Daily payout based on your ALIVE stake.
myjob,0.00090493,BRO,Daily payout based on your ALIVE stake.
neoxvoter,0.00089126,BRO,Daily payout based on your ALIVE stake.
sammyhive,0.0008673,BRO,Daily payout based on your ALIVE stake.
griega,0.00082478,BRO,Daily payout based on your ALIVE stake.
certain,0.00082385,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.00080664,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00079687,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00078739,BRO,Daily payout based on your ALIVE stake.
bambukah,0.00078475,BRO,Daily payout based on your ALIVE stake.
ijelady,0.00078025,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00074916,BRO,Daily payout based on your ALIVE stake.
melinda010100,0.0007453,BRO,Daily payout based on your ALIVE stake.
caelum1infernum,0.00074024,BRO,Daily payout based on your ALIVE stake.
misterc,0.00073942,BRO,Daily payout based on your ALIVE stake.
littlebee4,0.00073425,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00072733,BRO,Daily payout based on your ALIVE stake.
sumatranate,0.00070698,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00069104,BRO,Daily payout based on your ALIVE stake.
tengolotodo,0.0006838,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00067907,BRO,Daily payout based on your ALIVE stake.
mirroredspork,0.00067894,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00067592,BRO,Daily payout based on your ALIVE stake.
points-fr,0.00066898,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.00065742,BRO,Daily payout based on your ALIVE stake.
new.things,0.00065718,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00065289,BRO,Daily payout based on your ALIVE stake.
rbhayes,0.0006377,BRO,Daily payout based on your ALIVE stake.
dragokazo,0.00062089,BRO,Daily payout based on your ALIVE stake.
bearmol,0.00062082,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00060924,BRO,Daily payout based on your ALIVE stake.
thoth442,0.0006039,BRO,Daily payout based on your ALIVE stake.
karizma,0.00060185,BRO,Daily payout based on your ALIVE stake.
coininstant,0.00059819,BRO,Daily payout based on your ALIVE stake.
vaynard86,0.00059248,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00059225,BRO,Daily payout based on your ALIVE stake.
