account,amount,symbol,memo
flaxz.alive,0.04322298,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03140998,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.02962498,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02188411,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01400744,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01256793,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01252896,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00892209,BRO,Daily payout based on your ALIVE stake.
masoom,0.00851676,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00753643,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00710894,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.006771,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00626256,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.006234,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00600933,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00501912,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00448377,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.0042478,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00411646,BRO,Daily payout based on your ALIVE stake.
primersion,0.00411613,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00395394,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00385146,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00311141,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.002872,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00269971,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00268878,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00263978,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00256948,BRO,Daily payout based on your ALIVE stake.
noctury,0.0025289,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00249201,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00237855,BRO,Daily payout based on your ALIVE stake.
vocup,0.00236779,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00235681,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00235471,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00220401,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00213497,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00211581,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00211227,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.0020867,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00207035,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00205837,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.00203376,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00200823,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00200262,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00191253,BRO,Daily payout based on your ALIVE stake.
oscarps,0.00183543,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00174904,BRO,Daily payout based on your ALIVE stake.
awah,0.00173669,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00169622,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00165263,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00161954,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00150861,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00146746,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00146145,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.0014517,BRO,Daily payout based on your ALIVE stake.
hankanon,0.0014462,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00138111,BRO,Daily payout based on your ALIVE stake.
gank,0.00131494,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00130553,BRO,Daily payout based on your ALIVE stake.
merthin,0.00128853,BRO,Daily payout based on your ALIVE stake.
beststart,0.00125799,BRO,Daily payout based on your ALIVE stake.
stdd,0.00124156,BRO,Daily payout based on your ALIVE stake.
toekins,0.00117468,BRO,Daily payout based on your ALIVE stake.
alzee,0.00115365,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00113767,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00112122,BRO,Daily payout based on your ALIVE stake.
griega,0.00108109,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00099592,BRO,Daily payout based on your ALIVE stake.
tydynrain,0.000991,BRO,Daily payout based on your ALIVE stake.
visual.alive,0.00097795,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00097144,BRO,Daily payout based on your ALIVE stake.
misterc,0.00096522,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00094918,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00094036,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00090614,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00088374,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.00087846,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.000877,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.0008559,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00085089,BRO,Daily payout based on your ALIVE stake.
bambukah,0.00084255,BRO,Daily payout based on your ALIVE stake.
points-fr,0.00083577,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.00080543,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00077656,BRO,Daily payout based on your ALIVE stake.
alex2alex,0.00076137,BRO,Daily payout based on your ALIVE stake.
coininstant,0.00075508,BRO,Daily payout based on your ALIVE stake.
jacoalberts,0.00075387,BRO,Daily payout based on your ALIVE stake.
laruche,0.00073867,BRO,Daily payout based on your ALIVE stake.
macfit,0.00072754,BRO,Daily payout based on your ALIVE stake.
moretea,0.00070173,BRO,Daily payout based on your ALIVE stake.
chireerocks.live,0.00069644,BRO,Daily payout based on your ALIVE stake.
vickoly,0.0006953,BRO,Daily payout based on your ALIVE stake.
bearmol,0.00069257,BRO,Daily payout based on your ALIVE stake.
melinda010100,0.00069071,BRO,Daily payout based on your ALIVE stake.
lightcaptured,0.00068807,BRO,Daily payout based on your ALIVE stake.
johnsdowie,0.00068584,BRO,Daily payout based on your ALIVE stake.
kam5iz,0.00067958,BRO,Daily payout based on your ALIVE stake.
wdougwatson,0.00065867,BRO,Daily payout based on your ALIVE stake.
