account,amount,symbol,memo
flaxz.alive,0.04367089,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03188956,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03007726,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02217808,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01417515,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01271147,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01255847,BRO,Daily payout based on your ALIVE stake.
masoom,0.00864668,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00858102,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00761307,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00704822,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00682985,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00632831,BRO,Daily payout based on your ALIVE stake.
edgerik,0.0059875,BRO,Daily payout based on your ALIVE stake.
ironshield,0.0059448,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00509467,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00455219,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00430506,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00418062,BRO,Daily payout based on your ALIVE stake.
primersion,0.00417898,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00401335,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00388106,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00298423,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00290846,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00274093,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.0026259,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00261948,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00253006,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00250237,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00241487,BRO,Daily payout based on your ALIVE stake.
noctury,0.00240659,BRO,Daily payout based on your ALIVE stake.
vocup,0.00238236,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00235261,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00234708,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00223404,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00216252,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00214389,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00211844,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00210192,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.0020898,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00204897,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.0020216,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00195876,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00183658,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.00180071,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00177545,BRO,Daily payout based on your ALIVE stake.
awah,0.0017625,BRO,Daily payout based on your ALIVE stake.
oscarps,0.001738,BRO,Daily payout based on your ALIVE stake.
