account,amount,symbol,memo
flaxz.alive,0.04544908,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03333843,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03045805,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02287134,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01468812,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01277109,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01276168,BRO,Daily payout based on your ALIVE stake.
masoom,0.00903929,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00838331,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00785697,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00711662,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00693208,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00638831,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00591872,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00576447,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00529515,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00475894,BRO,Daily payout based on your ALIVE stake.
primersion,0.00436882,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.0041998,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00419212,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00398332,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00290114,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00286547,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00263661,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00261809,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00252494,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.0025246,BRO,Daily payout based on your ALIVE stake.
vocup,0.00245357,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00238702,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00232513,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00229468,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00229438,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00225029,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00224763,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00222213,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00221461,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00219725,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00218476,BRO,Daily payout based on your ALIVE stake.
noctury,0.00206337,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00204858,BRO,Daily payout based on your ALIVE stake.
chaosmagic23,0.00202445,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00188746,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00185568,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00184414,BRO,Daily payout based on your ALIVE stake.
awah,0.00184048,BRO,Daily payout based on your ALIVE stake.
davidthompson57,0.00178863,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00171898,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.0016903,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00163172,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00155106,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00154079,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00150677,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00143523,BRO,Daily payout based on your ALIVE stake.
hankanon,0.00140827,BRO,Daily payout based on your ALIVE stake.
gank,0.00137978,BRO,Daily payout based on your ALIVE stake.
merthin,0.00136638,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.00134777,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00130761,BRO,Daily payout based on your ALIVE stake.
toekins,0.00124517,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00115523,BRO,Daily payout based on your ALIVE stake.
griega,0.00114743,BRO,Daily payout based on your ALIVE stake.
alzee,0.00112143,BRO,Daily payout based on your ALIVE stake.
pedrobrito2004,0.00106476,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00102816,BRO,Daily payout based on your ALIVE stake.
misterc,0.00102417,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00100856,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00100746,BRO,Daily payout based on your ALIVE stake.
stdd,0.00098087,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00097666,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00096178,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.000938,BRO,Daily payout based on your ALIVE stake.
elizabetamt,0.0009324,BRO,Daily payout based on your ALIVE stake.
captaincryptic,0.00093072,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00092834,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00090741,BRO,Daily payout based on your ALIVE stake.
beststart,0.00090529,BRO,Daily payout based on your ALIVE stake.
adysscheryl,0.00090317,BRO,Daily payout based on your ALIVE stake.
ilovewintergem,0.00090235,BRO,Daily payout based on your ALIVE stake.
epic-fail,0.00085168,BRO,Daily payout based on your ALIVE stake.
mlrequena78,0.00082424,BRO,Daily payout based on your ALIVE stake.
