account,amount,symbol,memo
flaxz.alive,0.04628264,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03530829,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03039213,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02377939,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01537123,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01303968,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01205055,BRO,Daily payout based on your ALIVE stake.
masoom,0.00957146,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00865642,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00820782,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00708588,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00694773,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00629087,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00570783,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00540254,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00538543,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00496721,BRO,Daily payout based on your ALIVE stake.
primersion,0.00462698,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.0044386,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00412857,BRO,Daily payout based on your ALIVE stake.
gestion.alive,0.00307849,BRO,Daily payout based on your ALIVE stake.
d00k13,0.0030348,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00279927,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00279242,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00267378,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00256946,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00246142,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00243944,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00236527,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00235976,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00235224,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00234538,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00232792,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.002327,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00231386,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00231219,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00210267,BRO,Daily payout based on your ALIVE stake.
daniky,0.00201256,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00196469,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00195131,BRO,Daily payout based on your ALIVE stake.
awah,0.00194813,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00194184,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00182056,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00176113,BRO,Daily payout based on your ALIVE stake.
noctury,0.00165466,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00164271,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00163184,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00162309,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00159187,BRO,Daily payout based on your ALIVE stake.
steem-holder,0.00150192,BRO,Daily payout based on your ALIVE stake.
