account,amount,symbol,memo
dajokawild,6.78e-06,BRO,Daily payout based on your ALIVE stake.
itsostylish,6.72e-06,BRO,Daily payout based on your ALIVE stake.
jongolson,6.64e-06,BRO,Daily payout based on your ALIVE stake.
penyaircyber,6.63e-06,BRO,Daily payout based on your ALIVE stake.
technicalside,6.62e-06,BRO,Daily payout based on your ALIVE stake.
koussbar,6.6e-06,BRO,Daily payout based on your ALIVE stake.
tattoodjay,6.59e-06,BRO,Daily payout based on your ALIVE stake.
nyimwa,6.56e-06,BRO,Daily payout based on your ALIVE stake.
andyplays,6.54e-06,BRO,Daily payout based on your ALIVE stake.
thecryptopimp,6.52e-06,BRO,Daily payout based on your ALIVE stake.
gillianpearce,6.47e-06,BRO,Daily payout based on your ALIVE stake.
rentaw03,6.45e-06,BRO,Daily payout based on your ALIVE stake.
lolztoken,6.26e-06,BRO,Daily payout based on your ALIVE stake.
krevasilis,6.2e-06,BRO,Daily payout based on your ALIVE stake.
failingforwards,6.15e-06,BRO,Daily payout based on your ALIVE stake.
liquidity.pool,6.09e-06,BRO,Daily payout based on your ALIVE stake.
choco11oreo11,6.07e-06,BRO,Daily payout based on your ALIVE stake.
steevc,6.06e-06,BRO,Daily payout based on your ALIVE stake.
cindynancy,6.05e-06,BRO,Daily payout based on your ALIVE stake.
dbooster,5.99e-06,BRO,Daily payout based on your ALIVE stake.
danielhuhservice,5.92e-06,BRO,Daily payout based on your ALIVE stake.
hhayweaver,5.88e-06,BRO,Daily payout based on your ALIVE stake.
yen1503,5.87e-06,BRO,Daily payout based on your ALIVE stake.
josman831,5.84e-06,BRO,Daily payout based on your ALIVE stake.
hopestylist,5.8e-06,BRO,Daily payout based on your ALIVE stake.
gtpjfoodbank,5.69e-06,BRO,Daily payout based on your ALIVE stake.
rtonline,5.69e-06,BRO,Daily payout based on your ALIVE stake.
sydney.potts,5.69e-06,BRO,Daily payout based on your ALIVE stake.
hatke,5.66e-06,BRO,Daily payout based on your ALIVE stake.
weldmaster,5.62e-06,BRO,Daily payout based on your ALIVE stake.
foodwhale,5.6e-06,BRO,Daily payout based on your ALIVE stake.
truth2.curator,5.54e-06,BRO,Daily payout based on your ALIVE stake.
soyunasantacruz,5.53e-06,BRO,Daily payout based on your ALIVE stake.
rs405,5.45e-06,BRO,Daily payout based on your ALIVE stake.
pvmihalache,5.45e-06,BRO,Daily payout based on your ALIVE stake.
mineopoly,5.32e-06,BRO,Daily payout based on your ALIVE stake.
zakludick,5.3e-06,BRO,Daily payout based on your ALIVE stake.
ykretz.sports,5.14e-06,BRO,Daily payout based on your ALIVE stake.
steemjustice,5.13e-06,BRO,Daily payout based on your ALIVE stake.
libertysports27,5.04e-06,BRO,Daily payout based on your ALIVE stake.
