account,amount,symbol,memo
flaxz.alive,0.04661195,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03591888,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.03044589,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02410338,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01557437,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01312929,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01213959,BRO,Daily payout based on your ALIVE stake.
masoom,0.0097368,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00872251,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00830743,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.0071298,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00677515,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00639863,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00564889,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00549504,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00534092,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00499772,BRO,Daily payout based on your ALIVE stake.
primersion,0.004707,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00451531,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00418445,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00308728,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.00284071,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00272002,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00261331,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00258535,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00250365,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00245338,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00240071,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00239273,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00238575,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.0023672,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00235388,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00232053,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00225936,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00221829,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00204041,BRO,Daily payout based on your ALIVE stake.
daniky,0.00202794,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00199834,BRO,Daily payout based on your ALIVE stake.
awah,0.00198159,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00195428,BRO,Daily payout based on your ALIVE stake.
rcaine,0.00191944,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00185205,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00172255,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00167107,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00163574,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00162755,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00160501,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00150539,BRO,Daily payout based on your ALIVE stake.
mintfinch,0.00149438,BRO,Daily payout based on your ALIVE stake.
gank,0.00139162,BRO,Daily payout based on your ALIVE stake.
noctury,0.00139058,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00130827,BRO,Daily payout based on your ALIVE stake.
griega,0.00123625,BRO,Daily payout based on your ALIVE stake.
merthin,0.00121595,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00121369,BRO,Daily payout based on your ALIVE stake.
toekins,0.0011969,BRO,Daily payout based on your ALIVE stake.
guurry123,0.0011037,BRO,Daily payout based on your ALIVE stake.
misterc,0.00110257,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00108545,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00103623,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00101917,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00101222,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00101061,BRO,Daily payout based on your ALIVE stake.
