account,amount,symbol,memo
flaxz.alive,0.04687089,BRO,Daily payout based on your ALIVE stake.
jlufer,0.03611849,BRO,Daily payout based on your ALIVE stake.
hafiz34,0.0303985,BRO,Daily payout based on your ALIVE stake.
iamraincrystal,0.02420967,BRO,Daily payout based on your ALIVE stake.
lukeisalive,0.01563725,BRO,Daily payout based on your ALIVE stake.
bradleyarrow,0.01313726,BRO,Daily payout based on your ALIVE stake.
gurseerat,0.01220706,BRO,Daily payout based on your ALIVE stake.
masoom,0.00979091,BRO,Daily payout based on your ALIVE stake.
maddogmike,0.00832286,BRO,Daily payout based on your ALIVE stake.
kingneptune,0.00788975,BRO,Daily payout based on your ALIVE stake.
darmst5339,0.00712471,BRO,Daily payout based on your ALIVE stake.
benthomaswwd,0.00668388,BRO,Daily payout based on your ALIVE stake.
imfarhad,0.00643381,BRO,Daily payout based on your ALIVE stake.
jimmy.adames,0.00552543,BRO,Daily payout based on your ALIVE stake.
edgerik,0.00547747,BRO,Daily payout based on your ALIVE stake.
ironshield,0.00535085,BRO,Daily payout based on your ALIVE stake.
hive-112281,0.00502544,BRO,Daily payout based on your ALIVE stake.
primersion,0.00473316,BRO,Daily payout based on your ALIVE stake.
harpreetjanda,0.00454041,BRO,Daily payout based on your ALIVE stake.
thisisawesome,0.00419255,BRO,Daily payout based on your ALIVE stake.
d00k13,0.00310444,BRO,Daily payout based on your ALIVE stake.
captain.alive,0.0028565,BRO,Daily payout based on your ALIVE stake.
hive.pizza,0.00273514,BRO,Daily payout based on your ALIVE stake.
mypathtofire,0.00253341,BRO,Daily payout based on your ALIVE stake.
lisamgentile1961,0.00251738,BRO,Daily payout based on your ALIVE stake.
yeckingo1,0.00250493,BRO,Daily payout based on your ALIVE stake.
saboin.alive,0.00244487,BRO,Daily payout based on your ALIVE stake.
flaxz,0.00241287,BRO,Daily payout based on your ALIVE stake.
ddn688,0.00240598,BRO,Daily payout based on your ALIVE stake.
alokkumar121,0.00239901,BRO,Daily payout based on your ALIVE stake.
elianaicgomes,0.00238035,BRO,Daily payout based on your ALIVE stake.
flaxz.ctp,0.00236696,BRO,Daily payout based on your ALIVE stake.
chapelle,0.00231935,BRO,Daily payout based on your ALIVE stake.
ana-maria,0.00227192,BRO,Daily payout based on your ALIVE stake.
davidxxl,0.00222952,BRO,Daily payout based on your ALIVE stake.
manuvert,0.00203013,BRO,Daily payout based on your ALIVE stake.
daniky,0.0020159,BRO,Daily payout based on your ALIVE stake.
justclickindiva,0.00200902,BRO,Daily payout based on your ALIVE stake.
awah,0.00199255,BRO,Daily payout based on your ALIVE stake.
heartbeatonhive,0.00194107,BRO,Daily payout based on your ALIVE stake.
rcaine,0.0019072,BRO,Daily payout based on your ALIVE stake.
raishmi,0.00186234,BRO,Daily payout based on your ALIVE stake.
dibblers.dabs,0.00173212,BRO,Daily payout based on your ALIVE stake.
stickupboys,0.00168036,BRO,Daily payout based on your ALIVE stake.
ben.haase,0.00164483,BRO,Daily payout based on your ALIVE stake.
magicalive,0.00163406,BRO,Daily payout based on your ALIVE stake.
holovision.cash,0.00161393,BRO,Daily payout based on your ALIVE stake.
globetrottergcc,0.00151069,BRO,Daily payout based on your ALIVE stake.
mintfinch,0.00150269,BRO,Daily payout based on your ALIVE stake.
gank,0.00139936,BRO,Daily payout based on your ALIVE stake.
noctury,0.0013824,BRO,Daily payout based on your ALIVE stake.
hoosie,0.00131073,BRO,Daily payout based on your ALIVE stake.
griega,0.00124312,BRO,Daily payout based on your ALIVE stake.
merthin,0.00122252,BRO,Daily payout based on your ALIVE stake.
toekins,0.0012029,BRO,Daily payout based on your ALIVE stake.
liotes.alive,0.00118939,BRO,Daily payout based on your ALIVE stake.
guurry123,0.00110936,BRO,Daily payout based on your ALIVE stake.
misterc,0.00110842,BRO,Daily payout based on your ALIVE stake.
kaseldz,0.00109148,BRO,Daily payout based on your ALIVE stake.
b4phom3t,0.00104199,BRO,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00102474,BRO,Daily payout based on your ALIVE stake.
tokenpimp,0.00101622,BRO,Daily payout based on your ALIVE stake.
hirohurl,0.00101109,BRO,Daily payout based on your ALIVE stake.
newigennity,0.00100441,BRO,Daily payout based on your ALIVE stake.
zealous4ever,0.00098976,BRO,Daily payout based on your ALIVE stake.
myupvote2u,0.00098308,BRO,Daily payout based on your ALIVE stake.
lolz.alive,0.0009757,BRO,Daily payout based on your ALIVE stake.
