account,amount,symbol,memo
flaxz.alive,0.45176303,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.32116704,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.29970239,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.22007357,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.1429851,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.13913911,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.137036,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.1034058,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.09466386,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.08999755,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07862076,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.07601405,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07320716,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07132658,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.06555744,DHEDGE,Daily payout based on your ALIVE stake.
urri2020,0.06092305,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.05667876,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.0545702,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05037376,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04723299,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04535653,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.04397065,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.04100261,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04042664,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03966919,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.03960159,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03548928,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.0327695,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03157299,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.03091291,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02919882,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02609611,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02575667,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02571527,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0256811,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.02449468,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.0243102,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02351096,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.02339333,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02281127,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02269269,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02266099,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02196832,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.02194246,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02123236,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02032194,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.0201671,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.01991022,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.01975425,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01963958,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.01885307,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01826326,DHEDGE,Daily payout based on your ALIVE stake.
adysscheryl,0.01726251,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.01670324,DHEDGE,Daily payout based on your ALIVE stake.
ben.haase,0.01659851,DHEDGE,Daily payout based on your ALIVE stake.
beststart,0.01628142,DHEDGE,Daily payout based on your ALIVE stake.
merthin,0.01592468,DHEDGE,Daily payout based on your ALIVE stake.
jmis101,0.01558761,DHEDGE,Daily payout based on your ALIVE stake.
raishmi,0.01545133,DHEDGE,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01532327,DHEDGE,Daily payout based on your ALIVE stake.
holovision.cash,0.01520829,DHEDGE,Daily payout based on your ALIVE stake.
alzee,0.01455324,DHEDGE,Daily payout based on your ALIVE stake.
master-lamps,0.0144331,DHEDGE,Daily payout based on your ALIVE stake.
hoosie,0.01432815,DHEDGE,Daily payout based on your ALIVE stake.
stickupboys,0.01394619,DHEDGE,Daily payout based on your ALIVE stake.
alive.voter,0.01349844,DHEDGE,Daily payout based on your ALIVE stake.
gank,0.01309212,DHEDGE,Daily payout based on your ALIVE stake.
synergized,0.012637,DHEDGE,Daily payout based on your ALIVE stake.
hirohurl,0.01240839,DHEDGE,Daily payout based on your ALIVE stake.
lightcaptured,0.01182873,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.01178092,DHEDGE,Daily payout based on your ALIVE stake.
toekins,0.01140061,DHEDGE,Daily payout based on your ALIVE stake.
neoxvoter,0.01112865,DHEDGE,Daily payout based on your ALIVE stake.
bambukah,0.01100055,DHEDGE,Daily payout based on your ALIVE stake.
alex2alex,0.01076869,DHEDGE,Daily payout based on your ALIVE stake.
kam5iz,0.01043214,DHEDGE,Daily payout based on your ALIVE stake.
myjob,0.01032619,DHEDGE,Daily payout based on your ALIVE stake.
griega,0.01031815,DHEDGE,Daily payout based on your ALIVE stake.
certain,0.01030573,DHEDGE,Daily payout based on your ALIVE stake.
elizabetamt,0.00996898,DHEDGE,Daily payout based on your ALIVE stake.
jacoalberts,0.00985438,DHEDGE,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00973874,DHEDGE,Daily payout based on your ALIVE stake.
oasiskp2,0.00972724,DHEDGE,Daily payout based on your ALIVE stake.
guurry123,0.00934506,DHEDGE,Daily payout based on your ALIVE stake.
misterc,0.00925033,DHEDGE,Daily payout based on your ALIVE stake.
melinda010100,0.00915219,DHEDGE,Daily payout based on your ALIVE stake.
captaincryptic,0.00909864,DHEDGE,Daily payout based on your ALIVE stake.
littlebee4,0.00879739,DHEDGE,Daily payout based on your ALIVE stake.
apoloo1,0.00876352,DHEDGE,Daily payout based on your ALIVE stake.
b4phom3t,0.00864506,DHEDGE,Daily payout based on your ALIVE stake.
ijelady,0.0086196,DHEDGE,Daily payout based on your ALIVE stake.
sammyhive,0.00859634,DHEDGE,Daily payout based on your ALIVE stake.
caelum1infernum,0.00854587,DHEDGE,Daily payout based on your ALIVE stake.
ilovewintergem,0.00849524,DHEDGE,Daily payout based on your ALIVE stake.
tokenpimp,0.00845313,DHEDGE,Daily payout based on your ALIVE stake.
mirroredspork,0.00838474,DHEDGE,Daily payout based on your ALIVE stake.
tengolotodo,0.00831987,DHEDGE,Daily payout based on your ALIVE stake.
new.things,0.00821522,DHEDGE,Daily payout based on your ALIVE stake.
myupvote2u,0.00816773,DHEDGE,Daily payout based on your ALIVE stake.
rbhayes,0.00797773,DHEDGE,Daily payout based on your ALIVE stake.
points-fr,0.00797531,DHEDGE,Daily payout based on your ALIVE stake.
epic-fail,0.00790579,DHEDGE,Daily payout based on your ALIVE stake.
bearmol,0.00767189,DHEDGE,Daily payout based on your ALIVE stake.
dragokazo,0.00762072,DHEDGE,Daily payout based on your ALIVE stake.
karizma,0.00752577,DHEDGE,Daily payout based on your ALIVE stake.
coininstant,0.00748347,DHEDGE,Daily payout based on your ALIVE stake.
mlrequena78,0.00740883,DHEDGE,Daily payout based on your ALIVE stake.
liotes.alive,0.0074077,DHEDGE,Daily payout based on your ALIVE stake.
macfit,0.0072756,DHEDGE,Daily payout based on your ALIVE stake.
thoth442,0.00725793,DHEDGE,Daily payout based on your ALIVE stake.
