account,amount,symbol,memo
flaxz.alive,0.49620021,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.35054215,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.33061638,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.24429167,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.15756042,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14594072,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.14361835,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10407174,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.08774481,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.08483042,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.07693106,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.07668493,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07651497,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07397929,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07242238,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05732616,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.0500391,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04777322,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04611128,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04593625,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.04415741,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04363016,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.04020456,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.03858841,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.03679115,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03378143,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03294451,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.0318196,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03105083,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03091536,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.03012888,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02781094,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02730949,DHEDGE,Daily payout based on your ALIVE stake.
