account,amount,symbol,memo
flaxz.alive,0.47541893,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.33382817,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.31680145,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.2217013,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.14482705,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.13894956,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.13728118,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.09818368,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.09224644,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.08070238,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.07869488,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07505111,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07215369,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.0720736,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.06930062,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.05991292,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05248341,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.04820697,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04690974,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.04522092,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04455914,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04204622,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04151236,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04113445,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03929596,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.03740167,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03653972,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03511957,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03214979,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03036389,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02722732,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02707846,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02621278,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.0258584,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02575577,DHEDGE,Daily payout based on your ALIVE stake.
