account,amount,symbol,memo
flaxz.alive,0.48637356,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.32839877,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.30972033,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.22913181,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.1493677,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14403401,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.13980212,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10178008,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.0924197,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.08100847,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.08044853,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.0747126,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07372515,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07343158,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.07183905,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05437744,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04819639,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.0468769,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.04499585,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04351449,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04328619,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04303292,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.0420757,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.04137943,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.03876951,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03779273,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03603883,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03485259,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03202022,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03067626,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02822464,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02688507,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02663956,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02634026,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02605454,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02543469,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02513677,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02499701,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02486707,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02357792,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02356115,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02261659,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.02208958,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.0218167,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02180168,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.02164578,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02151969,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01999494,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.0194901,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.01881837,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.01836399,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.01829683,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01829128,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.0176616,DHEDGE,Daily payout based on your ALIVE stake.
