account,amount,symbol,memo
flaxz.alive,0.45486703,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.32337879,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.30176514,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.22154761,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14079495,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.1394528,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.13610066,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10217241,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.09530589,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.08553359,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.0775276,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.07608771,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07137246,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.06971736,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.06600891,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.05706908,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.05129488,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05071592,DHEDGE,Daily payout based on your ALIVE stake.
urri2020,0.04828684,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04690822,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04535257,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.04349298,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.0402283,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.0401686,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.03954137,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.03954056,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03810044,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03570442,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03262852,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03131362,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.02969528,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02959749,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02820582,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02593405,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0257848,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02575982,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02551181,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02447761,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02327893,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.02297134,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02296836,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02284897,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02279253,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.02210582,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.02209357,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02202372,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02129435,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02046189,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.02030598,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.02004694,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.01988989,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01977364,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.0189826,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01837842,DHEDGE,Daily payout based on your ALIVE stake.
adysscheryl,0.01700695,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.01681747,DHEDGE,Daily payout based on your ALIVE stake.
beststart,0.01638682,DHEDGE,Daily payout based on your ALIVE stake.
merthin,0.0160296,DHEDGE,Daily payout based on your ALIVE stake.
raishmi,0.01555773,DHEDGE,Daily payout based on your ALIVE stake.
holovision.cash,0.01531302,DHEDGE,Daily payout based on your ALIVE stake.
pedrobrito2004,0.0151456,DHEDGE,Daily payout based on your ALIVE stake.
alzee,0.01462957,DHEDGE,Daily payout based on your ALIVE stake.
ben.haase,0.0145112,DHEDGE,Daily payout based on your ALIVE stake.
globetrottergcc,0.01429304,DHEDGE,Daily payout based on your ALIVE stake.
hoosie,0.0141834,DHEDGE,Daily payout based on your ALIVE stake.
