account,amount,symbol,memo
flaxz.alive,0.41991225,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.30317481,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.27856877,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.20463644,DHEDGE,Daily payout based on your ALIVE stake.
threesteps,0.20249994,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.13647673,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.13022713,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.12949364,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.0961131,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.09257941,DHEDGE,Daily payout based on your ALIVE stake.
urri2020,0.09039008,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.08863553,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07662019,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.07139865,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07065764,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.06691015,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.06093399,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.05488341,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.05269389,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.04682735,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.04670765,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04263263,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.0413569,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.03963148,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03855071,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03839618,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.03815485,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03484353,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03216169,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.03062812,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.0302337,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02926873,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02695457,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02525278,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.02502314,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02438907,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.02394018,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.0237099,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02259855,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02219936,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02197693,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.0212025,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02109229,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02107888,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.02039497,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.01986853,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.01961902,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.018747,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.01850641,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.01836108,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01826106,DHEDGE,Daily payout based on your ALIVE stake.
master-lamps,0.01794865,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.01752345,DHEDGE,Daily payout based on your ALIVE stake.
toekins,0.01718051,DHEDGE,Daily payout based on your ALIVE stake.
adysscheryl,0.01714811,DHEDGE,Daily payout based on your ALIVE stake.
