account,amount,symbol,memo
flaxz.alive,0.50504382,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.36181447,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.34124974,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.25212066,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.16218365,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14747536,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.14643098,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10417562,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.08744972,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.08607638,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07857393,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.07529598,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07420702,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.07290442,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05783411,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.05164847,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04930971,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04742267,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04741366,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.04557287,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04469929,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.03848993,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.03797444,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.03561282,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.03345161,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03274621,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03159193,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.03150385,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.03123824,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.0310979,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.0287054,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02785012,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02763588,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02739853,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02666237,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02554851,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02550231,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02467145,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.02433497,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02415702,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.02403668,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.02384836,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02371039,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02345906,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02203042,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.02160936,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.02014996,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02001152,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.01972361,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.01898933,DHEDGE,Daily payout based on your ALIVE stake.
raishmi,0.0186555,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01739736,DHEDGE,Daily payout based on your ALIVE stake.
holovision.cash,0.01717555,DHEDGE,Daily payout based on your ALIVE stake.
stickupboys,0.01683445,DHEDGE,Daily payout based on your ALIVE stake.
ben.haase,0.01672211,DHEDGE,Daily payout based on your ALIVE stake.
visual.alive,0.01652419,DHEDGE,Daily payout based on your ALIVE stake.
globetrottergcc,0.0160132,DHEDGE,Daily payout based on your ALIVE stake.
merthin,0.01587835,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.01570788,DHEDGE,Daily payout based on your ALIVE stake.
gank,0.0154957,DHEDGE,Daily payout based on your ALIVE stake.
hoosie,0.01536935,DHEDGE,Daily payout based on your ALIVE stake.
beststart,0.01501836,DHEDGE,Daily payout based on your ALIVE stake.
adysscheryl,0.01418311,DHEDGE,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01390432,DHEDGE,Daily payout based on your ALIVE stake.
alzee,0.01379678,DHEDGE,Daily payout based on your ALIVE stake.
toekins,0.01357533,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.01325177,DHEDGE,Daily payout based on your ALIVE stake.
griega,0.01245311,DHEDGE,Daily payout based on your ALIVE stake.
hirohurl,0.01194736,DHEDGE,Daily payout based on your ALIVE stake.
guurry123,0.01120379,DHEDGE,Daily payout based on your ALIVE stake.
misterc,0.0111216,DHEDGE,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01093548,DHEDGE,Daily payout based on your ALIVE stake.
kaseldz,0.01093365,DHEDGE,Daily payout based on your ALIVE stake.
kam5iz,0.0109197,DHEDGE,Daily payout based on your ALIVE stake.
captaincryptic,0.01069779,DHEDGE,Daily payout based on your ALIVE stake.
master-lamps,0.01068682,DHEDGE,Daily payout based on your ALIVE stake.
b4phom3t,0.01043781,DHEDGE,Daily payout based on your ALIVE stake.
tokenpimp,0.01017976,DHEDGE,Daily payout based on your ALIVE stake.
elizabetamt,0.01011894,DHEDGE,Daily payout based on your ALIVE stake.
bambukah,0.01010014,DHEDGE,Daily payout based on your ALIVE stake.
myupvote2u,0.00986055,DHEDGE,Daily payout based on your ALIVE stake.
ilovewintergem,0.0098052,DHEDGE,Daily payout based on your ALIVE stake.
points-fr,0.00962725,DHEDGE,Daily payout based on your ALIVE stake.
epic-fail,0.0092961,DHEDGE,Daily payout based on your ALIVE stake.
alex2alex,0.00914138,DHEDGE,Daily payout based on your ALIVE stake.
jacoalberts,0.00908204,DHEDGE,Daily payout based on your ALIVE stake.
mlrequena78,0.00894521,DHEDGE,Daily payout based on your ALIVE stake.
coininstant,0.00870641,DHEDGE,Daily payout based on your ALIVE stake.
laruche,0.00850872,DHEDGE,Daily payout based on your ALIVE stake.
macfit,0.00839145,DHEDGE,Daily payout based on your ALIVE stake.
bearmol,0.0083394,DHEDGE,Daily payout based on your ALIVE stake.
