account,amount,symbol,memo
flaxz.alive,0.50520107,DHEDGE,Daily payout based on your ALIVE stake.
jlufer,0.36890892,DHEDGE,Daily payout based on your ALIVE stake.
hafiz34,0.34794318,DHEDGE,Daily payout based on your ALIVE stake.
iamraincrystal,0.25679148,DHEDGE,Daily payout based on your ALIVE stake.
lukeisalive,0.1641122,DHEDGE,Daily payout based on your ALIVE stake.
gurseerat,0.14705224,DHEDGE,Daily payout based on your ALIVE stake.
bradleyarrow,0.14577515,DHEDGE,Daily payout based on your ALIVE stake.
kingneptune,0.10387421,DHEDGE,Daily payout based on your ALIVE stake.
masoom,0.10002895,DHEDGE,Daily payout based on your ALIVE stake.
maddogmike,0.08814279,DHEDGE,Daily payout based on your ALIVE stake.
benthomaswwd,0.08272237,DHEDGE,Daily payout based on your ALIVE stake.
darmst5339,0.07918179,DHEDGE,Daily payout based on your ALIVE stake.
imfarhad,0.07321079,DHEDGE,Daily payout based on your ALIVE stake.
ironshield,0.0699214,DHEDGE,Daily payout based on your ALIVE stake.
edgerik,0.06976134,DHEDGE,Daily payout based on your ALIVE stake.
jimmy.adames,0.05894062,DHEDGE,Daily payout based on your ALIVE stake.
hive-112281,0.05266119,DHEDGE,Daily payout based on your ALIVE stake.
ana-maria,0.04980227,DHEDGE,Daily payout based on your ALIVE stake.
primersion,0.04834379,DHEDGE,Daily payout based on your ALIVE stake.
gestion.alive,0.04834379,DHEDGE,Daily payout based on your ALIVE stake.
harpreetjanda,0.0464316,DHEDGE,Daily payout based on your ALIVE stake.
thisisawesome,0.04490363,DHEDGE,Daily payout based on your ALIVE stake.
davidthompson57,0.03509244,DHEDGE,Daily payout based on your ALIVE stake.
mypathtofire,0.03366575,DHEDGE,Daily payout based on your ALIVE stake.
d00k13,0.03170795,DHEDGE,Daily payout based on your ALIVE stake.
yeckingo1,0.03074999,DHEDGE,Daily payout based on your ALIVE stake.
davidxxl,0.03031028,DHEDGE,Daily payout based on your ALIVE stake.
manuvert,0.02931853,DHEDGE,Daily payout based on your ALIVE stake.
captain.alive,0.02926852,DHEDGE,Daily payout based on your ALIVE stake.
noctury,0.02842905,DHEDGE,Daily payout based on your ALIVE stake.
hive.pizza,0.02793602,DHEDGE,Daily payout based on your ALIVE stake.
vocup,0.02770073,DHEDGE,Daily payout based on your ALIVE stake.
saboin.alive,0.02721572,DHEDGE,Daily payout based on your ALIVE stake.
chapelle,0.02721436,DHEDGE,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02586091,DHEDGE,Daily payout based on your ALIVE stake.
flaxz,0.02503506,DHEDGE,Daily payout based on your ALIVE stake.
ddn688,0.02480414,DHEDGE,Daily payout based on your ALIVE stake.
alokkumar121,0.02450725,DHEDGE,Daily payout based on your ALIVE stake.
elianaicgomes,0.0243162,DHEDGE,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02417552,DHEDGE,Daily payout based on your ALIVE stake.
rcaine,0.02399923,DHEDGE,Daily payout based on your ALIVE stake.
chaosmagic23,0.02348615,DHEDGE,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02297832,DHEDGE,Daily payout based on your ALIVE stake.
oscarps,0.02155704,DHEDGE,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02124615,DHEDGE,Daily payout based on your ALIVE stake.
steem-holder,0.02123238,DHEDGE,Daily payout based on your ALIVE stake.
justclickindiva,0.02053896,DHEDGE,Daily payout based on your ALIVE stake.
awah,0.02039056,DHEDGE,Daily payout based on your ALIVE stake.
magicalive,0.01910672,DHEDGE,Daily payout based on your ALIVE stake.
raishmi,0.01902148,DHEDGE,Daily payout based on your ALIVE stake.
lolz.alive,0.01873258,DHEDGE,Daily payout based on your ALIVE stake.
newigennity,0.01771016,DHEDGE,Daily payout based on your ALIVE stake.
stickupboys,0.0171647,DHEDGE,Daily payout based on your ALIVE stake.
ben.haase,0.01705015,DHEDGE,Daily payout based on your ALIVE stake.
holovision.cash,0.01699064,DHEDGE,Daily payout based on your ALIVE stake.
globetrottergcc,0.01614772,DHEDGE,Daily payout based on your ALIVE stake.
hankanon,0.01601574,DHEDGE,Daily payout based on your ALIVE stake.
gank,0.01544397,DHEDGE,Daily payout based on your ALIVE stake.
merthin,0.01513081,DHEDGE,Daily payout based on your ALIVE stake.
hoosie,0.01510413,DHEDGE,Daily payout based on your ALIVE stake.
beststart,0.01461559,DHEDGE,Daily payout based on your ALIVE stake.
stdd,0.01400706,DHEDGE,Daily payout based on your ALIVE stake.
toekins,0.01378871,DHEDGE,Daily payout based on your ALIVE stake.
alzee,0.01318982,DHEDGE,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01281291,DHEDGE,Daily payout based on your ALIVE stake.
griega,0.01269692,DHEDGE,Daily payout based on your ALIVE stake.
adysscheryl,0.01248942,DHEDGE,Daily payout based on your ALIVE stake.
hirohurl,0.01149846,DHEDGE,Daily payout based on your ALIVE stake.
guurry123,0.01140473,DHEDGE,Daily payout based on your ALIVE stake.
misterc,0.01133644,DHEDGE,Daily payout based on your ALIVE stake.
kaseldz,0.01114814,DHEDGE,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0109943,DHEDGE,Daily payout based on your ALIVE stake.
tydynrain,0.01081016,DHEDGE,Daily payout based on your ALIVE stake.
b4phom3t,0.01064257,DHEDGE,Daily payout based on your ALIVE stake.
tokenpimp,0.01037946,DHEDGE,Daily payout based on your ALIVE stake.
elizabetamt,0.01031745,DHEDGE,Daily payout based on your ALIVE stake.
captaincryptic,0.01030036,DHEDGE,Daily payout based on your ALIVE stake.
myupvote2u,0.01004432,DHEDGE,Daily payout based on your ALIVE stake.
ilovewintergem,0.00999127,DHEDGE,Daily payout based on your ALIVE stake.
points-fr,0.00981611,DHEDGE,Daily payout based on your ALIVE stake.
epic-fail,0.00945277,DHEDGE,Daily payout based on your ALIVE stake.
mlrequena78,0.00912069,DHEDGE,Daily payout based on your ALIVE stake.
bambukah,0.00890923,DHEDGE,Daily payout based on your ALIVE stake.
jacoalberts,0.008843,DHEDGE,Daily payout based on your ALIVE stake.
alex2alex,0.00875808,DHEDGE,Daily payout based on your ALIVE stake.
laruche,0.00867564,DHEDGE,Daily payout based on your ALIVE stake.
macfit,0.00853577,DHEDGE,Daily payout based on your ALIVE stake.
coininstant,0.0083514,DHEDGE,Daily payout based on your ALIVE stake.
moretea,0.00824179,DHEDGE,Daily payout based on your ALIVE stake.
chireerocks.live,0.0081796,DHEDGE,Daily payout based on your ALIVE stake.
vickoly,0.00816627,DHEDGE,Daily payout based on your ALIVE stake.
melinda010100,0.00806642,DHEDGE,Daily payout based on your ALIVE stake.
johnsdowie,0.00805521,DHEDGE,Daily payout based on your ALIVE stake.
bearmol,0.00800614,DHEDGE,Daily payout based on your ALIVE stake.
lightcaptured,0.0077786,DHEDGE,Daily payout based on your ALIVE stake.
kam5iz,0.0077366,DHEDGE,Daily payout based on your ALIVE stake.
wdougwatson,0.00773603,DHEDGE,Daily payout based on your ALIVE stake.
mervinthepogi,0.00768615,DHEDGE,Daily payout based on your ALIVE stake.
mk992039,0.00757414,DHEDGE,Daily payout based on your ALIVE stake.
tdctunes,0.00726213,DHEDGE,Daily payout based on your ALIVE stake.
samsmith1971,0.00682848,DHEDGE,Daily payout based on your ALIVE stake.
captainloken,0.00666263,DHEDGE,Daily payout based on your ALIVE stake.
