account,amount,symbol,memo
flaxz.alive,0.45176303,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.32116704,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.29970239,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.22007357,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.1429851,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.13913911,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.137036,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.1034058,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.09466386,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.08999755,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07862076,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.07601405,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07320716,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07132658,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.06555744,LOLZ,Daily payout based on your ALIVE stake.
urri2020,0.06092305,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05667876,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.0545702,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05037376,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.04723299,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04535653,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04397065,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.04100261,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04042664,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03966919,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.03960159,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03548928,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.0327695,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03157299,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.03091291,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02919882,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02609611,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02575667,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02571527,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0256811,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.02449468,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.0243102,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02351096,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.02339333,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02281127,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02269269,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02266099,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02196832,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.02194246,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02123236,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02032194,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.0201671,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.01991022,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.01975425,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01963958,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.01885307,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01826326,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01726251,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.01670324,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01659851,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01628142,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01592468,LOLZ,Daily payout based on your ALIVE stake.
jmis101,0.01558761,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.01545133,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01532327,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01520829,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01455324,LOLZ,Daily payout based on your ALIVE stake.
master-lamps,0.0144331,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01432815,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01394619,LOLZ,Daily payout based on your ALIVE stake.
alive.voter,0.01349844,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01309212,LOLZ,Daily payout based on your ALIVE stake.
synergized,0.012637,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01240839,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.01182873,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.01178092,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01140061,LOLZ,Daily payout based on your ALIVE stake.
neoxvoter,0.01112865,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.01100055,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.01076869,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,0.01043214,LOLZ,Daily payout based on your ALIVE stake.
myjob,0.01032619,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01031815,LOLZ,Daily payout based on your ALIVE stake.
certain,0.01030573,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.00996898,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.00985438,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00973874,LOLZ,Daily payout based on your ALIVE stake.
oasiskp2,0.00972724,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.00934506,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.00925033,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.00915219,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.00909864,LOLZ,Daily payout based on your ALIVE stake.
littlebee4,0.00879739,LOLZ,Daily payout based on your ALIVE stake.
apoloo1,0.00876352,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.00864506,LOLZ,Daily payout based on your ALIVE stake.
ijelady,0.0086196,LOLZ,Daily payout based on your ALIVE stake.
sammyhive,0.00859634,LOLZ,Daily payout based on your ALIVE stake.
caelum1infernum,0.00854587,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.00849524,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.00845313,LOLZ,Daily payout based on your ALIVE stake.
mirroredspork,0.00838474,LOLZ,Daily payout based on your ALIVE stake.
tengolotodo,0.00831987,LOLZ,Daily payout based on your ALIVE stake.
new.things,0.00821522,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.00816773,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00797773,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00797531,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.00790579,LOLZ,Daily payout based on your ALIVE stake.
bearmol,0.00767189,LOLZ,Daily payout based on your ALIVE stake.
dragokazo,0.00762072,LOLZ,Daily payout based on your ALIVE stake.
karizma,0.00752577,LOLZ,Daily payout based on your ALIVE stake.
coininstant,0.00748347,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.00740883,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.0074077,LOLZ,Daily payout based on your ALIVE stake.
macfit,0.0072756,LOLZ,Daily payout based on your ALIVE stake.
thoth442,0.00725793,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.00711145,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.00704731,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.00696255,LOLZ,Daily payout based on your ALIVE stake.
hivecurious,0.00690833,LOLZ,Daily payout based on your ALIVE stake.
moretea,0.00669646,LOLZ,Daily payout based on your ALIVE stake.
vaynard86,0.00665003,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00663825,LOLZ,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00647113,LOLZ,Daily payout based on your ALIVE stake.
