account,amount,symbol,memo
flaxz.alive,0.54158145,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.40907344,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.35527431,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.27593147,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.17819566,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15108163,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14075351,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.11089261,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10029117,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.09513187,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08218594,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08062964,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07288613,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.06613434,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.06259729,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06259366,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05754944,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05360712,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05142507,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.0480061,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.0359473,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03516044,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.032596,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.03235226,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.03097781,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.02977233,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02851898,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02826278,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.02754813,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02741414,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02733963,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02725351,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02717302,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.0269601,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02688664,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02680785,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.02456343,LOLZ,Daily payout based on your ALIVE stake.
daniky,0.02340254,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.0227715,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02276246,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02257056,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02251058,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.02109261,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02040408,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.01930464,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01903205,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01890611,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.0188741,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01844302,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.01741159,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01724688,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.01669211,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01636212,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01525701,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01504263,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01407942,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.01406917,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01385091,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.01285604,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01258326,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01256016,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01252993,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01236199,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01196692,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.01180138,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01161092,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.01150961,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01142151,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01138464,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.01113423,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.01109976,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.01102963,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.0108862,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.01059353,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.01038545,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.01011379,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.00961867,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.00957477,LOLZ,Daily payout based on your ALIVE stake.
chireerocks.live,0.00907023,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00905116,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.008698,LOLZ,Daily payout based on your ALIVE stake.
macfit,0.00861295,LOLZ,Daily payout based on your ALIVE stake.
wdougwatson,0.00857836,LOLZ,Daily payout based on your ALIVE stake.
mervinthepogi,0.00851983,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.00851852,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.00840921,LOLZ,Daily payout based on your ALIVE stake.
mk992039,0.00835971,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.00813012,LOLZ,Daily payout based on your ALIVE stake.
tdctunes,0.00805018,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00784515,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.00776494,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.00762439,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00726452,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.00711958,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.00673165,LOLZ,Daily payout based on your ALIVE stake.
rickardoh,0.00670632,LOLZ,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00659743,LOLZ,Daily payout based on your ALIVE stake.
hivetrending,0.00657432,LOLZ,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00651664,LOLZ,Daily payout based on your ALIVE stake.
samsmith1971,0.00627009,LOLZ,Daily payout based on your ALIVE stake.
bardobrujo,0.00624971,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.00615973,LOLZ,Daily payout based on your ALIVE stake.
johnandgrace,0.00605179,LOLZ,Daily payout based on your ALIVE stake.
