account,amount,symbol,memo
flaxz.alive,0.49572817,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.34541248,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.32577445,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.24073706,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.15566346,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14448267,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.14220505,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10403369,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.091006,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.08410168,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.07826827,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07579227,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.07556232,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07291803,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07141334,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05649792,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04933672,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04930627,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04546224,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.0452635,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.04351343,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.0431618,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.03984524,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.03966457,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.03625234,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.03454754,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03320476,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03269491,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03124264,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03083124,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02968764,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02748626,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02716664,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02671279,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02629271,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02627225,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02615604,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02559202,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02459547,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02363636,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02363229,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02323412,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02294664,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02278017,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02276687,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02263515,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02239703,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02103136,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01953544,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.01924161,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01920567,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.01856576,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.0178095,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01665305,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.01650421,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01607148,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01596378,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.01579422,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01573004,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01540012,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01515874,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01509023,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01491791,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.01489745,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01463483,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01377355,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01330274,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01300296,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01199764,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01188838,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,0.01128993,LOLZ,Daily payout based on your ALIVE stake.
siddhartaz,0.01085074,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01071246,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01062323,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0105867,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.01057934,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01043782,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.01043553,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.01028899,LOLZ,Daily payout based on your ALIVE stake.
master-lamps,0.010204,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.00996447,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.00972074,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.00941338,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.00936371,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00919114,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.0091115,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.00907288,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.00888579,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.00853956,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.0085025,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.00844753,LOLZ,Daily payout based on your ALIVE stake.
coininstant,0.00838419,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.00812286,LOLZ,Daily payout based on your ALIVE stake.
bearmol,0.00810385,LOLZ,Daily payout based on your ALIVE stake.
macfit,0.00801589,LOLZ,Daily payout based on your ALIVE stake.
moretea,0.00771665,LOLZ,Daily payout based on your ALIVE stake.
captainloken,0.00766593,LOLZ,Daily payout based on your ALIVE stake.
chireerocks.live,0.00765843,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00764821,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.00754196,LOLZ,Daily payout based on your ALIVE stake.
thoth442,0.00725891,LOLZ,Daily payout based on your ALIVE stake.
wdougwatson,0.00724312,LOLZ,Daily payout based on your ALIVE stake.
mervinthepogi,0.00719642,LOLZ,Daily payout based on your ALIVE stake.
bechibenner,0.00713484,LOLZ,Daily payout based on your ALIVE stake.
mk992039,0.0071006,LOLZ,Daily payout based on your ALIVE stake.
myjob,0.00685851,LOLZ,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00680684,LOLZ,Daily payout based on your ALIVE stake.
tdctunes,0.00680077,LOLZ,Daily payout based on your ALIVE stake.
karizma,0.00666903,LOLZ,Daily payout based on your ALIVE stake.
caelum1infernum,0.00660702,LOLZ,Daily payout based on your ALIVE stake.
metzli,0.00645705,LOLZ,Daily payout based on your ALIVE stake.
samsmith1971,0.00639883,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00613378,LOLZ,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00607003,LOLZ,Daily payout based on your ALIVE stake.
mario89,0.00602008,LOLZ,Daily payout based on your ALIVE stake.
old-man-chu58,0.00601887,LOLZ,Daily payout based on your ALIVE stake.
oasiskp2,0.00595126,LOLZ,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00590284,LOLZ,Daily payout based on your ALIVE stake.
littlebee4,0.00581109,LOLZ,Daily payout based on your ALIVE stake.
