account,amount,symbol,memo
flaxz.alive,0.48022002,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.32140252,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.30311972,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.22491242,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.14673113,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14096701,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.13927313,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09961044,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.09234408,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.08106924,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.07970062,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07612276,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07311336,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07281757,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.07030766,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.06078143,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05324186,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04759141,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.04617377,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04587762,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.04423295,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04262787,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.04211559,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04155731,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.03942834,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.03794433,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03665686,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03562612,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03233111,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03079922,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02762297,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02712642,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02618094,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02611815,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02607169,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02592659,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02528825,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02446415,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02433698,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02347921,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02315666,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02221786,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02162165,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02135205,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02133694,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02118478,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02106095,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01980918,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.01968652,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01956871,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.0193885,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01792049,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.01790764,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.01728595,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01700463,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01657795,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.01657091,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01634483,LOLZ,Daily payout based on your ALIVE stake.
siddhartaz,0.01628951,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01603543,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01495503,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01486471,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.01476736,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01463866,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01453758,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01449163,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01417919,LOLZ,Daily payout based on your ALIVE stake.
