account,amount,symbol,memo
flaxz.alive,0.49210568,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.33523674,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.31617186,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.23369816,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.15198618,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14255442,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.14048469,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10390018,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08993305,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.08228816,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.08048146,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07435856,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07421758,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07357999,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.07333547,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05549652,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04792683,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04785335,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04424444,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.04405387,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.04392931,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04258256,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.04224049,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.04195187,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.03957665,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03505192,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03490164,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.03460851,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03184272,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03071118,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02881256,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.026976,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02667607,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02654429,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02598491,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02560986,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.0255177,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02538506,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02453018,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02398052,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02361221,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02302532,LOLZ,Daily payout based on your ALIVE stake.
