account,amount,symbol,memo
flaxz.alive,0.46441448,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.32838047,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.30817179,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.2209478,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.1416259,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.140777,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.13609622,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09550678,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.09531258,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.08247117,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.07710485,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.0767118,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07170247,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07115401,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.0674112,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05828146,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05177919,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.04900198,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.04619464,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04591223,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04398841,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04091723,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04057446,LOLZ,Daily payout based on your ALIVE stake.
urri2020,0.04038944,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.04038056,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.03940928,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03723343,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03521801,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03237579,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03065257,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.03032451,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02750708,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02725141,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02648499,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02573429,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02558789,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02531621,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02499761,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02377346,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.0234563,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02333437,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02303809,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02234002,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02161873,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.02119877,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.02117354,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02089658,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.02088309,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02073332,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02047281,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02031203,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02019371,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.01906117,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01719406,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.01717273,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01661637,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01631782,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01589902,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.01588824,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01556096,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01478149,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01443099,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01436667,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01434385,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01433934,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01421055,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.01417232,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01346232,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01200395,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01170167,LOLZ,Daily payout based on your ALIVE stake.
neoxvoter,0.0113125,LOLZ,Daily payout based on your ALIVE stake.
synergized,0.01095796,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.01087139,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,0.01068352,LOLZ,Daily payout based on your ALIVE stake.
griega,0.0106079,LOLZ,Daily payout based on your ALIVE stake.
certain,0.01059553,LOLZ,Daily payout based on your ALIVE stake.
jmis101,0.01047086,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.010244,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.01016461,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.01014294,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00985422,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.0095871,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.00949583,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.00938883,LOLZ,Daily payout based on your ALIVE stake.
myjob,0.00938417,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.00935592,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.0093118,LOLZ,Daily payout based on your ALIVE stake.
master-lamps,0.00917054,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.0089688,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.00888952,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.00869215,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.00839869,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.0083665,LOLZ,Daily payout based on your ALIVE stake.
apoloo1,0.00828055,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00820043,LOLZ,Daily payout based on your ALIVE stake.
littlebee4,0.00802759,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.0079726,LOLZ,Daily payout based on your ALIVE stake.
oasiskp2,0.00788022,LOLZ,Daily payout based on your ALIVE stake.
mirroredspork,0.00786615,LOLZ,Daily payout based on your ALIVE stake.
alive.voter,0.00785282,LOLZ,Daily payout based on your ALIVE stake.
new.things,0.00778585,LOLZ,Daily payout based on your ALIVE stake.
