account,amount,symbol,memo
flaxz.alive,0.42097736,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.30373384,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.27927634,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.20515183,LOLZ,Daily payout based on your ALIVE stake.
threesteps,0.20228243,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.13682192,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.13048985,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.12982219,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09635722,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.09281419,LOLZ,Daily payout based on your ALIVE stake.
urri2020,0.09061967,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.08841425,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07681188,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.07153117,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07083418,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.06707936,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.06108876,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.0548367,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05282774,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.04694629,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.04664296,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04274092,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.04146195,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.03973141,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.03845285,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.03830005,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.0381257,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03492983,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03206312,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.03058069,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03030976,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.02924868,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02701206,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02509969,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.02493509,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02441515,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.02400099,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.02362984,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02265595,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02218218,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02200379,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02125635,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02114586,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02113169,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.02044677,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.01991131,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.01893854,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.01879462,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.01855342,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.01840771,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01830708,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.01756796,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01722415,LOLZ,Daily payout based on your ALIVE stake.
master-lamps,0.01714998,LOLZ,Daily payout based on your ALIVE stake.
jmis101,0.01709941,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01702956,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01702744,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01630437,LOLZ,Daily payout based on your ALIVE stake.
alive.voter,0.01587134,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.01556724,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01518149,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01488112,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01484175,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.0143981,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01417163,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01356807,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01356123,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01299702,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.01240947,LOLZ,Daily payout based on your ALIVE stake.
hivecurious,0.01237573,LOLZ,Daily payout based on your ALIVE stake.
synergized,0.01233877,LOLZ,Daily payout based on your ALIVE stake.
gank,0.0121997,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01174387,LOLZ,Daily payout based on your ALIVE stake.
oasiskp2,0.01066469,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.0105545,LOLZ,Daily payout based on your ALIVE stake.
neoxvoter,0.01038837,LOLZ,Daily payout based on your ALIVE stake.
myjob,0.01036515,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,0.01031225,LOLZ,Daily payout based on your ALIVE stake.
sammyhive,0.01010836,LOLZ,Daily payout based on your ALIVE stake.
griega,0.00961482,LOLZ,Daily payout based on your ALIVE stake.
certain,0.00960362,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.00940296,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.00928945,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.0091537,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.00914823,LOLZ,Daily payout based on your ALIVE stake.
ijelady,0.00884176,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.00873075,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.00868827,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.00861978,LOLZ,Daily payout based on your ALIVE stake.
caelum1infernum,0.00859382,LOLZ,Daily payout based on your ALIVE stake.
littlebee4,0.00849668,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.00847881,LOLZ,Daily payout based on your ALIVE stake.
sumatranate,0.00824153,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.00805578,LOLZ,Daily payout based on your ALIVE stake.
tengolotodo,0.00797064,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.00791617,LOLZ,Daily payout based on your ALIVE stake.
mirroredspork,0.00791465,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.0078795,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00779863,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.00766378,LOLZ,Daily payout based on your ALIVE stake.
new.things,0.00766036,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.00761099,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00743394,LOLZ,Daily payout based on your ALIVE stake.
dragokazo,0.00723603,LOLZ,Daily payout based on your ALIVE stake.
bearmol,0.0072323,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.00710219,LOLZ,Daily payout based on your ALIVE stake.
thoth442,0.00703662,LOLZ,Daily payout based on your ALIVE stake.
karizma,0.00701571,LOLZ,Daily payout based on your ALIVE stake.
coininstant,0.00697337,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.00690418,LOLZ,Daily payout based on your ALIVE stake.
vaynard86,0.00686593,LOLZ,Daily payout based on your ALIVE stake.
macfit,0.00678625,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.00670892,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.0066267,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.00656693,LOLZ,Daily payout based on your ALIVE stake.
moretea,0.00624,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00618613,LOLZ,Daily payout based on your ALIVE stake.
chmoen,0.0061222,LOLZ,Daily payout based on your ALIVE stake.
engilhramn,0.00609857,LOLZ,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00609278,LOLZ,Daily payout based on your ALIVE stake.
olujose6,0.00595174,LOLZ,Daily payout based on your ALIVE stake.
bechibenner,0.00589562,LOLZ,Daily payout based on your ALIVE stake.
metzli,0.00585985,LOLZ,Daily payout based on your ALIVE stake.
mervinthepogi,0.00581905,LOLZ,Daily payout based on your ALIVE stake.
kryptodenno,0.00579346,LOLZ,Daily payout based on your ALIVE stake.
myqlos,0.0057778,LOLZ,Daily payout based on your ALIVE stake.
mk992039,0.00574561,LOLZ,Daily payout based on your ALIVE stake.
palomap3,0.00574013,LOLZ,Daily payout based on your ALIVE stake.
tdctunes,0.00550614,LOLZ,Daily payout based on your ALIVE stake.
cursephantom,0.00536149,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.00535266,LOLZ,Daily payout based on your ALIVE stake.
herculeand,0.00529619,LOLZ,Daily payout based on your ALIVE stake.
mario89,0.00528998,LOLZ,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00526867,LOLZ,Daily payout based on your ALIVE stake.
samsmith1971,0.00519619,LOLZ,Daily payout based on your ALIVE stake.
assassyn,0.00499074,LOLZ,Daily payout based on your ALIVE stake.
kryptofire,0.00495095,LOLZ,Daily payout based on your ALIVE stake.
stevermac1966,0.00494582,LOLZ,Daily payout based on your ALIVE stake.
hhayweaver,0.00488307,LOLZ,Daily payout based on your ALIVE stake.
ekushya,0.00484455,LOLZ,Daily payout based on your ALIVE stake.
treefrognada,0.00484332,LOLZ,Daily payout based on your ALIVE stake.
consciouscat,0.00475905,LOLZ,Daily payout based on your ALIVE stake.
heruvim1978,0.00472096,LOLZ,Daily payout based on your ALIVE stake.
sagarkothari88,0.00469364,LOLZ,Daily payout based on your ALIVE stake.
rickardoh,0.00457782,LOLZ,Daily payout based on your ALIVE stake.
hivetrending,0.00448772,LOLZ,Daily payout based on your ALIVE stake.
alovely088,0.00446891,LOLZ,Daily payout based on your ALIVE stake.
tokutaro22,0.00446116,LOLZ,Daily payout based on your ALIVE stake.
old-man-chu58,0.00445282,LOLZ,Daily payout based on your ALIVE stake.
clavdio75,0.00440148,LOLZ,Daily payout based on your ALIVE stake.
fjworld,0.00439701,LOLZ,Daily payout based on your ALIVE stake.
dragon-ti,0.00436339,LOLZ,Daily payout based on your ALIVE stake.
faunobrujo,0.00431783,LOLZ,Daily payout based on your ALIVE stake.
johnandgrace,0.0042532,LOLZ,Daily payout based on your ALIVE stake.
koussbar,0.0041761,LOLZ,Daily payout based on your ALIVE stake.
rarej,0.00409985,LOLZ,Daily payout based on your ALIVE stake.
tunnelmotions,0.00409196,LOLZ,Daily payout based on your ALIVE stake.
esteva1820,0.00409073,LOLZ,Daily payout based on your ALIVE stake.
celf.support,0.00404629,LOLZ,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00403355,LOLZ,Daily payout based on your ALIVE stake.
beeber,0.00400477,LOLZ,Daily payout based on your ALIVE stake.
dreamingirwin,0.00399099,LOLZ,Daily payout based on your ALIVE stake.
andy-plays,0.00398141,LOLZ,Daily payout based on your ALIVE stake.
allonyx.ngs,0.00397383,LOLZ,Daily payout based on your ALIVE stake.
wandrnrose7,0.00395375,LOLZ,Daily payout based on your ALIVE stake.
forykw,0.0038739,LOLZ,Daily payout based on your ALIVE stake.
castri-ja,0.00386985,LOLZ,Daily payout based on your ALIVE stake.
badpupper,0.0038083,LOLZ,Daily payout based on your ALIVE stake.
savvyplayer,0.00375564,LOLZ,Daily payout based on your ALIVE stake.
russellstockley,0.00375446,LOLZ,Daily payout based on your ALIVE stake.
voltz-blag,0.00374355,LOLZ,Daily payout based on your ALIVE stake.
howyf2,0.00373397,LOLZ,Daily payout based on your ALIVE stake.
onthemountain,0.00373214,LOLZ,Daily payout based on your ALIVE stake.
