account,amount,symbol,memo
flaxz.alive,0.51017662,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.36897544,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.34800552,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.25708438,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.16479826,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14899423,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.14773287,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10480802,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.08863222,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08400261,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07965319,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.07429474,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07323676,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.07158152,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05896746,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05267097,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.05004415,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04835763,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.04835232,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.04645623,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04525624,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.03724407,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.03388347,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.03316528,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03219847,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03171355,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03141333,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.03053863,LOLZ,Daily payout based on your ALIVE stake.
