account,amount,symbol,memo
flaxz.alive,0.50421933,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.36818921,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.34726438,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.25629099,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.16384173,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14731804,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.14549413,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10367156,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.0998338,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.08797083,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08256196,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.07903543,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07306845,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.06995399,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.06962765,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.05882708,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05255846,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.04970511,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04824996,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.04824947,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.04634246,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04481796,LOLZ,Daily payout based on your ALIVE stake.
davidthompson57,0.03502542,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.03360441,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03164609,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.03108955,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03069145,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.02937101,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.02921142,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.02845188,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02788152,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.02764668,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02716263,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02716127,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02581191,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.0249896,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02475575,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02445944,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02426877,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02412836,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02395385,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02344082,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02293879,LOLZ,Daily payout based on your ALIVE stake.
oscarps,0.02151498,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.02148045,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.0212047,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02050034,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02035174,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01907626,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.01898437,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.01882808,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01767882,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01713121,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01701689,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01695749,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01612709,LOLZ,Daily payout based on your ALIVE stake.
hankanon,0.0159845,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01541384,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01510129,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.0150766,LOLZ,Daily payout based on your ALIVE stake.
beststart,0.01459142,LOLZ,Daily payout based on your ALIVE stake.
stdd,0.01405157,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01376181,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01341821,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01278888,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01267215,LOLZ,Daily payout based on your ALIVE stake.
adysscheryl,0.01246553,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01147603,LOLZ,Daily payout based on your ALIVE stake.
visual.alive,0.01145872,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01138296,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01131433,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01112639,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01097286,LOLZ,Daily payout based on your ALIVE stake.
tydynrain,0.01084623,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.01062181,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.01035921,LOLZ,Daily payout based on your ALIVE stake.
elizabetamt,0.01029732,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.01028026,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.01002617,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.00997226,LOLZ,Daily payout based on your ALIVE stake.
points-fr,0.00979696,LOLZ,Daily payout based on your ALIVE stake.
epic-fail,0.00943433,LOLZ,Daily payout based on your ALIVE stake.
mlrequena78,0.0091029,LOLZ,Daily payout based on your ALIVE stake.
bambukah,0.00889184,LOLZ,Daily payout based on your ALIVE stake.
jacoalberts,0.00882575,LOLZ,Daily payout based on your ALIVE stake.
alex2alex,0.00874293,LOLZ,Daily payout based on your ALIVE stake.
laruche,0.00865872,LOLZ,Daily payout based on your ALIVE stake.
macfit,0.0085196,LOLZ,Daily payout based on your ALIVE stake.
coininstant,0.0083351,LOLZ,Daily payout based on your ALIVE stake.
moretea,0.00822571,LOLZ,Daily payout based on your ALIVE stake.
chireerocks.live,0.00816365,LOLZ,Daily payout based on your ALIVE stake.
vickoly,0.00815034,LOLZ,Daily payout based on your ALIVE stake.
melinda010100,0.00805068,LOLZ,Daily payout based on your ALIVE stake.
johnsdowie,0.00803949,LOLZ,Daily payout based on your ALIVE stake.
bearmol,0.00801382,LOLZ,Daily payout based on your ALIVE stake.
lightcaptured,0.00781223,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,0.00772199,LOLZ,Daily payout based on your ALIVE stake.
wdougwatson,0.00772094,LOLZ,Daily payout based on your ALIVE stake.
mervinthepogi,0.00767116,LOLZ,Daily payout based on your ALIVE stake.
mk992039,0.00755985,LOLZ,Daily payout based on your ALIVE stake.
tdctunes,0.00724845,LOLZ,Daily payout based on your ALIVE stake.
samsmith1971,0.00681516,LOLZ,Daily payout based on your ALIVE stake.
captainloken,0.00665108,LOLZ,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00662803,LOLZ,Daily payout based on your ALIVE stake.
rbhayes,0.00653842,LOLZ,Daily payout based on your ALIVE stake.
mario89,0.00617464,LOLZ,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00615293,LOLZ,Daily payout based on your ALIVE stake.
rickardoh,0.00603601,LOLZ,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00593993,LOLZ,Daily payout based on your ALIVE stake.
hivetrending,0.0059172,LOLZ,Daily payout based on your ALIVE stake.
visualblock,0.00585455,LOLZ,Daily payout based on your ALIVE stake.
old-man-chu58,0.00577817,LOLZ,Daily payout based on your ALIVE stake.
tengolotodo,0.00573816,LOLZ,Daily payout based on your ALIVE stake.
bardobrujo,0.00568863,LOLZ,Daily payout based on your ALIVE stake.
caelum1infernum,0.0056611,LOLZ,Daily payout based on your ALIVE stake.
stevermac1966,0.00552823,LOLZ,Daily payout based on your ALIVE stake.
johnandgrace,0.0054469,LOLZ,Daily payout based on your ALIVE stake.
assassyn,0.00544345,LOLZ,Daily payout based on your ALIVE stake.
karizma,0.00541291,LOLZ,Daily payout based on your ALIVE stake.
tunnelmotions,0.00539539,LOLZ,Daily payout based on your ALIVE stake.
rarej,0.00538048,LOLZ,Daily payout based on your ALIVE stake.
ekushya,0.005365,LOLZ,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00531644,LOLZ,Daily payout based on your ALIVE stake.
thoth442,0.00529259,LOLZ,Daily payout based on your ALIVE stake.
engilhramn,0.00528212,LOLZ,Daily payout based on your ALIVE stake.
dreamingirwin,0.00526226,LOLZ,Daily payout based on your ALIVE stake.
andy-plays,0.00524963,LOLZ,Daily payout based on your ALIVE stake.
allonyx.ngs,0.00523962,LOLZ,Daily payout based on your ALIVE stake.
icon-bassey,0.00514365,LOLZ,Daily payout based on your ALIVE stake.
forykw,0.00510015,LOLZ,Daily payout based on your ALIVE stake.
bechibenner,0.00500356,LOLZ,Daily payout based on your ALIVE stake.
badpupper,0.0049534,LOLZ,Daily payout based on your ALIVE stake.
savvyplayer,0.00495194,LOLZ,Daily payout based on your ALIVE stake.
russellstockley,0.00494894,LOLZ,Daily payout based on your ALIVE stake.
criptosectadepit,0.00493112,LOLZ,Daily payout based on your ALIVE stake.
howyf2,0.00492337,LOLZ,Daily payout based on your ALIVE stake.
voltz-blag,0.00491555,LOLZ,Daily payout based on your ALIVE stake.
pixiepost,0.00489702,LOLZ,Daily payout based on your ALIVE stake.
madushanka,0.00488039,LOLZ,Daily payout based on your ALIVE stake.
new.things,0.00487891,LOLZ,Daily payout based on your ALIVE stake.
consciouscat,0.00486688,LOLZ,Daily payout based on your ALIVE stake.
castri-ja,0.00483277,LOLZ,Daily payout based on your ALIVE stake.
ahmadmanga,0.00483117,LOLZ,Daily payout based on your ALIVE stake.
iviaxpow3r,0.00483022,LOLZ,Daily payout based on your ALIVE stake.
vokus,0.00482547,LOLZ,Daily payout based on your ALIVE stake.
voltagrou,0.00482538,LOLZ,Daily payout based on your ALIVE stake.
