account,amount,symbol,memo
flaxz.alive,0.5284777,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.38765615,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.35416332,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.2659458,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.17079208,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.14850101,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14839162,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.10510806,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09748032,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.09136013,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08275139,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08060562,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07428269,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.06882234,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.06702877,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06157146,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05533653,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05080022,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.04883488,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.04874563,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04631767,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.03373421,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03331942,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.03065828,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.03044285,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.02935977,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.02935579,LOLZ,Daily payout based on your ALIVE stake.
vocup,0.02852984,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02775607,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02703638,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.0266823,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.02667889,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02616614,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02613519,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02583869,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02575124,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02554947,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02540417,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.02399262,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02382064,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.02354009,LOLZ,Daily payout based on your ALIVE stake.
