account,amount,symbol,memo
poliac,3.745e-05,LOLZ,Daily payout based on your ALIVE stake.
anonymous02,3.743e-05,LOLZ,Daily payout based on your ALIVE stake.
buzzgoblin,3.695e-05,LOLZ,Daily payout based on your ALIVE stake.
merit.ahama,3.689e-05,LOLZ,Daily payout based on your ALIVE stake.
zolajade,3.683e-05,LOLZ,Daily payout based on your ALIVE stake.
luvshares,3.539e-05,LOLZ,Daily payout based on your ALIVE stake.
isiksenpalvoja,3.537e-05,LOLZ,Daily payout based on your ALIVE stake.
ecto1337,3.336e-05,LOLZ,Daily payout based on your ALIVE stake.
elgringoviejo,3.324e-05,LOLZ,Daily payout based on your ALIVE stake.
andy4475,3.321e-05,LOLZ,Daily payout based on your ALIVE stake.
photofeed,3.298e-05,LOLZ,Daily payout based on your ALIVE stake.
victorbch,3.293e-05,LOLZ,Daily payout based on your ALIVE stake.
linlove,3.279e-05,LOLZ,Daily payout based on your ALIVE stake.
blitzzzz,3.242e-05,LOLZ,Daily payout based on your ALIVE stake.
ivarbjorn,3.208e-05,LOLZ,Daily payout based on your ALIVE stake.
freemoneyy,3.207e-05,LOLZ,Daily payout based on your ALIVE stake.
cryptoplanetbg,3.187e-05,LOLZ,Daily payout based on your ALIVE stake.
rentaw03,3.186e-05,LOLZ,Daily payout based on your ALIVE stake.
angie08,3.186e-05,LOLZ,Daily payout based on your ALIVE stake.
myjob,3.186e-05,LOLZ,Daily payout based on your ALIVE stake.
florenceboens,3.135e-05,LOLZ,Daily payout based on your ALIVE stake.
m0rph,3.13e-05,LOLZ,Daily payout based on your ALIVE stake.
listik303,3.115e-05,LOLZ,Daily payout based on your ALIVE stake.
apoloo1,3.107e-05,LOLZ,Daily payout based on your ALIVE stake.
poprzeczka,3.074e-05,LOLZ,Daily payout based on your ALIVE stake.
luizeba,3.074e-05,LOLZ,Daily payout based on your ALIVE stake.
lordtimoty,3.074e-05,LOLZ,Daily payout based on your ALIVE stake.
rafasete,3.042e-05,LOLZ,Daily payout based on your ALIVE stake.
emeka4,2.962e-05,LOLZ,Daily payout based on your ALIVE stake.
memess.curator,2.953e-05,LOLZ,Daily payout based on your ALIVE stake.
officialrosh1,2.947e-05,LOLZ,Daily payout based on your ALIVE stake.
superslayer0040,2.915e-05,LOLZ,Daily payout based on your ALIVE stake.
nasincera,2.899e-05,LOLZ,Daily payout based on your ALIVE stake.
silverquest,2.795e-05,LOLZ,Daily payout based on your ALIVE stake.
djtrucker,2.795e-05,LOLZ,Daily payout based on your ALIVE stake.
blackdaisyft,2.795e-05,LOLZ,Daily payout based on your ALIVE stake.
huckleberrie,2.795e-05,LOLZ,Daily payout based on your ALIVE stake.
wil.metcalfe,2.739e-05,LOLZ,Daily payout based on your ALIVE stake.
khaleesii,2.739e-05,LOLZ,Daily payout based on your ALIVE stake.
iceman23,2.684e-05,LOLZ,Daily payout based on your ALIVE stake.
mojicap,2.683e-05,LOLZ,Daily payout based on your ALIVE stake.
nyinyiwin,2.658e-05,LOLZ,Daily payout based on your ALIVE stake.
hurtlocker,2.654e-05,LOLZ,Daily payout based on your ALIVE stake.
ilap,2.607e-05,LOLZ,Daily payout based on your ALIVE stake.
mango-juice,2.587e-05,LOLZ,Daily payout based on your ALIVE stake.
ultratrain,2.577e-05,LOLZ,Daily payout based on your ALIVE stake.
madmanmusic,2.571e-05,LOLZ,Daily payout based on your ALIVE stake.
lesmann,2.515e-05,LOLZ,Daily payout based on your ALIVE stake.
jayna,2.515e-05,LOLZ,Daily payout based on your ALIVE stake.
titly,2.459e-05,LOLZ,Daily payout based on your ALIVE stake.
ph1102,2.459e-05,LOLZ,Daily payout based on your ALIVE stake.
iskafan,2.459e-05,LOLZ,Daily payout based on your ALIVE stake.
blumela,2.437e-05,LOLZ,Daily payout based on your ALIVE stake.
kam5iz,2.436e-05,LOLZ,Daily payout based on your ALIVE stake.
traciyork,2.434e-05,LOLZ,Daily payout based on your ALIVE stake.
rgondie,2.424e-05,LOLZ,Daily payout based on your ALIVE stake.
cryptoniusrex,2.413e-05,LOLZ,Daily payout based on your ALIVE stake.
servelle,2.404e-05,LOLZ,Daily payout based on your ALIVE stake.
monochromes,2.403e-05,LOLZ,Daily payout based on your ALIVE stake.
cybercrypt0,2.403e-05,LOLZ,Daily payout based on your ALIVE stake.
fredkese,2.348e-05,LOLZ,Daily payout based on your ALIVE stake.
maarnio,2.348e-05,LOLZ,Daily payout based on your ALIVE stake.
wanderingmoon,2.301e-05,LOLZ,Daily payout based on your ALIVE stake.
deraaa,2.292e-05,LOLZ,Daily payout based on your ALIVE stake.
zfg,2.26e-05,LOLZ,Daily payout based on your ALIVE stake.
hive-data,2.236e-05,LOLZ,Daily payout based on your ALIVE stake.
therneau,2.236e-05,LOLZ,Daily payout based on your ALIVE stake.
paulmoon410,2.22e-05,LOLZ,Daily payout based on your ALIVE stake.
yeti72,2.202e-05,LOLZ,Daily payout based on your ALIVE stake.
risingstargame,2.18e-05,LOLZ,Daily payout based on your ALIVE stake.
misslasvegas,2.18e-05,LOLZ,Daily payout based on your ALIVE stake.
nasfyneboy92,2.18e-05,LOLZ,Daily payout based on your ALIVE stake.
hivebg,2.161e-05,LOLZ,Daily payout based on your ALIVE stake.
apprentice001,2.124e-05,LOLZ,Daily payout based on your ALIVE stake.
practicaleric,2.124e-05,LOLZ,Daily payout based on your ALIVE stake.
litguru,2.124e-05,LOLZ,Daily payout based on your ALIVE stake.
token-thx,2.068e-05,LOLZ,Daily payout based on your ALIVE stake.
bhattg,2.025e-05,LOLZ,Daily payout based on your ALIVE stake.
serhotest,2.017e-05,LOLZ,Daily payout based on your ALIVE stake.
luueetang,2.012e-05,LOLZ,Daily payout based on your ALIVE stake.
bucipuci,2.012e-05,LOLZ,Daily payout based on your ALIVE stake.
pensieristupendi,2.005e-05,LOLZ,Daily payout based on your ALIVE stake.
joseph23,2.003e-05,LOLZ,Daily payout based on your ALIVE stake.
firstborn.pob,1.973e-05,LOLZ,Daily payout based on your ALIVE stake.
atma.love,1.96e-05,LOLZ,Daily payout based on your ALIVE stake.
felipejoys,1.956e-05,LOLZ,Daily payout based on your ALIVE stake.
heskay,1.956e-05,LOLZ,Daily payout based on your ALIVE stake.
davidbright,1.9e-05,LOLZ,Daily payout based on your ALIVE stake.
joetunex,1.9e-05,LOLZ,Daily payout based on your ALIVE stake.
shollywills,1.9e-05,LOLZ,Daily payout based on your ALIVE stake.
liotes,1.9e-05,LOLZ,Daily payout based on your ALIVE stake.
h3m4n7,1.878e-05,LOLZ,Daily payout based on your ALIVE stake.
consciouscat,1.845e-05,LOLZ,Daily payout based on your ALIVE stake.
shanibeer,1.845e-05,LOLZ,Daily payout based on your ALIVE stake.
svanbo,1.845e-05,LOLZ,Daily payout based on your ALIVE stake.
revideogf,1.838e-05,LOLZ,Daily payout based on your ALIVE stake.
tygertyger,1.826e-05,LOLZ,Daily payout based on your ALIVE stake.
cmplxty,1.82e-05,LOLZ,Daily payout based on your ALIVE stake.
