account,amount,symbol,memo
flaxz.alive,0.54131754,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.41296501,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.35309552,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.27712924,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.17931668,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15152516,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14091651,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.11194592,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.10124525,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.09572134,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08240573,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.08028646,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07357084,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.06505194,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06318047,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.0619863,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05746,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05411709,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.0519132,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.04811406,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03549493,LOLZ,Daily payout based on your ALIVE stake.
gestion.alive,0.03439494,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.03266003,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.0312725,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.03113935,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.02981999,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02878595,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02834435,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02763056,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02750953,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02742989,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02721657,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02706287,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.02681924,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.02667972,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.02551693,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.02374342,LOLZ,Daily payout based on your ALIVE stake.
daniky,0.02353881,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02297792,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02278311,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02248436,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02232113,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.02129327,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01980438,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01921311,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.01880632,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01875506,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.0186149,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.01770903,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.01735999,LOLZ,Daily payout based on your ALIVE stake.
mintfinch,0.01718113,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01599968,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.0150769,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01421336,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.01408396,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01398051,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01376099,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01269485,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01267965,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01247959,LOLZ,Daily payout based on your ALIVE stake.
alzee,0.01207386,LOLZ,Daily payout based on your ALIVE stake.
lolz.alive,0.01201456,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.01191364,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01172314,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01171975,LOLZ,Daily payout based on your ALIVE stake.
steem-holder,0.01167847,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.0116191,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01148938,LOLZ,Daily payout based on your ALIVE stake.
myupvote2u,0.01124015,LOLZ,Daily payout based on your ALIVE stake.
captaincryptic,0.01120536,LOLZ,Daily payout based on your ALIVE stake.
chaosmagic23,0.01111886,LOLZ,Daily payout based on your ALIVE stake.
pedrobrito2004,0.0110386,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.01098543,LOLZ,Daily payout based on your ALIVE stake.
