account,amount,symbol,memo
flaxz.alive,0.55104148,LOLZ,Daily payout based on your ALIVE stake.
jlufer,0.4246343,LOLZ,Daily payout based on your ALIVE stake.
hafiz34,0.34978688,LOLZ,Daily payout based on your ALIVE stake.
iamraincrystal,0.28287817,LOLZ,Daily payout based on your ALIVE stake.
lukeisalive,0.18309294,LOLZ,Daily payout based on your ALIVE stake.
bradleyarrow,0.15207175,LOLZ,Daily payout based on your ALIVE stake.
gurseerat,0.14152669,LOLZ,Daily payout based on your ALIVE stake.
masoom,0.11510881,LOLZ,Daily payout based on your ALIVE stake.
maddogmike,0.09745983,LOLZ,Daily payout based on your ALIVE stake.
kingneptune,0.09275746,LOLZ,Daily payout based on your ALIVE stake.
darmst5339,0.08161837,LOLZ,Daily payout based on your ALIVE stake.
benthomaswwd,0.07393151,LOLZ,Daily payout based on your ALIVE stake.
imfarhad,0.07390548,LOLZ,Daily payout based on your ALIVE stake.
jimmy.adames,0.06494917,LOLZ,Daily payout based on your ALIVE stake.
edgerik,0.06288798,LOLZ,Daily payout based on your ALIVE stake.
ironshield,0.06142312,LOLZ,Daily payout based on your ALIVE stake.
hive-112281,0.05812737,LOLZ,Daily payout based on your ALIVE stake.
primersion,0.05564637,LOLZ,Daily payout based on your ALIVE stake.
harpreetjanda,0.05337964,LOLZ,Daily payout based on your ALIVE stake.
thisisawesome,0.0491117,LOLZ,Daily payout based on your ALIVE stake.
d00k13,0.03649797,LOLZ,Daily payout based on your ALIVE stake.
captain.alive,0.03358296,LOLZ,Daily payout based on your ALIVE stake.
hive.pizza,0.03215622,LOLZ,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02959273,LOLZ,Daily payout based on your ALIVE stake.
yeckingo1,0.02944749,LOLZ,Daily payout based on your ALIVE stake.
mypathtofire,0.02888508,LOLZ,Daily payout based on your ALIVE stake.
saboin.alive,0.02850826,LOLZ,Daily payout based on your ALIVE stake.
flaxz,0.02833123,LOLZ,Daily payout based on your ALIVE stake.
ddn688,0.02828302,LOLZ,Daily payout based on your ALIVE stake.
alokkumar121,0.02820391,LOLZ,Daily payout based on your ALIVE stake.
elianaicgomes,0.02798456,LOLZ,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02782763,LOLZ,Daily payout based on your ALIVE stake.
chapelle,0.0267702,LOLZ,Daily payout based on your ALIVE stake.
invest-time,0.02662417,LOLZ,Daily payout based on your ALIVE stake.
ana-maria,0.0254315,LOLZ,Daily payout based on your ALIVE stake.
davidxxl,0.02467281,LOLZ,Daily payout based on your ALIVE stake.
daniky,0.02369751,LOLZ,Daily payout based on your ALIVE stake.
justclickindiva,0.02361111,LOLZ,Daily payout based on your ALIVE stake.
awah,0.02342025,LOLZ,Daily payout based on your ALIVE stake.
manuvert,0.02224074,LOLZ,Daily payout based on your ALIVE stake.
raishmi,0.02189499,LOLZ,Daily payout based on your ALIVE stake.
rcaine,0.02157167,LOLZ,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0210835,LOLZ,Daily payout based on your ALIVE stake.
stickupboys,0.01975549,LOLZ,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01972219,LOLZ,Daily payout based on your ALIVE stake.
ben.haase,0.0190917,LOLZ,Daily payout based on your ALIVE stake.
magicalive,0.01909018,LOLZ,Daily payout based on your ALIVE stake.
holovision.cash,0.01895419,LOLZ,Daily payout based on your ALIVE stake.
mintfinch,0.01766609,LOLZ,Daily payout based on your ALIVE stake.
globetrottergcc,0.0176587,LOLZ,Daily payout based on your ALIVE stake.
gank,0.01645181,LOLZ,Daily payout based on your ALIVE stake.
hoosie,0.01524249,LOLZ,Daily payout based on your ALIVE stake.
griega,0.01461501,LOLZ,Daily payout based on your ALIVE stake.
merthin,0.01437002,LOLZ,Daily payout based on your ALIVE stake.
toekins,0.01412901,LOLZ,Daily payout based on your ALIVE stake.
liotes.alive,0.01398331,LOLZ,Daily payout based on your ALIVE stake.
noctury,0.01333532,LOLZ,Daily payout based on your ALIVE stake.
guurry123,0.01302966,LOLZ,Daily payout based on your ALIVE stake.
kaseldz,0.01283225,LOLZ,Daily payout based on your ALIVE stake.
b4phom3t,0.01225031,LOLZ,Daily payout based on your ALIVE stake.
tokenpimp,0.01194745,LOLZ,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01190962,LOLZ,Daily payout based on your ALIVE stake.
newigennity,0.01177734,LOLZ,Daily payout based on your ALIVE stake.
zealous4ever,0.01163572,LOLZ,Daily payout based on your ALIVE stake.
hirohurl,0.01156507,LOLZ,Daily payout based on your ALIVE stake.
misterc,0.01141744,LOLZ,Daily payout based on your ALIVE stake.
ilovewintergem,0.01129142,LOLZ,Daily payout based on your ALIVE stake.
