account,amount,symbol,memo
flaxz.alive,0.45258848,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.32175387,PGM,Daily payout based on your ALIVE stake.
jlufer,0.30024961,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.22047096,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14324321,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.13930088,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13676832,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10359474,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.09483565,PGM,Daily payout based on your ALIVE stake.
ironshield,0.08978955,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07875497,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.07610089,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.0714569,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.0713648,PGM,Daily payout based on your ALIVE stake.
masoom,0.06567722,PGM,Daily payout based on your ALIVE stake.
urri2020,0.06103319,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05678232,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.05445737,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05046541,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.04698213,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04540007,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.04405099,PGM,Daily payout based on your ALIVE stake.
vocup,0.04104059,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04035847,PGM,Daily payout based on your ALIVE stake.
noctury,0.03939345,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.03934937,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03555137,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03253648,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03162478,PGM,Daily payout based on your ALIVE stake.
chapelle,0.03083949,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02908032,PGM,Daily payout based on your ALIVE stake.
awah,0.02613986,PGM,Daily payout based on your ALIVE stake.
d00k13,0.02580373,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02572055,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.0256901,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02435462,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.0241318,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02345379,PGM,Daily payout based on your ALIVE stake.
stdd,0.02320766,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02285295,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02273416,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02270043,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02200807,PGM,Daily payout based on your ALIVE stake.
magicalive,0.02198255,PGM,Daily payout based on your ALIVE stake.
flaxz,0.0212621,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02035907,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02020395,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.0199466,PGM,Daily payout based on your ALIVE stake.
