account,amount,symbol,memo
flaxz.alive,0.54480314,PGM,Daily payout based on your ALIVE stake.
jlufer,0.39963728,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.355602,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.27196919,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.17494204,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.14981898,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.13823333,PGM,Daily payout based on your ALIVE stake.
masoom,0.10835058,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10049285,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.09354697,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08143838,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.08021572,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07364893,PGM,Daily payout based on your ALIVE stake.
edgerik,0.06681144,PGM,Daily payout based on your ALIVE stake.
ironshield,0.06667242,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06115907,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05704642,PGM,Daily payout based on your ALIVE stake.
primersion,0.05237041,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05023923,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04711983,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04095775,PGM,Daily payout based on your ALIVE stake.
d00k13,0.0343493,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.03409648,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.0316059,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03026316,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03011176,PGM,Daily payout based on your ALIVE stake.
vocup,0.0289989,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.02818106,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02800239,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02786577,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02686602,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02684665,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02676623,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02662583,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02654719,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02633866,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.0261894,PGM,Daily payout based on your ALIVE stake.
manuvert,0.02545813,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02314626,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02260555,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.0222431,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02215776,PGM,Daily payout based on your ALIVE stake.
awah,0.02205562,PGM,Daily payout based on your ALIVE stake.
noctury,0.02174208,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02060601,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.0205745,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02007882,PGM,Daily payout based on your ALIVE stake.
magicalive,0.0189207,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01859299,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01846995,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01805043,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01702109,PGM,Daily payout based on your ALIVE stake.
gank,0.01635756,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01529945,PGM,Daily payout based on your ALIVE stake.
toekins,0.01490503,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.01401151,PGM,Daily payout based on your ALIVE stake.
griega,0.01375461,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.0137446,PGM,Daily payout based on your ALIVE stake.
merthin,0.01353294,PGM,Daily payout based on your ALIVE stake.
alzee,0.01276066,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01231025,PGM,Daily payout based on your ALIVE stake.
misterc,0.0122704,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.0120768,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01193727,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.0118866,PGM,Daily payout based on your ALIVE stake.
