account,amount,symbol,memo
flaxz.alive,0.46802589,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.33023254,PGM,Daily payout based on your ALIVE stake.
jlufer,0.31056726,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.22225124,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.14258569,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14107245,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13629659,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.0962498,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.09401571,PGM,Daily payout based on your ALIVE stake.
ironshield,0.08236845,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.07760983,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07729436,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.071971,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07170269,PGM,Daily payout based on your ALIVE stake.
masoom,0.06793564,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05873447,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05217673,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.04916874,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.04622481,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04618803,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.04433063,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04123312,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04071198,PGM,Daily payout based on your ALIVE stake.
primersion,0.04069471,PGM,Daily payout based on your ALIVE stake.
vocup,0.03964564,PGM,Daily payout based on your ALIVE stake.
noctury,0.03712333,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03548752,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03248121,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03088493,PGM,Daily payout based on your ALIVE stake.
oscarps,0.03056002,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02752789,PGM,Daily payout based on your ALIVE stake.
urri2020,0.0271488,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02713756,PGM,Daily payout based on your ALIVE stake.
d00k13,0.02669104,PGM,Daily payout based on your ALIVE stake.
awah,0.02579575,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02570338,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02519209,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02492098,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02363878,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02351591,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02313512,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02250012,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02176657,PGM,Daily payout based on your ALIVE stake.
magicalive,0.02133827,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02105875,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02089218,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.02082615,PGM,Daily payout based on your ALIVE stake.
stdd,0.02072985,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02063168,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02047005,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02035081,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01890851,PGM,Daily payout based on your ALIVE stake.
hankanon,0.01874706,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01731631,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.01730551,PGM,Daily payout based on your ALIVE stake.
beststart,0.01644192,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.01639689,PGM,Daily payout based on your ALIVE stake.
merthin,0.01602231,PGM,Daily payout based on your ALIVE stake.
raishmi,0.01601185,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01561853,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01482039,PGM,Daily payout based on your ALIVE stake.
alzee,0.01454285,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01445544,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01445089,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01437935,PGM,Daily payout based on your ALIVE stake.
visual.alive,0.01428054,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01426186,PGM,Daily payout based on your ALIVE stake.
gank,0.01356705,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01195087,PGM,Daily payout based on your ALIVE stake.
toekins,0.0117927,PGM,Daily payout based on your ALIVE stake.
neoxvoter,0.01138545,PGM,Daily payout based on your ALIVE stake.
synergized,0.01103345,PGM,Daily payout based on your ALIVE stake.
bambukah,0.01095597,PGM,Daily payout based on your ALIVE stake.
kam5iz,0.01076663,PGM,Daily payout based on your ALIVE stake.
griega,0.01069002,PGM,Daily payout based on your ALIVE stake.
certain,0.01067796,PGM,Daily payout based on your ALIVE stake.
jmis101,0.01054459,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.01023042,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.010184,PGM,Daily payout based on your ALIVE stake.
alex2alex,0.0100813,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00993007,PGM,Daily payout based on your ALIVE stake.
guurry123,0.00965925,PGM,Daily payout based on your ALIVE stake.
misterc,0.00956016,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00946024,PGM,Daily payout based on your ALIVE stake.
myjob,0.00945636,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.00942871,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.00938425,PGM,Daily payout based on your ALIVE stake.
master-lamps,0.00924148,PGM,Daily payout based on your ALIVE stake.
melinda010100,0.00903816,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.00895868,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.00875744,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.00846403,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.00843036,PGM,Daily payout based on your ALIVE stake.
points-fr,0.00826382,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.00803203,PGM,Daily payout based on your ALIVE stake.
littlebee4,0.00799135,PGM,Daily payout based on your ALIVE stake.
oasiskp2,0.00793583,PGM,Daily payout based on your ALIVE stake.
apoloo1,0.00792348,PGM,Daily payout based on your ALIVE stake.
new.things,0.00784398,PGM,Daily payout based on your ALIVE stake.
mirroredspork,0.00780312,PGM,Daily payout based on your ALIVE stake.
caelum1infernum,0.00776293,PGM,Daily payout based on your ALIVE stake.
alive.voter,0.00772617,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.00767759,PGM,Daily payout based on your ALIVE stake.
bearmol,0.00761593,PGM,Daily payout based on your ALIVE stake.
coininstant,0.00757672,PGM,Daily payout based on your ALIVE stake.
macfit,0.00753384,PGM,Daily payout based on your ALIVE stake.
thoth442,0.00752122,PGM,Daily payout based on your ALIVE stake.
tengolotodo,0.0073965,PGM,Daily payout based on your ALIVE stake.
laruche,0.00730296,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00721513,PGM,Daily payout based on your ALIVE stake.
karizma,0.00715304,PGM,Daily payout based on your ALIVE stake.
moretea,0.00693897,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.00688541,PGM,Daily payout based on your ALIVE stake.
vickoly,0.00687785,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.00683215,PGM,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00669826,PGM,Daily payout based on your ALIVE stake.
bechibenner,0.00655234,PGM,Daily payout based on your ALIVE stake.
metzli,0.00651622,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.00651202,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00647003,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00638958,PGM,Daily payout based on your ALIVE stake.
ijelady,0.00616069,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00612205,PGM,Daily payout based on your ALIVE stake.
engilhramn,0.00603705,PGM,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00584657,PGM,Daily payout based on your ALIVE stake.
