account,amount,symbol,memo
flaxz.alive,0.48170223,PGM,Daily payout based on your ALIVE stake.
jlufer,0.32381532,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.30539522,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.22637359,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.14759543,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14202564,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13916807,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10035848,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.09165372,PGM,Daily payout based on your ALIVE stake.
ironshield,0.08033714,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.08010845,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07518302,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07365435,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07288543,PGM,Daily payout based on your ALIVE stake.
masoom,0.07083565,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.06123704,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05363363,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04794796,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.04622215,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.04510925,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.04360236,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04294248,PGM,Daily payout based on your ALIVE stake.
primersion,0.04243187,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.0416782,PGM,Daily payout based on your ALIVE stake.
oscarps,0.03822928,PGM,Daily payout based on your ALIVE stake.
vocup,0.03779103,PGM,Daily payout based on your ALIVE stake.
noctury,0.03630585,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03552205,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03195777,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.0306441,PGM,Daily payout based on your ALIVE stake.
d00k13,0.02783042,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02690319,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02626748,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02616197,PGM,Daily payout based on your ALIVE stake.
awah,0.02592221,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02571627,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02481708,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02464787,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02451975,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02350744,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02329065,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02234313,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02178402,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02151198,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02149717,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02134345,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02121912,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01971567,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01948613,PGM,Daily payout based on your ALIVE stake.
stdd,0.01926601,PGM,Daily payout based on your ALIVE stake.
