account,amount,symbol,memo
flaxz.alive,0.46194421,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.32679989,PGM,Daily payout based on your ALIVE stake.
jlufer,0.30653246,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.21978004,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.14103824,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14002839,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13613734,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10218809,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.09480921,PGM,Daily payout based on your ALIVE stake.
ironshield,0.08260681,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07691716,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.07680379,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07161612,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07078126,PGM,Daily payout based on your ALIVE stake.
masoom,0.06705234,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.0579712,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05150676,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.04947555,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.04671709,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04566782,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.04375424,PGM,Daily payout based on your ALIVE stake.
urri2020,0.04098215,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04070263,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04037091,PGM,Daily payout based on your ALIVE stake.
primersion,0.04016559,PGM,Daily payout based on your ALIVE stake.
vocup,0.03976257,PGM,Daily payout based on your ALIVE stake.
noctury,0.03727972,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03503695,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03242141,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.0308652,PGM,Daily payout based on your ALIVE stake.
oscarps,0.03016308,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02753345,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02741705,PGM,Daily payout based on your ALIVE stake.
d00k13,0.026344,PGM,Daily payout based on your ALIVE stake.
awah,0.02564836,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02552023,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.0251971,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02486454,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02364691,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02333143,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02321015,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02295601,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02224974,PGM,Daily payout based on your ALIVE stake.
magicalive,0.02208493,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02152171,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.02150631,PGM,Daily payout based on your ALIVE stake.
stdd,0.02107503,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02078534,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02062295,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02036383,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.0202043,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02008621,PGM,Daily payout based on your ALIVE stake.
hankanon,0.01928227,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01723458,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.01708131,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.01687292,PGM,Daily payout based on your ALIVE stake.
beststart,0.01623336,PGM,Daily payout based on your ALIVE stake.
merthin,0.01581439,PGM,Daily payout based on your ALIVE stake.
raishmi,0.01580366,PGM,Daily payout based on your ALIVE stake.
