account,amount,symbol,memo
flaxz.alive,0.42478892,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.30597691,PGM,Daily payout based on your ALIVE stake.
jlufer,0.28180725,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.20699834,PGM,Daily payout based on your ALIVE stake.
threesteps,0.20367385,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.13805982,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.13145582,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.13046406,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.09723058,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.09180625,PGM,Daily payout based on your ALIVE stake.
ironshield,0.08862431,PGM,Daily payout based on your ALIVE stake.
urri2020,0.08531725,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07657536,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.07204325,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07035295,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.06747875,PGM,Daily payout based on your ALIVE stake.
masoom,0.06164246,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.05439925,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05330471,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.04736995,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.04641547,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04301716,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.04183738,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.03935333,PGM,Daily payout based on your ALIVE stake.
vocup,0.03876219,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.03845538,PGM,Daily payout based on your ALIVE stake.
noctury,0.03837948,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03523904,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03213438,PGM,Daily payout based on your ALIVE stake.
chapelle,0.03051576,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03035432,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02920224,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02611555,PGM,Daily payout based on your ALIVE stake.
awah,0.02530909,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.02464152,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02453307,PGM,Daily payout based on your ALIVE stake.
d00k13,0.02421853,PGM,Daily payout based on your ALIVE stake.
stdd,0.02342157,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02286092,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02235643,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02144902,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02133752,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02132027,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02083973,PGM,Daily payout based on your ALIVE stake.
magicalive,0.02063209,PGM,Daily payout based on your ALIVE stake.
flaxz,0.0200652,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.01910872,PGM,Daily payout based on your ALIVE stake.
ddn688,0.01896497,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.01872158,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.01857456,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.01847043,PGM,Daily payout based on your ALIVE stake.
hankanon,0.0177272,PGM,Daily payout based on your ALIVE stake.
master-lamps,0.01728681,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01718018,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.01712483,PGM,Daily payout based on your ALIVE stake.
jmis101,0.01667061,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01602635,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.01570759,PGM,Daily payout based on your ALIVE stake.
beststart,0.01531688,PGM,Daily payout based on your ALIVE stake.
alive.voter,0.01518215,PGM,Daily payout based on your ALIVE stake.
merthin,0.01497627,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.014886,PGM,Daily payout based on your ALIVE stake.
raishmi,0.0145286,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01430007,PGM,Daily payout based on your ALIVE stake.
alzee,0.01368415,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01367206,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01311335,PGM,Daily payout based on your ALIVE stake.
gank,0.01231028,PGM,Daily payout based on your ALIVE stake.
synergized,0.01226598,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.01213334,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01180455,PGM,Daily payout based on your ALIVE stake.
toekins,0.01072791,PGM,Daily payout based on your ALIVE stake.
alex2alex,0.01048573,PGM,Daily payout based on your ALIVE stake.
neoxvoter,0.01047773,PGM,Daily payout based on your ALIVE stake.
kam5iz,0.01040461,PGM,Daily payout based on your ALIVE stake.
myjob,0.01027263,PGM,Daily payout based on your ALIVE stake.
oasiskp2,0.0099376,PGM,Daily payout based on your ALIVE stake.
sammyhive,0.00971337,PGM,Daily payout based on your ALIVE stake.
griega,0.00970197,PGM,Daily payout based on your ALIVE stake.
certain,0.00969066,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00942098,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.00937365,PGM,Daily payout based on your ALIVE stake.
bambukah,0.00923115,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.00921691,PGM,Daily payout based on your ALIVE stake.
guurry123,0.00880619,PGM,Daily payout based on your ALIVE stake.
ijelady,0.00878055,PGM,Daily payout based on your ALIVE stake.
misterc,0.00869791,PGM,Daily payout based on your ALIVE stake.
melinda010100,0.00869134,PGM,Daily payout based on your ALIVE stake.
littlebee4,0.00855544,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.00855529,PGM,Daily payout based on your ALIVE stake.
caelum1infernum,0.00834494,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.00812879,PGM,Daily payout based on your ALIVE stake.
hivecurious,0.00804587,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.00798792,PGM,Daily payout based on your ALIVE stake.
tengolotodo,0.00798036,PGM,Daily payout based on your ALIVE stake.
mirroredspork,0.00797543,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.00795066,PGM,Daily payout based on your ALIVE stake.
points-fr,0.00786931,PGM,Daily payout based on your ALIVE stake.
new.things,0.00772832,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.00767997,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.00766093,PGM,Daily payout based on your ALIVE stake.
rbhayes,0.00750132,PGM,Daily payout based on your ALIVE stake.
dragokazo,0.00726961,PGM,Daily payout based on your ALIVE stake.
bearmol,0.00726463,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.00709624,PGM,Daily payout based on your ALIVE stake.
karizma,0.00707819,PGM,Daily payout based on your ALIVE stake.
coininstant,0.00703657,PGM,Daily payout based on your ALIVE stake.
thoth442,0.00698409,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.00696675,PGM,Daily payout based on your ALIVE stake.
macfit,0.00684776,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00676972,PGM,Daily payout based on your ALIVE stake.
visual.alive,0.00668677,PGM,Daily payout based on your ALIVE stake.
vaynard86,0.00668029,PGM,Daily payout based on your ALIVE stake.
laruche,0.00662645,PGM,Daily payout based on your ALIVE stake.
sumatranate,0.00645732,PGM,Daily payout based on your ALIVE stake.
moretea,0.00629655,PGM,Daily payout based on your ALIVE stake.
vickoly,0.0062422,PGM,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00610672,PGM,Daily payout based on your ALIVE stake.
engilhramn,0.00610468,PGM,Daily payout based on your ALIVE stake.
chmoen,0.00603461,PGM,Daily payout based on your ALIVE stake.
myqlos,0.00600902,PGM,Daily payout based on your ALIVE stake.
olujose6,0.00600568,PGM,Daily payout based on your ALIVE stake.
bechibenner,0.00594869,PGM,Daily payout based on your ALIVE stake.
metzli,0.00591296,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00587179,PGM,Daily payout based on your ALIVE stake.
kryptodenno,0.00584228,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00579768,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00555605,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.00535449,PGM,Daily payout based on your ALIVE stake.
mario89,0.00531771,PGM,Daily payout based on your ALIVE stake.
cryptopsycho21,0.00531642,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00524292,PGM,Daily payout based on your ALIVE stake.
palomap3,0.00522192,PGM,Daily payout based on your ALIVE stake.
cursephantom,0.00518379,PGM,Daily payout based on your ALIVE stake.
assassyn,0.00500717,PGM,Daily payout based on your ALIVE stake.
stevermac1966,0.00499065,PGM,Daily payout based on your ALIVE stake.
herculeand,0.00496941,PGM,Daily payout based on your ALIVE stake.
kryptofire,0.00493626,PGM,Daily payout based on your ALIVE stake.
ekushya,0.00488846,PGM,Daily payout based on your ALIVE stake.
treefrognada,0.00488722,PGM,Daily payout based on your ALIVE stake.
consciouscat,0.00480182,PGM,Daily payout based on your ALIVE stake.
heruvim1978,0.00470567,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00461932,PGM,Daily payout based on your ALIVE stake.
hhayweaver,0.00461132,PGM,Daily payout based on your ALIVE stake.
sagarkothari88,0.0045919,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.00452839,PGM,Daily payout based on your ALIVE stake.
tokutaro22,0.0045016,PGM,Daily payout based on your ALIVE stake.
alovely088,0.0044928,PGM,Daily payout based on your ALIVE stake.
old-man-chu58,0.00449207,PGM,Daily payout based on your ALIVE stake.
dragon-ti,0.00440257,PGM,Daily payout based on your ALIVE stake.
faunobrujo,0.00435696,PGM,Daily payout based on your ALIVE stake.
clavdio75,0.00435068,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00429175,PGM,Daily payout based on your ALIVE stake.
koussbar,0.00421395,PGM,Daily payout based on your ALIVE stake.
rarej,0.00413701,PGM,Daily payout based on your ALIVE stake.
tunnelmotions,0.00412905,PGM,Daily payout based on your ALIVE stake.
esteva1820,0.00412781,PGM,Daily payout based on your ALIVE stake.
celf.support,0.00408297,PGM,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00407011,PGM,Daily payout based on your ALIVE stake.
beeber,0.00403996,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00402717,PGM,Daily payout based on your ALIVE stake.
andy-plays,0.0040175,PGM,Daily payout based on your ALIVE stake.
allonyx.ngs,0.00400985,PGM,Daily payout based on your ALIVE stake.
forykw,0.00390902,PGM,Daily payout based on your ALIVE stake.
castri-ja,0.00390493,PGM,Daily payout based on your ALIVE stake.
badpupper,0.00384282,PGM,Daily payout based on your ALIVE stake.
savvyplayer,0.00378968,PGM,Daily payout based on your ALIVE stake.
russellstockley,0.00378849,PGM,Daily payout based on your ALIVE stake.
voltz-blag,0.00377748,PGM,Daily payout based on your ALIVE stake.
howyf2,0.00376782,PGM,Daily payout based on your ALIVE stake.
onthemountain,0.00376597,PGM,Daily payout based on your ALIVE stake.
pixiepost,0.00375614,PGM,Daily payout based on your ALIVE stake.
madushanka,0.00373492,PGM,Daily payout based on your ALIVE stake.
slothbuzz,0.00372252,PGM,Daily payout based on your ALIVE stake.
