account,amount,symbol,memo
flaxz.alive,0.5052195,PGM,Daily payout based on your ALIVE stake.
jlufer,0.36365057,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.34298193,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.25339233,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.16284011,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14742729,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.14655944,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10470441,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.08773101,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.08650902,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07884072,PGM,Daily payout based on your ALIVE stake.
ironshield,0.07512874,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07457846,PGM,Daily payout based on your ALIVE stake.
edgerik,0.07182677,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05812387,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05191064,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04956001,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04766291,PGM,Daily payout based on your ALIVE stake.
primersion,0.04765433,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.0458042,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04491951,PGM,Daily payout based on your ALIVE stake.
oscarps,0.03816672,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.03805478,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.03576608,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.03223287,PGM,Daily payout based on your ALIVE stake.
noctury,0.03132115,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03125575,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03107845,PGM,Daily payout based on your ALIVE stake.
manuvert,0.03082682,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02885111,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02787566,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02767671,PGM,Daily payout based on your ALIVE stake.
vocup,0.02759964,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02753761,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02614109,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02564216,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02561223,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02477905,PGM,Daily payout based on your ALIVE stake.
ddn688,0.0244585,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.02417957,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02415869,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02396942,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02383074,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02348451,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02214225,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.02130391,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02025081,PGM,Daily payout based on your ALIVE stake.
awah,0.02011262,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01970695,PGM,Daily payout based on your ALIVE stake.
raishmi,0.0187502,PGM,Daily payout based on your ALIVE stake.
hankanon,0.01857123,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01748567,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01726226,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01691991,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01680699,PGM,Daily payout based on your ALIVE stake.
visual.alive,0.01660616,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01607445,PGM,Daily payout based on your ALIVE stake.
merthin,0.01595895,PGM,Daily payout based on your ALIVE stake.
gank,0.01557436,PGM,Daily payout based on your ALIVE stake.
stdd,0.01555253,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01541431,PGM,Daily payout based on your ALIVE stake.
beststart,0.01508697,PGM,Daily payout based on your ALIVE stake.
adysscheryl,0.01424843,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.0139061,PGM,Daily payout based on your ALIVE stake.
toekins,0.01364424,PGM,Daily payout based on your ALIVE stake.
alzee,0.01335827,PGM,Daily payout based on your ALIVE stake.
tydynrain,0.01292374,PGM,Daily payout based on your ALIVE stake.
griega,0.01251632,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01198335,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01126019,PGM,Daily payout based on your ALIVE stake.
misterc,0.01117806,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01099099,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01098915,PGM,Daily payout based on your ALIVE stake.
kam5iz,0.01097513,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.01075209,PGM,Daily payout based on your ALIVE stake.
master-lamps,0.01074059,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01049079,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01023143,PGM,Daily payout based on your ALIVE stake.
elizabetamt,0.01017031,PGM,Daily payout based on your ALIVE stake.
bambukah,0.01005827,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.0099106,PGM,Daily payout based on your ALIVE stake.
ilovewintergem,0.00985497,PGM,Daily payout based on your ALIVE stake.
points-fr,0.00967612,PGM,Daily payout based on your ALIVE stake.
epic-fail,0.00933585,PGM,Daily payout based on your ALIVE stake.
jacoalberts,0.00912481,PGM,Daily payout based on your ALIVE stake.
alex2alex,0.00910047,PGM,Daily payout based on your ALIVE stake.
mlrequena78,0.00899062,PGM,Daily payout based on your ALIVE stake.
coininstant,0.00874284,PGM,Daily payout based on your ALIVE stake.
laruche,0.00855191,PGM,Daily payout based on your ALIVE stake.
macfit,0.00843405,PGM,Daily payout based on your ALIVE stake.
lightcaptured,0.00823366,PGM,Daily payout based on your ALIVE stake.
melinda010100,0.00815866,PGM,Daily payout based on your ALIVE stake.
bearmol,0.00813341,PGM,Daily payout based on your ALIVE stake.
moretea,0.00812425,PGM,Daily payout based on your ALIVE stake.
chireerocks.live,0.00806295,PGM,Daily payout based on your ALIVE stake.
vickoly,0.00805029,PGM,Daily payout based on your ALIVE stake.
johnsdowie,0.00794033,PGM,Daily payout based on your ALIVE stake.
wdougwatson,0.0076257,PGM,Daily payout based on your ALIVE stake.
mervinthepogi,0.00757653,PGM,Daily payout based on your ALIVE stake.
mk992039,0.00746898,PGM,Daily payout based on your ALIVE stake.
bechibenner,0.00740141,PGM,Daily payout based on your ALIVE stake.
tdctunes,0.00715952,PGM,Daily payout based on your ALIVE stake.
captainloken,0.00688529,PGM,Daily payout based on your ALIVE stake.
madame-cyntaia,0.00685642,PGM,Daily payout based on your ALIVE stake.
samsmith1971,0.00673539,PGM,Daily payout based on your ALIVE stake.
rbhayes,0.00645777,PGM,Daily payout based on your ALIVE stake.
cryptopsycho21,0.0063897,PGM,Daily payout based on your ALIVE stake.
karizma,0.00633509,PGM,Daily payout based on your ALIVE stake.
mario89,0.00620938,PGM,Daily payout based on your ALIVE stake.
rachaeldwatson,0.00619388,PGM,Daily payout based on your ALIVE stake.
thoth442,0.00618363,PGM,Daily payout based on your ALIVE stake.
caelum1infernum,0.00610604,PGM,Daily payout based on your ALIVE stake.
old-man-chu58,0.00610143,PGM,Daily payout based on your ALIVE stake.
rickardoh,0.00596156,PGM,Daily payout based on your ALIVE stake.
hivetrending,0.00584422,PGM,Daily payout based on your ALIVE stake.
tengolotodo,0.00577235,PGM,Daily payout based on your ALIVE stake.
stevermac1966,0.00573728,PGM,Daily payout based on your ALIVE stake.
bardobrujo,0.00561846,PGM,Daily payout based on your ALIVE stake.
assassyn,0.00546685,PGM,Daily payout based on your ALIVE stake.
engilhramn,0.00538518,PGM,Daily payout based on your ALIVE stake.
johnandgrace,0.00537972,PGM,Daily payout based on your ALIVE stake.
metzli,0.00536659,PGM,Daily payout based on your ALIVE stake.
tunnelmotions,0.00532884,PGM,Daily payout based on your ALIVE stake.
rarej,0.00531459,PGM,Daily payout based on your ALIVE stake.
ekushya,0.0052993,PGM,Daily payout based on your ALIVE stake.
chuiiiiiiii,0.00525134,PGM,Daily payout based on your ALIVE stake.
dreamingirwin,0.00519735,PGM,Daily payout based on your ALIVE stake.
beeber,0.00518622,PGM,Daily payout based on your ALIVE stake.
andy-plays,0.00518487,PGM,Daily payout based on your ALIVE stake.
allonyx.ngs,0.005175,PGM,Daily payout based on your ALIVE stake.
icon-bassey,0.0050802,PGM,Daily payout based on your ALIVE stake.
forykw,0.00503819,PGM,Daily payout based on your ALIVE stake.
castri-ja,0.00501434,PGM,Daily payout based on your ALIVE stake.
kryptodenno,0.00499489,PGM,Daily payout based on your ALIVE stake.
badpupper,0.00493361,PGM,Daily payout based on your ALIVE stake.
savvyplayer,0.00489086,PGM,Daily payout based on your ALIVE stake.
russellstockley,0.00488789,PGM,Daily payout based on your ALIVE stake.
criptosectadepit,0.00487316,PGM,Daily payout based on your ALIVE stake.
howyf2,0.00486264,PGM,Daily payout based on your ALIVE stake.
voltz-blag,0.00486159,PGM,Daily payout based on your ALIVE stake.
pixiepost,0.00483661,PGM,Daily payout based on your ALIVE stake.
new.things,0.00483302,PGM,Daily payout based on your ALIVE stake.
madushanka,0.00482019,PGM,Daily payout based on your ALIVE stake.
consciouscat,0.00481161,PGM,Daily payout based on your ALIVE stake.
tokutaro22,0.00477244,PGM,Daily payout based on your ALIVE stake.
iviaxpow3r,0.00477159,PGM,Daily payout based on your ALIVE stake.
ahmadmanga,0.00477158,PGM,Daily payout based on your ALIVE stake.
vokus,0.00476595,PGM,Daily payout based on your ALIVE stake.
voltagrou,0.00476586,PGM,Daily payout based on your ALIVE stake.
celf.support,0.00476539,PGM,Daily payout based on your ALIVE stake.
slothbuzz,0.00476539,PGM,Daily payout based on your ALIVE stake.
imagenius.dac,0.00476539,PGM,Daily payout based on your ALIVE stake.
alovely088,0.00472396,PGM,Daily payout based on your ALIVE stake.
chocolatescorpi,0.004195,PGM,Daily payout based on your ALIVE stake.
yousafharoonkhan,0.00417179,PGM,Daily payout based on your ALIVE stake.
aunik,0.00416845,PGM,Daily payout based on your ALIVE stake.
steemer-sayu907,0.00416797,PGM,Daily payout based on your ALIVE stake.
ennydee,0.00416797,PGM,Daily payout based on your ALIVE stake.
oredebby,0.00416797,PGM,Daily payout based on your ALIVE stake.
luckyali,0.00416797,PGM,Daily payout based on your ALIVE stake.
captain-sam,0.00416797,PGM,Daily payout based on your ALIVE stake.
vaynard86,0.00412481,PGM,Daily payout based on your ALIVE stake.
hykss,0.00406051,PGM,Daily payout based on your ALIVE stake.
oasiskp2,0.0039354,PGM,Daily payout based on your ALIVE stake.
cryptohaytham,0.00367839,PGM,Daily payout based on your ALIVE stake.
jmis101,0.00351658,PGM,Daily payout based on your ALIVE stake.
sabihaislam,0.00349664,PGM,Daily payout based on your ALIVE stake.
jeanlucsr,0.00346453,PGM,Daily payout based on your ALIVE stake.
littlebee4,0.00341869,PGM,Daily payout based on your ALIVE stake.
onewolfe,0.00340901,PGM,Daily payout based on your ALIVE stake.
firealiean,0.00325676,PGM,Daily payout based on your ALIVE stake.
jfang003,0.00318795,PGM,Daily payout based on your ALIVE stake.
alente,0.00311253,PGM,Daily payout based on your ALIVE stake.
firealien,0.00303494,PGM,Daily payout based on your ALIVE stake.
chmoen,0.00296065,PGM,Daily payout based on your ALIVE stake.
gondek,0.00294419,PGM,Daily payout based on your ALIVE stake.
dailygiveaways,0.00294204,PGM,Daily payout based on your ALIVE stake.
