account,amount,symbol,memo
flaxz.alive,0.50110138,PGM,Daily payout based on your ALIVE stake.
jlufer,0.36589843,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.34510474,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.25474574,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.1630362,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14640435,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.14568662,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.1039344,PGM,Daily payout based on your ALIVE stake.
masoom,0.09921266,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.08768243,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.08280997,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.07876344,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07261911,PGM,Daily payout based on your ALIVE stake.
ironshield,0.07212018,PGM,Daily payout based on your ALIVE stake.
edgerik,0.06998944,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.05846539,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05223193,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.04948316,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.04795168,PGM,Daily payout based on your ALIVE stake.
primersion,0.04794928,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.04605653,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04471082,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.0358805,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.03343849,PGM,Daily payout based on your ALIVE stake.
d00k13,0.0314492,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.0313147,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03074244,PGM,Daily payout based on your ALIVE stake.
manuvert,0.02965157,PGM,Daily payout based on your ALIVE stake.
noctury,0.02928345,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.02902968,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.02770805,PGM,Daily payout based on your ALIVE stake.
vocup,0.02758216,PGM,Daily payout based on your ALIVE stake.
chapelle,0.0273581,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02730805,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02565371,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02485714,PGM,Daily payout based on your ALIVE stake.
ddn688,0.0246046,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02430774,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02411777,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02397824,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02395963,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02339024,PGM,Daily payout based on your ALIVE stake.
