account,amount,symbol,memo
flaxz.alive,0.51898551,PGM,Daily payout based on your ALIVE stake.
jlufer,0.38067771,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.35400065,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.26366851,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.16837582,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.14772794,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14764116,PGM,Daily payout based on your ALIVE stake.
masoom,0.10321731,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10243498,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.09022094,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.08227702,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08048545,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07359733,PGM,Daily payout based on your ALIVE stake.
edgerik,0.06966675,PGM,Daily payout based on your ALIVE stake.
ironshield,0.06790532,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06079315,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05434081,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.05017045,PGM,Daily payout based on your ALIVE stake.
primersion,0.04988566,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.04788303,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04589403,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.03460817,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03271957,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.03091202,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03010634,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.02995572,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.0288273,PGM,Daily payout based on your ALIVE stake.
manuvert,0.02823143,PGM,Daily payout based on your ALIVE stake.
vocup,0.02819327,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02765239,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02704068,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02661488,PGM,Daily payout based on your ALIVE stake.
davidthompson57,0.02618347,PGM,Daily payout based on your ALIVE stake.
noctury,0.02597086,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02573601,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02569507,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02558951,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02528814,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.025091,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02494682,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02387389,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.02312079,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02247406,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02119025,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.02105739,PGM,Daily payout based on your ALIVE stake.
awah,0.02102115,PGM,Daily payout based on your ALIVE stake.
raishmi,0.01962834,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.01955518,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01906992,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01771133,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01759413,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01734,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.0168849,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01644878,PGM,Daily payout based on your ALIVE stake.
hankanon,0.01608039,PGM,Daily payout based on your ALIVE stake.
gank,0.01575514,PGM,Daily payout based on your ALIVE stake.
