account,amount,symbol,memo
amirtheawesome1,0.00021109,PGM,Daily payout based on your ALIVE stake.
papilloncharity,0.00021052,PGM,Daily payout based on your ALIVE stake.
thisismylife,0.00020966,PGM,Daily payout based on your ALIVE stake.
bananofarmer,0.0002093,PGM,Daily payout based on your ALIVE stake.
birdbeaksd,0.00020866,PGM,Daily payout based on your ALIVE stake.
projectmamabg,0.00020796,PGM,Daily payout based on your ALIVE stake.
ifarmgirl,0.00020774,PGM,Daily payout based on your ALIVE stake.
neoxian,0.00020704,PGM,Daily payout based on your ALIVE stake.
elikast,0.00020382,PGM,Daily payout based on your ALIVE stake.
rzc24-nftbbg,0.00020332,PGM,Daily payout based on your ALIVE stake.
brutalmonkey,0.00020291,PGM,Daily payout based on your ALIVE stake.
coquicoin,0.00020276,PGM,Daily payout based on your ALIVE stake.
emeraldtiger,0.000202,PGM,Daily payout based on your ALIVE stake.
tanjakolader,0.00019924,PGM,Daily payout based on your ALIVE stake.
jurusakhir,0.0001974,PGM,Daily payout based on your ALIVE stake.
petertag,0.00019581,PGM,Daily payout based on your ALIVE stake.
luba555,0.00019525,PGM,Daily payout based on your ALIVE stake.
thedoc07,0.00019342,PGM,Daily payout based on your ALIVE stake.
fredfettmeister,0.00019104,PGM,Daily payout based on your ALIVE stake.
gratitudemine,0.00018861,PGM,Daily payout based on your ALIVE stake.
merit.ahama,0.00018464,PGM,Daily payout based on your ALIVE stake.
coin.curator,0.00018431,PGM,Daily payout based on your ALIVE stake.
quinnertronics,0.00018297,PGM,Daily payout based on your ALIVE stake.
untzuntzuntz,0.00017848,PGM,Daily payout based on your ALIVE stake.
thereikiforest,0.00017723,PGM,Daily payout based on your ALIVE stake.
mspbro,0.00017716,PGM,Daily payout based on your ALIVE stake.
countrysid,0.00017538,PGM,Daily payout based on your ALIVE stake.
fridee75,0.00017228,PGM,Daily payout based on your ALIVE stake.
bitandi,0.00017069,PGM,Daily payout based on your ALIVE stake.
arc7icwolf,0.00016944,PGM,Daily payout based on your ALIVE stake.
curatorcat,0.00016691,PGM,Daily payout based on your ALIVE stake.
wazock,0.00016673,PGM,Daily payout based on your ALIVE stake.
hive-102040,0.0001652,PGM,Daily payout based on your ALIVE stake.
mawit07,0.00016006,PGM,Daily payout based on your ALIVE stake.
grindan,0.00015976,PGM,Daily payout based on your ALIVE stake.
kdtkaren,0.00015779,PGM,Daily payout based on your ALIVE stake.
shinyobjects,0.00015746,PGM,Daily payout based on your ALIVE stake.
bfciv,0.00015525,PGM,Daily payout based on your ALIVE stake.
nobutsd1974,0.00014773,PGM,Daily payout based on your ALIVE stake.
yoieuqudniram,0.00014746,PGM,Daily payout based on your ALIVE stake.
freedomprepper,0.00014643,PGM,Daily payout based on your ALIVE stake.
amigoponc,0.00014552,PGM,Daily payout based on your ALIVE stake.
