account,amount,symbol,memo
hucksbucks,0.0001878,PGM,Daily payout based on your ALIVE stake.
bilpcoinbot,0.00018407,PGM,Daily payout based on your ALIVE stake.
castri-ja,0.00017544,PGM,Daily payout based on your ALIVE stake.
dmhafiz,0.00017273,PGM,Daily payout based on your ALIVE stake.
bilpcoin,0.00017162,PGM,Daily payout based on your ALIVE stake.
lolz.oneup,0.00016635,PGM,Daily payout based on your ALIVE stake.
memehive,0.00016125,PGM,Daily payout based on your ALIVE stake.
ninjamike,0.00016023,PGM,Daily payout based on your ALIVE stake.
trashyomen,0.00015928,PGM,Daily payout based on your ALIVE stake.
antisocialist,0.00015284,PGM,Daily payout based on your ALIVE stake.
beeminer,0.00015192,PGM,Daily payout based on your ALIVE stake.
ifarmgirl,0.00015182,PGM,Daily payout based on your ALIVE stake.
darkflame,0.00014803,PGM,Daily payout based on your ALIVE stake.
whywhy,0.00014704,PGM,Daily payout based on your ALIVE stake.
assasinos3,0.00014459,PGM,Daily payout based on your ALIVE stake.
aweee,0.00014425,PGM,Daily payout based on your ALIVE stake.
cryptounicorn420,0.00014346,PGM,Daily payout based on your ALIVE stake.
amakauz,0.00014283,PGM,Daily payout based on your ALIVE stake.
bokica80,0.00014127,PGM,Daily payout based on your ALIVE stake.
krakonos,0.00013933,PGM,Daily payout based on your ALIVE stake.
newairdrop,0.00013503,PGM,Daily payout based on your ALIVE stake.
jane1289,0.00013321,PGM,Daily payout based on your ALIVE stake.
thgaming,0.00013186,PGM,Daily payout based on your ALIVE stake.
generikat,0.00013176,PGM,Daily payout based on your ALIVE stake.
keechadkikali,0.00013154,PGM,Daily payout based on your ALIVE stake.
mauriciolimax,0.00013056,PGM,Daily payout based on your ALIVE stake.
playbyhive,0.00013033,PGM,Daily payout based on your ALIVE stake.
mawit07,0.00013031,PGM,Daily payout based on your ALIVE stake.
kryptodenno,0.00012527,PGM,Daily payout based on your ALIVE stake.
otuyanancy,0.00012512,PGM,Daily payout based on your ALIVE stake.
quinnertronics,0.00012486,PGM,Daily payout based on your ALIVE stake.
priyanarc,0.00012179,PGM,Daily payout based on your ALIVE stake.
farhansadik2,0.00012179,PGM,Daily payout based on your ALIVE stake.
kehrwoche,0.00011928,PGM,Daily payout based on your ALIVE stake.
kizunasport,0.0001161,PGM,Daily payout based on your ALIVE stake.
soulsdetour,0.0001146,PGM,Daily payout based on your ALIVE stake.
r1s2g3,0.00011349,PGM,Daily payout based on your ALIVE stake.
amaari,0.00011193,PGM,Daily payout based on your ALIVE stake.
jsynnthagr8,0.00011125,PGM,Daily payout based on your ALIVE stake.
fredfettmeister,0.00011072,PGM,Daily payout based on your ALIVE stake.
supriya.gupta,0.00011072,PGM,Daily payout based on your ALIVE stake.
ravenmus1c,0.0001102,PGM,Daily payout based on your ALIVE stake.
fragozar01,0.00011017,PGM,Daily payout based on your ALIVE stake.
lxsxl,0.00010958,PGM,Daily payout based on your ALIVE stake.
elikast,0.0001081,PGM,Daily payout based on your ALIVE stake.
zirochka,0.00010455,PGM,Daily payout based on your ALIVE stake.
williamtboy,0.00010352,PGM,Daily payout based on your ALIVE stake.
darmstrong,0.00010182,PGM,Daily payout based on your ALIVE stake.
brando28,0.00010159,PGM,Daily payout based on your ALIVE stake.
rzc24-nftbbg,0.0001015,PGM,Daily payout based on your ALIVE stake.
mehmetfix,9.965e-05,PGM,Daily payout based on your ALIVE stake.
dajokawild,9.899e-05,PGM,Daily payout based on your ALIVE stake.
dwarflordnoj,9.544e-05,PGM,Daily payout based on your ALIVE stake.
andyplays,9.536e-05,PGM,Daily payout based on your ALIVE stake.
penyaircyber,9.476e-05,PGM,Daily payout based on your ALIVE stake.
stewie.wieno,9.439e-05,PGM,Daily payout based on your ALIVE stake.
nietokilll,9.356e-05,PGM,Daily payout based on your ALIVE stake.
metzli,9.312e-05,PGM,Daily payout based on your ALIVE stake.
gillianpearce,9.273e-05,PGM,Daily payout based on your ALIVE stake.
papilloncharity,9.153e-05,PGM,Daily payout based on your ALIVE stake.
krevasilis,9.006e-05,PGM,Daily payout based on your ALIVE stake.
