account,amount,symbol,memo
flaxz.alive,0.54155906,PGM,Daily payout based on your ALIVE stake.
jlufer,0.41314926,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.3532563,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.27783617,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.17948493,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.15159818,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14097992,PGM,Daily payout based on your ALIVE stake.
masoom,0.11199587,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.10129043,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.09581335,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08256584,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.08032661,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07360421,PGM,Daily payout based on your ALIVE stake.
edgerik,0.06508584,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06320974,PGM,Daily payout based on your ALIVE stake.
ironshield,0.06201937,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05748564,PGM,Daily payout based on your ALIVE stake.
primersion,0.05414123,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05193636,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04829894,PGM,Daily payout based on your ALIVE stake.
d00k13,0.03551076,PGM,Daily payout based on your ALIVE stake.
gestion.alive,0.03447711,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.0326746,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03128645,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.03116515,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.029836,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.0287988,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.028357,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02764885,PGM,Daily payout based on your ALIVE stake.
ddn688,0.0275218,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02744213,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02722871,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02707495,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02686375,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02669163,PGM,Daily payout based on your ALIVE stake.
davidxxl,0.02553048,PGM,Daily payout based on your ALIVE stake.
manuvert,0.02389271,PGM,Daily payout based on your ALIVE stake.
daniky,0.02354931,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02298871,PGM,Daily payout based on your ALIVE stake.
awah,0.02279328,PGM,Daily payout based on your ALIVE stake.
rcaine,0.02251262,PGM,Daily payout based on your ALIVE stake.
heartbeatonhive,0.02249926,PGM,Daily payout based on your ALIVE stake.
raishmi,0.02130277,PGM,Daily payout based on your ALIVE stake.
dibblers.dabs,0.01981322,PGM,Daily payout based on your ALIVE stake.
stickupboys,0.01922168,PGM,Daily payout based on your ALIVE stake.
ben.haase,0.01881472,PGM,Daily payout based on your ALIVE stake.
magicalive,0.01877569,PGM,Daily payout based on your ALIVE stake.
holovision.cash,0.01862321,PGM,Daily payout based on your ALIVE stake.
noctury,0.01781747,PGM,Daily payout based on your ALIVE stake.
globetrottergcc,0.01737201,PGM,Daily payout based on your ALIVE stake.
mintfinch,0.01718879,PGM,Daily payout based on your ALIVE stake.
gank,0.01600682,PGM,Daily payout based on your ALIVE stake.
hoosie,0.01509372,PGM,Daily payout based on your ALIVE stake.
griega,0.0142197,PGM,Daily payout based on your ALIVE stake.
liotes.alive,0.01409025,PGM,Daily payout based on your ALIVE stake.
merthin,0.01398675,PGM,Daily payout based on your ALIVE stake.
toekins,0.01377751,PGM,Daily payout based on your ALIVE stake.
guurry123,0.01270106,PGM,Daily payout based on your ALIVE stake.
misterc,0.01268531,PGM,Daily payout based on your ALIVE stake.
kaseldz,0.01248516,PGM,Daily payout based on your ALIVE stake.
alzee,0.01227416,PGM,Daily payout based on your ALIVE stake.
steem-holder,0.0122305,PGM,Daily payout based on your ALIVE stake.
lolz.alive,0.01210616,PGM,Daily payout based on your ALIVE stake.
b4phom3t,0.01191896,PGM,Daily payout based on your ALIVE stake.
hirohurl,0.01191276,PGM,Daily payout based on your ALIVE stake.
wrestlingdesires,0.01172498,PGM,Daily payout based on your ALIVE stake.
tokenpimp,0.01162429,PGM,Daily payout based on your ALIVE stake.
newigennity,0.01149807,PGM,Daily payout based on your ALIVE stake.
myupvote2u,0.01124517,PGM,Daily payout based on your ALIVE stake.
captaincryptic,0.01121036,PGM,Daily payout based on your ALIVE stake.
chaosmagic23,0.01112491,PGM,Daily payout based on your ALIVE stake.
pedrobrito2004,0.01111004,PGM,Daily payout based on your ALIVE stake.
