account,amount,symbol,memo
flaxz.alive,0.55306209,PGM,Daily payout based on your ALIVE stake.
jlufer,0.42619139,PGM,Daily payout based on your ALIVE stake.
hafiz34,0.34697609,PGM,Daily payout based on your ALIVE stake.
iamraincrystal,0.28353052,PGM,Daily payout based on your ALIVE stake.
lukeisalive,0.18360347,PGM,Daily payout based on your ALIVE stake.
bradleyarrow,0.15238929,PGM,Daily payout based on your ALIVE stake.
gurseerat,0.14204565,PGM,Daily payout based on your ALIVE stake.
masoom,0.1155309,PGM,Daily payout based on your ALIVE stake.
maddogmike,0.0977066,PGM,Daily payout based on your ALIVE stake.
kingneptune,0.09309759,PGM,Daily payout based on your ALIVE stake.
darmst5339,0.08191598,PGM,Daily payout based on your ALIVE stake.
imfarhad,0.07417257,PGM,Daily payout based on your ALIVE stake.
benthomaswwd,0.0736402,PGM,Daily payout based on your ALIVE stake.
jimmy.adames,0.06518677,PGM,Daily payout based on your ALIVE stake.
ironshield,0.06128703,PGM,Daily payout based on your ALIVE stake.
edgerik,0.06065394,PGM,Daily payout based on your ALIVE stake.
hive-112281,0.05822989,PGM,Daily payout based on your ALIVE stake.
primersion,0.05585042,PGM,Daily payout based on your ALIVE stake.
harpreetjanda,0.05357203,PGM,Daily payout based on your ALIVE stake.
thisisawesome,0.04928564,PGM,Daily payout based on your ALIVE stake.
d00k13,0.0366318,PGM,Daily payout based on your ALIVE stake.
captain.alive,0.03370611,PGM,Daily payout based on your ALIVE stake.
hive.pizza,0.03227413,PGM,Daily payout based on your ALIVE stake.
lisamgentile1961,0.02970124,PGM,Daily payout based on your ALIVE stake.
yeckingo1,0.02955436,PGM,Daily payout based on your ALIVE stake.
mypathtofire,0.02853638,PGM,Daily payout based on your ALIVE stake.
saboin.alive,0.02852505,PGM,Daily payout based on your ALIVE stake.
flaxz,0.02842842,PGM,Daily payout based on your ALIVE stake.
ddn688,0.02838561,PGM,Daily payout based on your ALIVE stake.
alokkumar121,0.02830733,PGM,Daily payout based on your ALIVE stake.
elianaicgomes,0.02808718,PGM,Daily payout based on your ALIVE stake.
flaxz.ctp,0.02792968,PGM,Daily payout based on your ALIVE stake.
chapelle,0.02673135,PGM,Daily payout based on your ALIVE stake.
invest-time,0.0267218,PGM,Daily payout based on your ALIVE stake.
ana-maria,0.02440663,PGM,Daily payout based on your ALIVE stake.
daniky,0.02378385,PGM,Daily payout based on your ALIVE stake.
justclickindiva,0.02369713,PGM,Daily payout based on your ALIVE stake.
