account,amount,symbol
hafiz34,"0,803",ALIVEM
flaxz.alive,"0,361",ALIVEM
jlufer,"0,267",ALIVEM
bradleyarrow,"0,267",ALIVEM
benthomaswwd,"0,161",ALIVEM
hive-112281,"0,139",ALIVEM
darmst5339,"0,093",ALIVEM
iamraincrystal,"0,081",ALIVEM
noctury,"0,081",ALIVEM
alokkumar121,"0,068",ALIVEM
davidthompson57,"0,067",ALIVEM
ironshield,"0,067",ALIVEM
imfarhad,"0,053",ALIVEM
adysscheryl,"0,045",ALIVEM
hankanon,"0,04",ALIVEM
tydynrain,"0,04",ALIVEM
lightcaptured,"0,04",ALIVEM
hoosie,"0,035",ALIVEM
manuvert,"0,034",ALIVEM
pedrobrito2004,"0,02",ALIVEM
melinda010100,"0,02",ALIVEM
awah,"0,021",ALIVEM
palomap3,"0,018",ALIVEM
heruvim1978,"0,015",ALIVEM
ekushya,"0,013",ALIVEM
thoth442,"0,014",ALIVEM
chaosmagic23,"0,014",ALIVEM
beststart,"0,014",ALIVEM
voltz-blag,"0,014",ALIVEM
hhayweaver,"0,014",ALIVEM
kam5iz,"0,012",ALIVEM
sagarkothari88,"0,013",ALIVEM
elyelma,"0,011",ALIVEM
gondek,"0,011",ALIVEM
cwow2,"0,011",ALIVEM
moretea,"0,011",ALIVEM
madame-cyntaia,"0,009",ALIVEM
chmoen,"0,008",ALIVEM
oasiskp2,"0,008",ALIVEM
theroad2freedom,"0,008",ALIVEM
engilhramn,"0,008",ALIVEM
iamjabez,"0,008",ALIVEM
synergized,"0,007",ALIVEM
myupvote2u,"0,007",ALIVEM
bambukah,"0,006",ALIVEM
heartbeatonhive,"0,007",ALIVEM
ana-maria,"0,007",ALIVEM
vocup,"0,007",ALIVEM
sammyhive,"0,007",ALIVEM
brando28,"0,006",ALIVEM
azkabananas,"0,005",ALIVEM
mario89,"0,005",ALIVEM
gadrian,"0,005",ALIVEM
keechadkikali,"0,004",ALIVEM
kryptofire,"0,004",ALIVEM
nomaddreamer,"0,004",ALIVEM
treefrognada,"0,004",ALIVEM
lifeskills-tv,"0,004",ALIVEM
buezor,"0,002",ALIVEM
alzee,"0,002",ALIVEM
karizma,"0,003",ALIVEM
fiberfrau,"0,003",ALIVEM
jmis101,"0,003",ALIVEM
queercoin,"0,002",ALIVEM
eyewaa,"0,002",ALIVEM
amaari,"0,002",ALIVEM
efmm,"0,001",ALIVEM
elizabetamt,"0,001",ALIVEM
beeber,"0,001",ALIVEM
