account,amount,symbol
flaxz.alive,"0,613",ALIVEM
jlufer,"0,454",ALIVEM
iamraincrystal,"0,059",ALIVEM
hive-112281,"0,236",ALIVEM
imfarhad,"0,057",ALIVEM
myupvote2u,"0,012",ALIVEM
alokkumar121,"0,09",ALIVEM
mypathtofire,"0,016",ALIVEM
benthomaswwd,"0,272",ALIVEM
buezor,"0,005",ALIVEM
davidthompson57,"0,115",ALIVEM
adysscheryl,"0,071",ALIVEM
ironshield,"0,113",ALIVEM
manuvert,"0,037",ALIVEM
bambukah,"0,006",ALIVEM
noctury,"0,113",ALIVEM
darmst5339,"0,136",ALIVEM
heartbeatonhive,"0,011",ALIVEM
tydynrain,"0,04",ALIVEM
elizabetamt,"0,002",ALIVEM
ana-maria,"0,011",ALIVEM
bradleyarrow,"0,454",ALIVEM
caelum1infernum,"0,001",ALIVEM
alzee,"0,004",ALIVEM
chaosmagic23,"0,023",ALIVEM
lightcaptured,"0,043",ALIVEM
hoosie,"0,052",ALIVEM
chmoen,"0,007",ALIVEM
beststart,"0,023",ALIVEM
vocup,"0,012",ALIVEM
bfciv,"0,001",ALIVEM
engilhramn,"0,006",ALIVEM
gondek,"0,015",ALIVEM
captainloken,"0,015",ALIVEM
moretea,"0,018",ALIVEM
palomap3,"0,023",ALIVEM
keechadkikali,"0,007",ALIVEM
mario89,"0,008",ALIVEM
karizma,"0,003",ALIVEM
kevinnag58,"0,002",ALIVEM
thoth442,"0,023",ALIVEM
pedrobrito2004,"0,034",ALIVEM
eyewaa,"0,003",ALIVEM
hankanon,"0,068",ALIVEM
synergized,"0,008",ALIVEM
kam5iz,"0,016",ALIVEM
fiberfrau,"0,005",ALIVEM
leemah1,"0,01",ALIVEM
evernoticethat,"0,005",ALIVEM
madame-cyntaia,"0,01",ALIVEM
brando28,"0,004",ALIVEM
oasiskp2,"0,007",ALIVEM
beeber,"0,002",ALIVEM
amaari,"0,003",ALIVEM
melinda010100,"0,034",ALIVEM
rzc24-nftbbg,"0,001",ALIVEM
azkabananas,"0,005",ALIVEM
elyelma,"0,011",ALIVEM
voltz-blag,"0,023",ALIVEM
siddhartaz,"0,057",ALIVEM
