account,amount,symbol
flaxz.alive,"0,766",ALIVEM
jlufer,"0,567",ALIVEM
bradleyarrow,"0,567",ALIVEM
benthomaswwd,"0,341",ALIVEM
hive-112281,"0,294",ALIVEM
darmst5339,"0,171",ALIVEM
noctury,"0,167",ALIVEM
davidthompson57,"0,143",ALIVEM
iamraincrystal,"0,142",ALIVEM
ironshield,"0,142",ALIVEM
imfarhad,"0,113",ALIVEM
alokkumar121,"0,113",ALIVEM
adysscheryl,"0,091",ALIVEM
hankanon,"0,085",ALIVEM
manuvert,"0,071",ALIVEM
hoosie,"0,07",ALIVEM
tydynrain,"0,067",ALIVEM
lightcaptured,"0,066",ALIVEM
pedrobrito2004,"0,043",ALIVEM
melinda010100,"0,043",ALIVEM
palomap3,"0,031",ALIVEM
esteva1820,"0,026",ALIVEM
heruvim1978,"0,032",ALIVEM
thoth442,"0,029",ALIVEM
chaosmagic23,"0,029",ALIVEM
beststart,"0,029",ALIVEM
voltz-blag,"0,029",ALIVEM
kam5iz,"0,025",ALIVEM
gondek,"0,022",ALIVEM
moretea,"0,023",ALIVEM
elyelma,"0,021",ALIVEM
oasiskp2,"0,017",ALIVEM
evernoticethat,"0,014",ALIVEM
myupvote2u,"0,015",ALIVEM
bambukah,"0,014",ALIVEM
heartbeatonhive,"0,014",ALIVEM
ana-maria,"0,014",ALIVEM
vocup,"0,015",ALIVEM
synergized,"0,014",ALIVEM
chmoen,"0,014",ALIVEM
engilhramn,"0,013",ALIVEM
madame-cyntaia,"0,012",ALIVEM
mario89,"0,01",ALIVEM
keechadkikali,"0,009",ALIVEM
brando28,"0,008",ALIVEM
azkabananas,"0,008",ALIVEM
lifeskills-tv,"0,007",ALIVEM
treefrognada,"0,006",ALIVEM
buezor,"0,006",ALIVEM
alzee,"0,005",ALIVEM
karizma,"0,006",ALIVEM
fiberfrau,"0,006",ALIVEM
jmis101,"0,006",ALIVEM
cwow2,"0,006",ALIVEM
eyewaa,"0,004",ALIVEM
amaari,"0,004",ALIVEM
elizabetamt,"0,003",ALIVEM
beeber,"0,003",ALIVEM
kevinnag58,"0,002",ALIVEM
bfciv,"0,001",ALIVEM
rzc24-nftbbg,"0,001",ALIVEM
efmm,"0,001",ALIVEM
stevermac1966,"0,001",ALIVEM
kryptofire,"0,002",ALIVEM
hafiz34,"1,216",ALIVEM
sammyhive,"0,002",ALIVEM
