account,amount,symbol
flaxz.alive,"0,779",ALIVEM
jlufer,"0,577",ALIVEM
bradleyarrow,"0,577",ALIVEM
benthomaswwd,"0,346",ALIVEM
hive-112281,"0,299",ALIVEM
darmst5339,"0,173",ALIVEM
davidthompson57,"0,145",ALIVEM
ironshield,"0,144",ALIVEM
noctury,"0,144",ALIVEM
alokkumar121,"0,116",ALIVEM
adysscheryl,"0,092",ALIVEM
hankanon,"0,087",ALIVEM
siddhartaz,"0,079",ALIVEM
iamraincrystal,"0,075",ALIVEM
imfarhad,"0,072",ALIVEM
manuvert,"0,072",ALIVEM
hoosie,"0,067",ALIVEM
lightcaptured,"0,057",ALIVEM
tydynrain,"0,055",ALIVEM
pedrobrito2004,"0,043",ALIVEM
melinda010100,"0,043",ALIVEM
palomap3,"0,031",ALIVEM
thoth442,"0,029",ALIVEM
chaosmagic23,"0,029",ALIVEM
beststart,"0,029",ALIVEM
voltz-blag,"0,029",ALIVEM
kam5iz,"0,026",ALIVEM
moretea,"0,023",ALIVEM
gondek,"0,02",ALIVEM
captainloken,"0,019",ALIVEM
elyelma,"0,02",ALIVEM
myupvote2u,"0,014",ALIVEM
bambukah,"0,014",ALIVEM
heartbeatonhive,"0,015",ALIVEM
ana-maria,"0,015",ALIVEM
vocup,"0,014",ALIVEM
leemah1,"0,011",ALIVEM
madame-cyntaia,"0,012",ALIVEM
evernoticethat,"0,012",ALIVEM
synergized,"0,011",ALIVEM
mario89,"0,01",ALIVEM
chmoen,"0,009",ALIVEM
keechadkikali,"0,008",ALIVEM
oasiskp2,"0,009",ALIVEM
engilhramn,"0,009",ALIVEM
azkabananas,"0,007",ALIVEM
buezor,"0,006",ALIVEM
alzee,"0,005",ALIVEM
fiberfrau,"0,006",ALIVEM
brando28,"0,006",ALIVEM
eyewaa,"0,005",ALIVEM
amaari,"0,003",ALIVEM
karizma,"0,003",ALIVEM
elizabetamt,"0,002",ALIVEM
beeber,"0,002",ALIVEM
kevinnag58,"0,002",ALIVEM
bfciv,"0,001",ALIVEM
rzc24-nftbbg,"0,001",ALIVEM
caelum1infernum,"0,001",ALIVEM
heruvim1978,"0,003",ALIVEM
