account,amount,symbol
hafiz34,"1,344",ALIVEM
flaxz.alive,"0,605",ALIVEM
jlufer,"0,448",ALIVEM
bradleyarrow,"0,448",ALIVEM
benthomaswwd,"0,269",ALIVEM
hive-112281,"0,232",ALIVEM
darmst5339,"0,157",ALIVEM
noctury,"0,135",ALIVEM
davidthompson57,"0,113",ALIVEM
iamraincrystal,"0,112",ALIVEM
ironshield,"0,112",ALIVEM
imfarhad,"0,09",ALIVEM
alokkumar121,"0,09",ALIVEM
adysscheryl,"0,072",ALIVEM
hankanon,"0,067",ALIVEM
tydynrain,"0,061",ALIVEM
lightcaptured,"0,06",ALIVEM
hoosie,"0,057",ALIVEM
manuvert,"0,056",ALIVEM
pedrobrito2004,"0,033",ALIVEM
melinda010100,"0,033",ALIVEM
awah,"0,032",ALIVEM
palomap3,"0,027",ALIVEM
heruvim1978,"0,025",ALIVEM
ekushya,"0,023",ALIVEM
thoth442,"0,023",ALIVEM
chaosmagic23,"0,022",ALIVEM
beststart,"0,022",ALIVEM
voltz-blag,"0,023",ALIVEM
kam5iz,"0,02",ALIVEM
gondek,"0,018",ALIVEM
moretea,"0,018",ALIVEM
elyelma,"0,018",ALIVEM
twicejoy,"0,007",ALIVEM
cwow2,"0,016",ALIVEM
madame-cyntaia,"0,014",ALIVEM
chmoen,"0,014",ALIVEM
oasiskp2,"0,014",ALIVEM
iamjabez,"0,012",ALIVEM
myupvote2u,"0,011",ALIVEM
bambukah,"0,011",ALIVEM
heartbeatonhive,"0,011",ALIVEM
ana-maria,"0,011",ALIVEM
vocup,"0,011",ALIVEM
synergized,"0,012",ALIVEM
sammyhive,"0,011",ALIVEM
engilhramn,"0,01",ALIVEM
sagarkothari88,"0,012",ALIVEM
brando28,"0,009",ALIVEM
mario89,"0,009",ALIVEM
azkabananas,"0,007",ALIVEM
keechadkikali,"0,006",ALIVEM
nomaddreamer,"0,007",ALIVEM
treefrognada,"0,007",ALIVEM
kryptofire,"0,006",ALIVEM
lifeskills-tv,"0,005",ALIVEM
buezor,"0,004",ALIVEM
alzee,"0,005",ALIVEM
karizma,"0,005",ALIVEM
fiberfrau,"0,004",ALIVEM
jmis101,"0,004",ALIVEM
gadrian,"0,006",ALIVEM
hhayweaver,"0,004",ALIVEM
eyewaa,"0,003",ALIVEM
amaari,"0,003",ALIVEM
elizabetamt,"0,003",ALIVEM
beeber,"0,002",ALIVEM
kevinnag58,"0,001",ALIVEM
efmm,"0,001",ALIVEM
bfciv,"0,001",ALIVEM
rzc24-nftbbg,"0,001",ALIVEM
stevermac1966,"0,001",ALIVEM
theroad2freedom,"0,011",ALIVEM
queercoin,"0,001",ALIVEM
