account,amount,symbol
hafiz34,"0,767",ALIVEM
flaxz.alive,"0,345",ALIVEM
jlufer,"0,256",ALIVEM
bradleyarrow,"0,256",ALIVEM
benthomaswwd,"0,154",ALIVEM
hive-112281,"0,133",ALIVEM
darmst5339,"0,09",ALIVEM
noctury,"0,081",ALIVEM
iamraincrystal,"0,077",ALIVEM
alokkumar121,"0,065",ALIVEM
davidthompson57,"0,064",ALIVEM
ironshield,"0,064",ALIVEM
imfarhad,"0,052",ALIVEM
adysscheryl,"0,046",ALIVEM
tydynrain,"0,042",ALIVEM
lightcaptured,"0,042",ALIVEM
hankanon,"0,038",ALIVEM
hoosie,"0,035",ALIVEM
manuvert,"0,032",ALIVEM
awah,"0,023",ALIVEM
pedrobrito2004,"0,019",ALIVEM
melinda010100,"0,019",ALIVEM
palomap3,"0,018",ALIVEM
hhayweaver,"0,016",ALIVEM
sagarkothari88,"0,009",ALIVEM
heruvim1978,"0,014",ALIVEM
ekushya,"0,013",ALIVEM
thoth442,"0,013",ALIVEM
chaosmagic23,"0,013",ALIVEM
beststart,"0,013",ALIVEM
voltz-blag,"0,013",ALIVEM
kam5iz,"0,011",ALIVEM
cwow2,"0,011",ALIVEM
elyelma,"0,011",ALIVEM
gondek,"0,011",ALIVEM
moretea,"0,01",ALIVEM
madame-cyntaia,"0,008",ALIVEM
engilhramn,"0,008",ALIVEM
chmoen,"0,008",ALIVEM
oasiskp2,"0,008",ALIVEM
theroad2freedom,"0,008",ALIVEM
iamjabez,"0,007",ALIVEM
synergized,"0,007",ALIVEM
myupvote2u,"0,006",ALIVEM
bambukah,"0,006",ALIVEM
heartbeatonhive,"0,006",ALIVEM
ana-maria,"0,006",ALIVEM
vocup,"0,007",ALIVEM
sammyhive,"0,007",ALIVEM
azkabananas,"0,006",ALIVEM
brando28,"0,006",ALIVEM
gadrian,"0,005",ALIVEM
mario89,"0,005",ALIVEM
keechadkikali,"0,004",ALIVEM
kryptofire,"0,004",ALIVEM
nomaddreamer,"0,003",ALIVEM
treefrognada,"0,004",ALIVEM
queercoin,"0,003",ALIVEM
lifeskills-tv,"0,003",ALIVEM
alzee,"0,002",ALIVEM
karizma,"0,002",ALIVEM
fiberfrau,"0,003",ALIVEM
jmis101,"0,003",ALIVEM
caelum1infernum,"0,002",ALIVEM
eyewaa,"0,001",ALIVEM
amaari,"0,002",ALIVEM
efmm,"0,001",ALIVEM
elizabetamt,"0,001",ALIVEM
beeber,"0,001",ALIVEM
bfciv,"0,001",ALIVEM
dlmmqb,"0,001",ALIVEM
stevermac1966,"0,001",ALIVEM
castri-ja,"0,007",ALIVEM
