account,amount,symbol
flaxz.alive,"0,72",ALIVEM
jlufer,"0,533",ALIVEM
iamraincrystal,"0,07",ALIVEM
hive-112281,"0,277",ALIVEM
imfarhad,"0,067",ALIVEM
myupvote2u,"0,013",ALIVEM
alokkumar121,"0,106",ALIVEM
mypathtofire,"0,133",ALIVEM
benthomaswwd,"0,134",ALIVEM
buezor,"0,005",ALIVEM
davidthompson57,"0,134",ALIVEM
adysscheryl,"0,059",ALIVEM
ironshield,"0,133",ALIVEM
manuvert,"0,04",ALIVEM
bambukah,"0,008",ALIVEM
noctury,"0,11",ALIVEM
darmst5339,"0,08",ALIVEM
heartbeatonhive,"0,013",ALIVEM
tydynrain,"0,031",ALIVEM
elizabetamt,"0,003",ALIVEM
ana-maria,"0,011",ALIVEM
bradleyarrow,"0,533",ALIVEM
caelum1infernum,"0,001",ALIVEM
alzee,"0,005",ALIVEM
chaosmagic23,"0,027",ALIVEM
lightcaptured,"0,044",ALIVEM
hoosie,"0,057",ALIVEM
chmoen,"0,005",ALIVEM
beststart,"0,027",ALIVEM
vocup,"0,013",ALIVEM
engilhramn,"0,003",ALIVEM
gondek,"0,016",ALIVEM
captainloken,"0,01",ALIVEM
moretea,"0,021",ALIVEM
palomap3,"0,004",ALIVEM
keechadkikali,"0,007",ALIVEM
mario89,"0,007",ALIVEM
karizma,"0,003",ALIVEM
kevinnag58,"0,001",ALIVEM
thoth442,"0,027",ALIVEM
pedrobrito2004,"0,04",ALIVEM
eyewaa,"0,002",ALIVEM
hankanon,"0,08",ALIVEM
synergized,"0,001",ALIVEM
kam5iz,"0,008",ALIVEM
metzli,"0,005",ALIVEM
fiberfrau,"0,006",ALIVEM
leemah1,"0,01",ALIVEM
evernoticethat,"0,004",ALIVEM
twicejoy,"0,002",ALIVEM
madame-cyntaia,"0,01",ALIVEM
