account,amount,symbol
aliveprojects,"0,219",ALIVEM
flaxz.alive,"0,827",ALIVEM
jlufer,"0,613",ALIVEM
iamraincrystal,"0,079",ALIVEM
hive-112281,"0,317",ALIVEM
imfarhad,"0,077",ALIVEM
myupvote2u,"0,016",ALIVEM
alokkumar121,"0,123",ALIVEM
mypathtofire,"0,154",ALIVEM
benthomaswwd,"0,153",ALIVEM
buezor,"0,006",ALIVEM
davidthompson57,"0,154",ALIVEM
adysscheryl,"0,067",ALIVEM
ironshield,"0,153",ALIVEM
manuvert,"0,046",ALIVEM
bambukah,"0,009",ALIVEM
noctury,"0,123",ALIVEM
darmst5339,"0,092",ALIVEM
heartbeatonhive,"0,015",ALIVEM
tydynrain,"0,034",ALIVEM
elizabetamt,"0,003",ALIVEM
ana-maria,"0,012",ALIVEM
bradleyarrow,"0,613",ALIVEM
alzee,"0,006",ALIVEM
chaosmagic23,"0,03",ALIVEM
lightcaptured,"0,05",ALIVEM
hoosie,"0,065",ALIVEM
chmoen,"0,007",ALIVEM
beststart,"0,03",ALIVEM
vocup,"0,015",ALIVEM
bfciv,"0,001",ALIVEM
soulsdetour,"0,005",ALIVEM
engilhramn,"0,003",ALIVEM
gondek,"0,017",ALIVEM
captainloken,"0,011",ALIVEM
madame-cyntaia,"0,009",ALIVEM
moretea,"0,025",ALIVEM
palomap3,"0,003",ALIVEM
keechadkikali,"0,008",ALIVEM
mario89,"0,009",ALIVEM
karizma,"0,003",ALIVEM
kevinnag58,"0,001",ALIVEM
thoth442,"0,026",ALIVEM
pedrobrito2004,"0,046",ALIVEM
eyewaa,"0,003",ALIVEM
hankanon,"0,092",ALIVEM
kam5iz,"0,009",ALIVEM
metzli,"0,004",ALIVEM
fiberfrau,"0,006",ALIVEM
leemah1,"0,003",ALIVEM
evernoticethat,"0,001",ALIVEM
