account,amount,symbol
aliveprojects,"0,316",ALIVEM
flaxz.alive,"0,854",ALIVEM
jlufer,"0,632",ALIVEM
iamraincrystal,"0,082",ALIVEM
hive-112281,"0,328",ALIVEM
imfarhad,"0,079",ALIVEM
myupvote2u,"0,016",ALIVEM
alokkumar121,"0,127",ALIVEM
mypathtofire,"0,158",ALIVEM
benthomaswwd,"0,149",ALIVEM
buezor,"0,006",ALIVEM
davidthompson57,"0,08",ALIVEM
adysscheryl,"0,038",ALIVEM
ironshield,"0,158",ALIVEM
manuvert,"0,048",ALIVEM
bambukah,"0,009",ALIVEM
noctury,"0,126",ALIVEM
darmst5339,"0,094",ALIVEM
heartbeatonhive,"0,016",ALIVEM
tydynrain,"0,03",ALIVEM
elizabetamt,"0,003",ALIVEM
stevermac1966,"0,001",ALIVEM
ana-maria,"0,013",ALIVEM
bradleyarrow,"0,632",ALIVEM
caelum1infernum,"0,001",ALIVEM
alzee,"0,006",ALIVEM
chaosmagic23,"0,032",ALIVEM
lightcaptured,"0,049",ALIVEM
hoosie,"0,064",ALIVEM
chmoen,"0,005",ALIVEM
beststart,"0,031",ALIVEM
vocup,"0,016",ALIVEM
soulsdetour,"0,007",ALIVEM
engilhramn,"0,002",ALIVEM
gondek,"0,017",ALIVEM
captainloken,"0,01",ALIVEM
madame-cyntaia,"0,009",ALIVEM
moretea,"0,025",ALIVEM
palomap3,"0,003",ALIVEM
keechadkikali,"0,007",ALIVEM
mario89,"0,009",ALIVEM
karizma,"0,004",ALIVEM
kevinnag58,"0,002",ALIVEM
thoth442,"0,027",ALIVEM
pedrobrito2004,"0,048",ALIVEM
eyewaa,"0,003",ALIVEM
castri-ja,"0,004",ALIVEM
hankanon,"0,054",ALIVEM
