account,amount,symbol
aliveprojects,"0,354",ALIVEM
flaxz.alive,"0,957",ALIVEM
jlufer,"0,708",ALIVEM
iamraincrystal,"0,093",ALIVEM
hive-112281,"0,367",ALIVEM
imfarhad,"0,088",ALIVEM
myupvote2u,"0,017",ALIVEM
alokkumar121,"0,142",ALIVEM
mypathtofire,"0,177",ALIVEM
benthomaswwd,"0,106",ALIVEM
buezor,"0,006",ALIVEM
davidthompson57,"0,09",ALIVEM
adysscheryl,"0,039",ALIVEM
ironshield,"0,177",ALIVEM
manuvert,"0,053",ALIVEM
bambukah,"0,01",ALIVEM
noctury,"0,141",ALIVEM
darmst5339,"0,106",ALIVEM
heartbeatonhive,"0,018",ALIVEM
tydynrain,"0,026",ALIVEM
elizabetamt,"0,003",ALIVEM
ana-maria,"0,014",ALIVEM
bradleyarrow,"0,708",ALIVEM
alzee,"0,007",ALIVEM
chaosmagic23,"0,035",ALIVEM
lightcaptured,"0,052",ALIVEM
hoosie,"0,071",ALIVEM
chmoen,"0,005",ALIVEM
twicejoy,"0,007",ALIVEM
beststart,"0,035",ALIVEM
vocup,"0,018",ALIVEM
soulsdetour,"0,007",ALIVEM
engilhramn,"0,003",ALIVEM
gondek,"0,018",ALIVEM
captainloken,"0,008",ALIVEM
madame-cyntaia,"0,01",ALIVEM
moretea,"0,028",ALIVEM
palomap3,"0,003",ALIVEM
keechadkikali,"0,007",ALIVEM
mario89,"0,008",ALIVEM
karizma,"0,004",ALIVEM
kevinnag58,"0,001",ALIVEM
thoth442,"0,026",ALIVEM
pedrobrito2004,"0,037",ALIVEM
